"地区","姓名","职务/身份","主要罪行","结局"
"长沙","唐令欧(唐天德)","伪长沙市长、伪湖南省设计委员会常务委员、伪"复兴会"主任","湖南最大汉奸[reference:3][reference:4][reference:5]。1944年11月任伪长沙市长[reference:6]，并曾署理伪湖南省长[reference:7]。成立伪"湖南省设计委员会"筹备省级傀儡政权[reference:8][reference:9]。","1946年被判处有期徒刑十年[reference:10][reference:11][reference:12]。"
"长沙","黄雁九","伪湖南省设计委员会主任委员、伪长沙市维持会筹备处主任","长沙八大汉奸之一[reference:13][reference:14]。长沙沦陷后，担任伪维持会筹备处主任[reference:15][reference:16]，后任伪"湖南省政治设计委员会"主任委员[reference:17]，负责筹建省级伪政权。","待考"
"长沙","叶寅亮","伪湖南洪兴血义会会长、伪湖南省设计委员会常务委员","长沙八大汉奸之一[reference:18][reference:19]。洪帮头目[reference:20]，纠集帮伙成立伪"湖南洪兴血义会"[reference:21]，为日伪军政人员提供场所[reference:22]，并开设赌场[reference:23]。","抗战胜利后被捕入狱，1949年越狱，后被人民政府逮捕镇压[reference:24][reference:25]。"
"长沙","张芝文","伪长沙市维持会会长","长沙沦陷后最早投敌的汉奸之一[reference:26][reference:27][reference:28]。沦陷5天后，自制白旗，踩着同胞尸体入城欢迎日军[reference:29][reference:30]。任伪维持会会长，清理出4500具尸体[reference:31]。","待考"
"长沙","凌云卿","伪长沙市维持会副会长","长沙沦陷后最早投敌的汉奸之一[reference:32][reference:33]。与张芝文一同举白旗投敌[reference:34][reference:35]，自称为"长沙市工人特派代表"[reference:36][reference:37]。","待考"
"长沙","张光斗","汉奸","长沙八大汉奸之一[reference:38][reference:39]。","待考"
"长沙","辜天保","汉奸","长沙八大汉奸之一[reference:40][reference:41]。","待考"
"长沙","柳菊生","汉奸","长沙八大汉奸之一[reference:42][reference:43]。","待考"
"长沙","盛先茂","汉奸","长沙八大汉奸之一[reference:44][reference:45]。","待考"
"长沙","邓笃恭","汉奸","长沙八大汉奸之一[reference:46][reference:47]。","待考"
"长沙","王某(佚名)","长沙宪兵队便衣汉奸","湖北籍[reference:48][reference:49]。日本投降当晚，撕毁胜利布告并威胁市民[reference:50][reference:51]。","当晚被"热血锄奸队"数刀戳死，抛尸野外[reference:52][reference:53]。"
"长沙","肖德贵","汉奸赌徒","湖北籍汉奸赌徒[reference:54][reference:55]。在长沙为祸。","被伪市长唐令欧捕获，并枪毙于南门口[reference:56][reference:57]。"
"湖南(湘籍)","周佛海","汪伪政权核心人物","湖南沅陵人[reference:58][reference:59]。汪伪集团重要骨干，地位仅次于汪精卫和陈公博[reference:60][reference:61]。","1948年死于南京老虎桥监狱[reference:62]。"
"湖南(湘籍)","罗君强","汪伪政权要员","湖南长沙人[reference:63]。早年加入中共，后脱党，投靠周佛海[reference:64]，后成为汪伪政权要员。","待考"
"湖南(湘籍)","丁默邨","汪伪特工总部主任","湖南常德人[reference:65]。汪伪政权特工头目，与李士群共同组建"76号"特工总部。","1947年被国民政府处决[reference:66]。"
