"地区","姓名","职务","主要罪行","结局"
"南阳市区","马国恩","豫鄂边防先遣军总司令（汉奸）","原豫鄂边防司令部负责人。1945年8月15日日本宣布投降后，日伪蒋合流公开化，豫鄂边防司令部被改编为“豫鄂边防先遣军总司令部”，马国恩被任命为总司令[reference:3]","待考"
"南阳市区","（佚名）","南阳复兴委员会成员","1945年5月，日伪政权成立“南阳复兴委员会”，沿袭国民党旧制设立区、乡、保甲组织，以南阳城关为据点，四出“讨伐”、扫荡，实行“三光”政策[reference:4]","待考"
"方城县","王兰波","蓝工队大队长","方城县独树镇附近双庙村财主，原国民党独树镇联防队大队长。方城沦陷后卖国投敌，任日军设立的蓝工队大队长，驻防扳倒井村，与维持会、自警团等汉奸组织东西呼应，为虎作伥[reference:5][reference:6][reference:7]","1945年8月，被方城抗日游击队活捉后枪决[reference:8]"
"方城县","（佚名）","维持会成员","日军在独树镇设立维持会、自警团、蓝工队3个汉奸组织，有武装三四百人。维持会、自警团驻守镇内[reference:9][reference:10]","待考"
"方城县","（佚名）","自警团成员","日军在独树镇设立的汉奸组织之一[reference:11][reference:12]","待考"
"镇平县","（佚名）","曲屯街维持会会长","镇平县曲屯沦陷后，日军网罗地痞流氓二百多人充当汉奸，成立曲屯街、五龙庙、楼子王三个维持会[reference:13][reference:14]","待考"
"镇平县","（佚名）","曲屯街维持会副会长","曲屯街维持会设有会长、副会长、秘书、武装队长、军事教官等职[reference:15]","待考"
"镇平县","（佚名）","五龙庙维持会负责人","镇平县曲屯地区三个维持会之一[reference:16]","待考"
"镇平县","（佚名）","楼子王维持会负责人","镇平县曲屯地区三个维持会之一[reference:17]","待考"
"镇平县","（佚名）","彭营汉奸","镇平县彭营一带汉奸，为虎作伥，替日军搜集情报，带日军到处扫荡，群众恨之入骨[reference:18]","被抗日游击队诱捕后活埋于村南大沟内[reference:19]"
"唐河县","申中祥","皇协军头目","唐河县桐河一带皇协军头目，率领约180名伪军盘踞曹庄据点，为日军效力[reference:20][reference:21]","1945年6月17日夜，被曲令铎率部500余人围歼于曹庄据点，申中祥被击毙[reference:22][reference:23]"
"唐河县","袁福有","皇协军成员","申中祥部属，唐河县皇协军成员[reference:24][reference:25]","与申中祥一同被围歼，被抓捕后枪决[reference:26][reference:27]"
"唐河县","惠纹章","皇协军成员","申中祥部属，唐河县皇协军成员[reference:28][reference:29]","与申中祥一同被围歼，被抓捕后枪决[reference:30][reference:31]"
"南阳县","肖正（肖匪）","维持会头目","南阳县下毕营一带汉奸头目，与曲令铎有仇怨[reference:32]","待考"
"南阳县","（佚名）","南阳城郊维持会人员","日军在南阳城附近遍设维持会，网罗流氓、恶棍、惯匪组织伪军[reference:33]","待考"
"邓县","刘整","南宋降元汉奸（历史人物，非抗战时期）","邓县（今邓州）人，南宋末年降元，为元军攻破襄阳献策，被后世斥为汉奸[reference:34]","非抗战时期人物，仅作说明"
