"地区","姓名","职务","主要罪行","结局"
"江陵沙市","何锦山","沙市维持会会长","沙市沦陷后由未能逃走的中小商店老板公推为维持会会长。出面与日军头目洽谈，维持地方秩序，实际为日军殖民统治服务[reference:0]","待考"
"江陵沙市","陈级三","沙市维持会翻译","保定军校毕业、留日学生，沙市沦陷后被找来充当日军翻译，协助维持会与日军沟通[reference:1]","待考"
"江陵岑河口","简化轩","汉奸特务（原国民党军统特务）","国民党军统特务头子朱耀东的爪牙。1943年冬投靠日军当汉奸特务，利用房族关系拉拢收买根据地三区武工队分队长简学美带枪叛变投敌[reference:2]","1944年被江陵县公安局手枪队进入岑河口据点活捉，周方琳当场宣布罪状后处决[reference:3]"
"江陵岑河口","简学美","叛徒（原三区武工队分队长）","原根据地三区武工队分队长，被简化轩拉拢收买后带枪叛变投敌。随简化轩逃进岑河口日军据点，为日军提供情报，公然为敌人外出劫掠当"向导"[reference:4]","被江陵县公安局手枪队活捉，经公审后处决[reference:5]"
"公安县","季少一","公安县日伪保安总队谍报组长","公安县麻豪口人，死心塌地当汉奸，任县日伪保安总队谍报组长，为日伪搜集抗日情报[reference:6]","1943年7月的一个晚上，被公安县抗日游击队派钟冬生、熊伯钧到其家中抓获处死[reference:7]"
"公安县","崔庆芳（崔三哥）","土匪汉奸","土匪汉奸，两次带日军袭击抗日游击队[reference:8]","被公安县抗日游击队处死[reference:9]"
"公安县","姚某","土匪汉奸","投靠日伪、作恶多端的土匪大哥[reference:10]","被公安县抗日游击队处死[reference:11]"
"公安县","李保长","汉奸","投靠日伪的汉奸保长[reference:12]","被公安县抗日游击队处死[reference:13]"
"公安县","周斌","麻豪口维持会会长","麻豪口（日军驻军司令部所在地）维持会会长，为日军维持殖民统治[reference:14]","1943年10月被公安县抗日游击队处决[reference:15]"
"公安县","于斌","日伪密侦","日伪密侦人员，强逼16岁民女嫁给40多岁的伪县保安总队长温伯威[reference:16]","被公安县"抗十团"党支部以汉流大哥身份出面请其喝酒，诱至李家台处死[reference:17]"
"公安县","康金彪","日伪密侦","日伪密侦人员，与于斌一同强逼民女[reference:18]","与于斌一同被处死[reference:19]"
"监利县","韩姓汉奸","汉奸（后反正）","监利周老嘴一带汉奸，被新四军巡逻战士抓获[reference:20]","经政工部门思想改造后主动投诚，深夜操日语骗开日军据点大门，协助34团全歼日军四百余人[reference:21]"
"监利县","李胜坤","伪军头目（后改编）","日伪时期伪军头目。日军投降后被国民党监利县长李澐改编为国民党监利县保安大队，任大队长[reference:22]","待考"
"监利县","王一鸣","伪军头目（后改编）","日伪时期伪军头目。与李胜坤一同被改编为国民党监利县保安大队，任副大队长[reference:23]","待考"
"洪湖（原沔南）","雷筱圃","伪沔南县政府筹备处处长","新堤码头黑帮"八大柱头"帮主。1940年被日本军特务部派来的妹尾义邦委任为"沔南县政府筹备处"处长[reference:24]","待考"
"洪湖峰口镇","黄标","伪峰口镇维持会长、伪自警团长、伪清剿大队长","洪湖峰口镇人。表面为日伪服务，实际系中共特别党员，受李先念指派打入日寇内部做情报工作[reference:25]","抗战胜利后被误解为汉奸，后获平反"
"荆门县","李用民",""反共军"司令（土顽汉奸）","盘踞荆钟北山抗日根据地的土顽、汉奸头目。公开打着"反共军"旗号甘当日寇走狗，对抗日武装、共产党员和根据地进步群众实行血腥镇压[reference:26]","1942年8月被北山游击队攻其老巢，当场活捉[reference:27]"
"荆门","谢厚香","土匪汉奸","荆南土匪，经常聚众在五里铺赵家集一带杀人放火、拦路抢劫、强奸妇女，根据地人民深受其害[reference:28]","待考"
"荆门","张沉金寿","汉奸","汉奸，被抗日武装处决[reference:29]","被处决"
"荆州地区","石星川","伪汉口市市长、伪湖北参议府副参议长","湖北阳新人，早年曾任荆宜镇守使。抗战期间叛国投敌，任伪湖北参议府副参议长、伪汉口市市长，与何佩瑢、张仁蠡、雷寿荣并称湖北"四大汉奸"[reference:30][reference:31]","1946年4月被湖北省高等法院判处死刑，后减为无期徒刑；1948年7月死于狱中[reference:32]"
"荆州地区","熊剑东","伪"黄卫军"指挥官","曾留学日本士官学校，率"黄卫军"伪军驻扎湖北监利一带，保卫日军白螺机场[reference:33][reference:34]","待考"
