"地区","姓名","职务","主要罪行","结局"
"洛阳城区","贾式平","伪洛阳县政府县长","深得日本间谍佐藤羡次郎赏识，洛阳沦陷后被推荐任命为伪县长，为虎作伥，干了很多坏事[reference:0][reference:1]","日本投降后靠内亲庇护暂逃一劫，洛阳二次解放后被逮捕法办[reference:2][reference:3]"
"洛阳城区","佐藤羡次郎（化名杨书祥）","日本间谍、特务","日本北海道人，化名“杨书祥”潜伏洛阳多年，以卖卤豆腐丝为掩护搜集情报，绘制洛阳详尽地形图，为日军轰炸和进攻提供情报[reference:4][reference:5]","洛阳沦陷后晋升少将，随日军入城[reference:6]"
"洛阳城区","胡老八","汉奸","在洛阳一带为日军效力，破坏抗日组织[reference:7][reference:8]","被中共地下党员梁同礼锄奸行动除掉[reference:9][reference:10]"
"洛阳城区","韩明奎","汉奸","1945年夏伏击中共地下党员梁同礼[reference:11][reference:12]","待考"
"伊川县","张治公（张树林）","伪自由县（今伊川县）县长、伪白沙县政府县长","伊川人，出身绿林。1941年任伪自由县县长[reference:13]；1944年洛阳沦陷后在白沙建立日伪县政府任伪县长[reference:14]，任期约5-8天[reference:16][reference:17]。任内为日军派款派粮[reference:18]","1951年3月18日经洛阳专署批准，以反革命罪在偃师县处决[reference:19][reference:20]"
"伊川县","李友侠","伪伊川县长","继张治公之后任日伪伊川县长[reference:21]","待考"
"伊川县","韦子斌","日伪白沙警察局局长","铁杆汉奸，带领汉奸武装出没洛阳、偃师、宜阳一带刺探情报、破坏抗日斗争[reference:23][reference:24]。警察局有100多人[reference:25]","1944年12月14日，伊川县独立团奇袭白沙警察局，韦子斌被击毙[reference:27]"
"伊川县","魏乐道","日伪白沙警察局大队长","韦子斌下属，与韦子斌面和心不和[reference:29]","被抗日武装争取为内线[reference:30]"
"伊川县","宋捞","日伪白沙警察局警察","为虎作伥，在警察局任职[reference:32]","待考"
"伊川县","郭绍绪","伊川自卫团团长","伊川葛寨乡人[reference:33]。1944年伊川沦陷后，为消灭日寇假装投敌，背负“汉奸”骂名[reference:34]","设鸿门宴全歼日军8名指挥官，击毙日本兵40多人[reference:35]；解放后得以平反[reference:36]"
"偃师县","贾世勋","伪独立团团长","1944年勾结驻巩县日军及各据点伪军2300多人围攻军屯村[reference:37]","待考"
"偃师县","张世辉","汉奸","为贾世勋带路，向军屯村喊话劝降[reference:38]","待考"
"新安县","王维屏","伪新安县长","1944年5月新安县沦陷后任伪县长[reference:39]","待考"
"新安县","陈耀成","汉奸","1944年日军进攻新安时，带领汉奸打白旗、敲锣打鼓夹道欢迎日军进城[reference:40]","待考"
"新安县","郝子固","汉奸","与陈耀成一同欢迎日军进城[reference:41]","待考"
"新安县","栾志考","汉奸","1939年新安镇沦陷后投靠日军，充当汉奸爪牙[reference:42]","待考"
"新安县","熊万东","大汉奸恶霸","在新安县城深宅大院，前院驻扎日本宪兵队，为日军效力[reference:43][reference:44]","待考（新安除奸团曾试图铲除未果）[reference:45]"
"孟津县","李半仙（外号）","汉奸","为日军带路，充当向导[reference:46][reference:47]","待考"
"孟津县","佚名汉奸","汉奸","向日军告密宋维亚“私通八路，放八路军过河”[reference:48]","待考"
"宜阳县","佚名汉奸","汉奸向导","1944年6月为日军进攻赵保抗日根据地引路[reference:49]","待考"
