"地区","姓名","职务","主要罪行","结局"
"开封城区","刘郁芬","汪伪政府开封绥靖公署主任、军事委员会委员、军事委员会总参谋长","抗战期间叛国投敌，沦为汉奸，任汪伪政府开封绥靖公署主任等职[reference:0][reference:1][reference:2]","1943年病死于北平[reference:3][reference:4]"
"开封城区","肖瑞臣","伪河南省自治政府主席→伪河南省公署省长","1937年11月27日，日军在安阳扶植其成立伪河南省自治政府，任主席；1938年4月改组为伪河南省公署后改任省长[reference:5][reference:6]","待考"
"开封城区","贾孝骞","伪开封道尹","清末拔贡出身，曾作北洋军阀段祺瑞幕僚，日军占领开封后被请出充当道尹[reference:7][reference:8]","待考"
"开封城区","权沈斋","开封汉奸特务队长","日军华北五省特务机关长吉川贞佐的心腹，贪财好利，为日军搜集情报、迫害抗日人士[reference:9][reference:10][reference:11]","待考（曾被我地下党利用以接近吉川）[reference:12]"
"开封城区","宋海亭","伪开封市商务会会长","原开封商会执委、梁园春饭庄经理，开封沦陷后出面维持，继而组成伪开封市商务会并出任会长[reference:13][reference:14]","待考"
"开封城区","徐景吾","伪政府财务科长（中共地下党员）","受党组织派遣打入伪政府任财务科长，实际从事抗日情报工作[reference:15]","待考（潜伏人员）"
"开封城区","芦孝","伪区队长→伪大队长","西郊乡王府砦村人，恶霸、汉奸、地主。1938年开封沦陷后投靠日军，曾杀人11名，奸淫妇女十多人[reference:16][reference:17][reference:18]","1950年12月23日被处决[reference:19]"
"杞县","鲁大章","杞县维持会会长（第一任）","原杞县商会会长，1938年6月1日日军占领杞县后，网罗清末遗老、地主、市侩，建立杞县第一个汉奸傀儡组织——维持会[reference:20]","1938年7月被日军刺死[reference:21]"
"杞县","田友望","杞县维持会会长（第二任）","字益三，五里河八里庙村人，北洋军阀政府旅长。1938年12月12日带领日军第二次占领杞县，组织第二个维持会[reference:22][reference:23]","待考"
"杞县","侯直斋","杞县维持会副会长","又名侯五，县城西门大街人，与田友望共同组建第二个维持会[reference:24]","待考"
"杞县","王朗山（王文清）","杞县县政筹备处主任→县知事","县南八卦亭村人，先任县政筹备处主任，1939年9月正式建立杞县县公署后任县知事[reference:25]","待考"
"杞县","王少安","杞县县知事","滑县人，接替王朗山担任县知事[reference:26]","待考"
"杞县","刘云亭","杞县县长","河北人，1943年12月县公署改为县政府后担任县长[reference:27]","待考"
"杞县","李载赓（李祝庭）","杞县县长","县城内东文化街人，接替刘云亭担任县长[reference:28]","待考"
"杞县","张普恩","杞县伪军联队长","杞县最大的汉奸头子，辖十几个中队及一个特务中队（自行车队），仗日军势力四处“扫荡”，抓捕、残害抗日军民[reference:29][reference:30][reference:31]","1944年2月被杞北独立营活捉[reference:32]"
"杞县","赵焕尧","张寨村自卫团团长","杞县张寨村大地主，日军占领后投靠日本，任本村自卫团团长，大肆掠夺百姓财产，为日军提供后勤补给[reference:33][reference:34][reference:35]","抗战胜利后去向不明[reference:36][reference:37]"
"杞县","赵焕伦","自卫队（汉奸队）小队长","赵焕尧的族亲，任汉奸队小队长，为日军服务[reference:38]","待考"
"杞县","褚元海","豫东治安团团长","开封道尹贾孝骞的内弟，曾任贾孝骞的马弁，后受委派任治安团长[reference:39][reference:40]","待考"
"开封周边","马其昌","汉奸头子","在开封周边地区为日军效力，残害抗日军民[reference:41]","被武工队处决[reference:42]"
"开封周边","许子绪","大汉奸","恶贯满盈的汉奸，是武工队的锄奸目标[reference:43]","待考（被武工队锁定为目标）"
"开封周边","孙良诚","伪开封绥署主任","原国民党冀察战区副总司令，1942年率部投日，后任开封伪绥署主任[reference:44][reference:45]","待考"
"开封周边","王清瀚","伪第五军军长","投日后任伪第五军军长，所部在开封设立办事处[reference:46][reference:47]","待考"
