"类别","地区","姓名","职务/身份","主要罪行","结局"
"伪政权头目","博山县","李又溪","博山县治安维持会会长（首任）→伪博山县长（首任）","1938年1月3日公开打出维持会招牌，代行伪县公署职权，为日军建立殖民统治体系。1938年底任伪博山县长。1939年1月被撤职","待考"
"伪政权头目","博山县","曲化儒","伪博山县长（第二任）","1939年1月接替李又溪出任伪博山县长，至1944年冬调任伪潍县知事","待考"
"伪政权头目","博山县","马云涛","伪博山县长（末任）","1944年冬接替曲化儒，成为博山最后一任伪县长，至1945年8月日本投降","待考"
"伪政权头目","淄川县","高福斋","淄川县维持会会长（首任）","1937年12月日军占领淄川后，高福斋出面建立汉奸组织——地方治安维持会[reference:0][reference:1]。依仗日军势力向群众要粮、要款[reference:2]。1937年12月底，受日军指使以“宣抚安民”为由派汉奸张克顺等到河东村招抚“铁板会”[reference:3]。1938年2月2日（正月初三），高福斋持扩音筒在杨家寨村口喊话诱骗村民打开寨门，致使日军入村屠杀[reference:4]","待考"
"伪军头目（最大汉奸）","临淄县","王砚田（王六/一眼六）","临淄县独立营营长（叛变前）→“剿共建国军临淄保安团”团长→“剿共救国军第二师”师长","临淄朱台镇薛家屯人[reference:5][reference:6]。1941年2月4日与桐林日军据点汉奸区长路林彦勾结公开叛变投敌[reference:7][reference:8]。叛变时命人将部队中党员及政工骨干全部杀害投尸河中，制造“乌河惨案”[reference:9]。投敌后任伪“临淄保安团”团长，帮日军修筑50多个据点[reference:10][reference:11]。1946年任“剿共救国军第二师”师长，在路山、辛店一带杀死民兵、战士30多人[reference:12]","1948年济南解放时逃往台湾，1986年病死于台湾[reference:13]"
"伪军头目","临淄县","路林彦","桐林日军据点汉奸区长","桐林日本据点汉奸区长[reference:14]。1941年2月与王砚田勾结，助其公开叛变投敌[reference:15]","待考"
"伪军头目","临淄县","马竹斋","王砚田部京剧团团长","受王砚田指派劝降被俘的抗日志士刘兴武，遭刘兴武大骂王砚田汉奸、卖国贼[reference:16]","待考"
"伪军头目","博山县","伊来灏（伊可春/伊老九）","伪博山县警备大队大队长→伪博山县警备团长、淄博警备司令","临朐人，土匪出身[reference:17]。1938年9月率300余人投日军，被编为伪博山县警备大队[reference:18]。任内捕杀抗日军民，血债累累[reference:19]。博山解放前夕暗藏5000余斤炸药企图炸毁我军[reference:20]","1945年8月26日解放淄川时被俘[reference:21]；1945年9月5日被周村城防司令部宣判处决[reference:22][reference:23]"
"伪军头目","博山县","唐玉祥（唐守兰）","伪博山县警备大队中队长→伪警备团一营营长","1942年任伪警备大队中队长[reference:24]；1945年伪警备团成立后任一营营长[reference:25]","待考"
"伪军头目","博山县","唐耘芳","伪博山县警备大队中队长→伪警备团二营营长→淄博警备一旅一团团长","1942年任伪警备大队中队长[reference:26]；1945年伪警备团成立后任二营营长[reference:27]；蒋日伪合流后被张景月任命为淄博警备一旅一团团长[reference:28]","待考"
"伪军头目","博山县","兰干臣","伪博山县警备大队中队长→伪警备团三营营长","1942年任伪警备大队中队长[reference:29]；1945年伪警备团成立后任三营营长[reference:30]","待考"
"伪军头目","博山县","亓立田（齐立田）","伪博山县警备大队中队长","铁杆汉奸，1943年伪警备大队扩大到11个中队时分驻西石马一带[reference:31][reference:32]","待考"
"伪军头目","博山县","齐立良","伪博山县警备大队中队长","1943年与亓立田分驻口头一带[reference:33][reference:34]","待考"
"伪军头目","博山县","李殿安（李佃安）","伪博山县警备大队中队长","1942年任伪警备大队中队长[reference:35]","待考"
"伪军头目","博山县","张忠信","伪博山县警备大队中队长","1942年任伪警备大队中队长[reference:36]","待考"
"伪军头目","博山县","崔冠英","伪博山县警备大队中队长","1942年任伪警备大队中队长[reference:37]","待考"
"伪军头目","章丘/淄博","高松坡","山东“剿共”军司令","1941年春率部投靠日军，被编为山东“剿共”军任司令[reference:38][reference:39]。随日军不断窜扰章丘、淄博、莱芜抗日根据地，组成暗杀团专门杀害地下党员、八路军伤病员和抗日群众[reference:40]","待考"
"伪军头目","沂源","陈三坎","和平建国军第三方面军独立旅旅长","盘踞沂源玉皇顶一带，对当地百姓进行烧杀抢掠，是地地道道的汉奸[reference:41]","待考"
"伪军头目","淄川县","周福堂","日伪淄川汉奸队班长","参与捕杀淄川县九区保安队指导员韩其洪烈士，将其头颅割下悬于市集[reference:42][reference:43]","建国后被人民政府抓获，判处死缓[reference:44]"
"汉奸特务","博山县","焦念生","日伪博山宪兵队便衣特务","博山石马镇人[reference:45]。充当日伪宪兵队便衣特务，仗势作威作福，鱼肉乡邻[reference:46]。1940年被公安局擒获后经教育留在局里，未满三个月即溜回，变本加厉搜集八路军情报、抓捕村干部[reference:47]。曾将南沙井村妇女主任四肢吊起，在心口窝支红缨枪往死里打[reference:48]","被博山县公安局锄奸小组多次追捕，结局待考"
"汉奸特务","博山县","焦念来","日伪博山宪兵队便衣特务","焦念生之弟，与兄一同充当日伪宪兵队便衣特务[reference:49]","待考"
"汉奸特务","博山县","王化月","汉奸特务（孙黎特务机关）","1943年7月与叛徒苏同武、汉奸郑治一带领孙黎特务机关抓捕中共朱家乡党总支等八名党员干部，致使八人被折磨致死并投入枯井[reference:50][reference:51]","解放后被人民政府处决[reference:52][reference:53]"
"汉奸特务","博山县","郑治一","汉奸特务（孙黎特务机关）","与王化月一同参与抓捕八名党员干部[reference:54][reference:55]","解放后被人民政府处决[reference:56][reference:57]"
"汉奸特务","博山县","李振之","原中共博山县委经建科长（叛变）","1941年10月被捕叛变[reference:58]。其后又撺掇其子李奉奎叛变投敌[reference:59]。父子叛变给博山四区党组织带来毁灭性破坏[reference:60]","待考"
"汉奸特务","博山县","李奉奎","东石马村党支部组织委员（叛变）","1941年被其父李振之撺掇叛变投敌[reference:61]。1943年春被焦念生等锄奸小组在东石马村东关帝庙擒获[reference:62]","被锄奸小组在盆泉南嵧嵧口的淄河滩上就地枪决[reference:63][reference:64]"
"汉奸特务","博山县","苏同武","叛徒","1943年7月叛变，带领孙黎特务机关抓捕八名党员干部[reference:65][reference:66]","解放后被人民政府处决[reference:67]"
"汉奸特务","博山县","李又溪（兼）","日军冈崎部队汉奸向导","1937年12月30日凌晨，由李又溪等汉奸引路，日军从容开进博山城[reference:68]。后带领日军冈崎部队到谦益祥商号进行搜捕[reference:69]","待考"
"汉奸特务","博山县","郑子宾","日军冈崎部队汉奸向导","与李又溪一同带领日军冈崎部队到谦益祥商号搜捕[reference:70][reference:71]","待考"
"汉奸告密者","淄川县","张克顺","淄川县维持会成员/粮差","1937年12月底受淄川县维持会会长高福斋派遣，到河东村招抚“铁板会”，企图诱使其投降日军[reference:72][reference:73][reference:74]","被“铁板会”成员扣押[reference:75]"
"汉奸告密者","淄川县","李德水","淄川县维持会副会长","1938年1月30日（除夕），带领日军指挥官冈奇率200多人从洪山奔袭河东村[reference:76][reference:77][reference:78]","待考"
"汉奸告密者","淄川县","陈树清","日商田岛的心腹","马尚镇人[reference:79]。1938年2月将杨家寨“铁板会”准备伏击日军的情报连夜告知日商田岛，致使日军提前调转枪口[reference:80]","待考"
"汉奸告密者","淄川县","李德詅","王村“爱路青年团”情报搜集班侦察班长","1942年12月8日在淄川县第六区古城乡万家庄发现20名八路军便衣后向王村警务分所报告[reference:81][reference:82]。随后带路对八路军进行三面包围，致3名八路军牺牲[reference:83][reference:84]","被八路军击中三枪当场毙命[reference:85][reference:86]"
"汉奸告密者","博山县","刘佩水","汉奸“二五子”通信大队大队长","1941年1月，淄博矿区工会特务队副队长翟干臣等转移途中恰遇刘佩水等20余人，双方交火[reference:87]","刘佩水等6人被击毙[reference:88]"
"汉奸把头","淄川县","亓汝滨","鲁大公司淄川炭矿沈马庄三坑包工大把头","倚仗日军势力残酷压迫剥削工人，拒不执行抗日民主政府和矿区工会的法令规定，抗拒缴纳煤税[reference:89]","待考"
"汉奸（关联）","淄川县/博山县","孙之獬","明末清初汉奸（非抗战时期）","淄川（今淄博博山）人，明末清初降清，推行“剃发令”[reference:90][reference:91]","非抗战时期人物，仅作说明"
