"地区","姓名","职务","主要罪行","结局"
"郑县","王宏善","郑县维持会会长","郑州沦陷后首个傀儡首领，推行良民证制度，为日军征粮、征用民夫、搜集爱国人士情报，组织各区伪分会","日本投降后被国民政府逮捕，以汉奸罪判刑"
"郑县","张伯钧","酒井特务队小队长","郑州本地地痞，投靠日军宪兵酒井勇一，四处搜捕地下党员、爱国青年，罗织“通八路”罪名敲诈民众","1945年抗战胜利后，被国民党当局诱捕，在小刘村集体处决"
"郑县","吴凤田","酒井特务队班长","跟随张伯钧从事侦查、抓捕工作，协助日军审讯被捕人员","与张伯钧一同被处决"
"郑县","岳清江","酒井特务大队长","率特务队为日军服务","史料记载其暗中为军统传递情报，战后免于处决（非纯粹铁杆汉奸）"
"新郑","赵汉卿","新郑维持会会长","日军攻占新郑后率先接洽日军，组建维持会，售卖良民证，向日军输送粮食物资，组建伪自卫队配合日军清乡","抗战胜利后被清算"
"新郑","刘春泉","新郑维持会副会长","负责管控城内商户，摊派苛捐杂税，监视民间抗日活动","待考"
"新郑","赵子珍","新郑伪警察队队长","组建伪警察武装，带领伪警巡逻盘查，抓捕支持抗日武装的百姓","待考"
"新郑","高经甫","伪自卫团团长（下辖120余人）","配合日军进山扫荡新郑西山抗日根据地","待考"
"新郑","赵寻","告密汉奸","1945年向伪军告密八路军连队宿营地点，导致日伪军深夜合围抗日部队","待考"
"新郑","王保太","大汉奸","被豫西抗日根据地处决","被处决"
"中牟","高健","瓦坡维持会会长（1938年）","中牟最早附逆人员，花园口决堤后日军占据中牟北部，主动投靠日军建立维持会","待考"
"中牟","杨小溪","东漳维持会会长","在中牟北部长期为日军征集粮草，组建地方自卫团武装","待考"
"中牟","杨元阶","伪东漳镇长","与杨小溪配合，为日军征集粮草","待考"
"中牟","王在之","八岗维持会会长（1944年）","设立伪警察大队，管控渡口，盘查往来人员，堵截抗日人员南北交通","待考"
"广武","王昆璞","日伪德高乡伪乡长","长期依附广武日军据点，搜集荥广一带游击队情报","1944年被抗日武装武工队就地铲除"
"荥阳","贾世勋","伪独立团团长（未遂）","原为地方游击队骨干，贪图日军许诺的团长职位叛变投敌，出卖结拜兄长段庚寅，提供游击队驻地情报，引导日军伏击抗日队伍","抗战结束后被公审镇压"
"郑县","赵龙田","日本特务机关汉奸（山东人）","1936年被日本特务志贺秀二收买，为日本驻郑州领事馆搜集情报、勾结土匪刘桂堂企图暴动","1937年1月暴露被捕，被处以死刑"
"郑县","张桂花","女汉奸","抗战时期与汉奸头子勾结，向日军出卖抗日军民情报","抗战胜利后被捕，后潜逃；1961年被判处死刑"
"郑县","佚名汉奸（德化街药店店主）","日本情报据点人员","在德化街开设药店，秘密贩卖毒品，配合福源商店收集中国军事情报","药店被侦缉队捣毁"
