姓名,籍贯,身份,主要史实,史料来源,备注
马良,河北清苑,伪山东省省长,1938年任伪山东省公署省长，在济南建立伪省级政权，推行奴化教育、强征物资，镇压抗日力量,山东地方志、济南抗战史料,济南沦陷初期最高伪政权首脑
唐仰杜,山东邹县（今邹城）,伪山东省省长,接替马良任伪山东省省长，长期坐镇济南，完善伪保甲制度，配合日军扫荡，抗战胜利后被逮捕处决,山东省志、济南文史资料,山东伪政权核心人物；籍贯邹县（今属济宁）
杨毓珣,安徽泗县,伪山东省省长,汪伪后期伪山东省省长，驻济南，掌控伪省军政事务,近代汪伪人物史料,汪伪后期山东最高傀儡；外省籍
朱桂山,山东单县,伪济南市市长,济南首任伪市长，组建伪济南市公署，管理城区，搜刮民财，推行奴化统治,济南市志、济南党史资料,济南伪市政首任长官
李植庭,山东寿光,伪济南市市长,第二任伪济南市市长，继任主持济南伪市政管理,济南抗战文史,伪济南市长
程逸安,籍贯不详,伪济南市警察局长,伪济南市公署警察局长，指挥伪警察搜捕地下抗日人员,济南地方抗战史料,伪济南警政头目
刘景尧,山东济南,伪济南商会会长,伪济南商会负责人，逼迫商户捐款纳粮，为日军筹措军需物资,济南文史资料,经济类汉奸，配合日伪经济掠夺
周庆元,山东历城,伪历城县县长,伪历城县政府县长，在济南郊区推行伪保甲，抓捕抗日群众,历城县志,济南县域伪政权头目
张星五,山东历城,汉奸向导密探,长期为日军搜集济南周边抗日游击队情报，多次带路扫荡历城乡村，战后被肃奸处决,济南党史文史,本地基层铁杆汉奸
张光璧,山东济阳（今属济南）,一贯道总道首,抗战期间投靠日军、勾结汪伪政权，以传道为名散布媚日言论，扩大组织配合敌伪统治；济阳、济南为其传道基地之一,澎湃新闻、济阳文史资料,一贯道总道首；附逆会道门头目
赵琪,山东掖县（今莱州）,伪青岛治安维持会会长、伪青岛特别市市长,1938年1月起任伪青岛维持会会长、伪青岛市长，辅佐日军统治青岛，推行奴化政策，压制抗日活动，1943年3月卸任,抗日战争纪念网（青报网转载）,1947年被国民政府以汉奸罪判处死刑
姚作宾,四川南部,伪青岛特别市市长,1943年接赵琪任伪青岛市市长，为日军征敛物资、搜捕抗日民众,抗日战争纪念网（青报网转载）,外省籍任职青岛；青岛解放后被审判处决
张鸿飞,山东胶县（今胶州）,伪山东省特务第四旅旅长,率部配合日军清剿胶县抗日武装，鱼肉乡里，抓捕抗日人员,项目数据库（中共青岛市委史料）,1954年于胶县被人民政府处决
相铭忱,山东胶南,伪青岛特四联队联队长,率伪军配合日军扫荡胶南一带，残害抗日军民,项目数据库（中共青岛市委史料）,1950年青岛公审处决
张敬浩,山东博山,伪上党道道尹,主政伪上党道期间推行保甲连坐、强征粮物，为日军搜刮资源,项目数据库,籍贯博山（今属淄博），任职山西上党道，汉奸行为在省外
庞文学,山东峄县,伪峄县保安警备大队长,率伪军下乡抢粮，配合日军扫荡运河两岸，与鲁南铁道游击队对峙,项目数据库,1945年枣庄解放后被俘公审枪决
龙希贞,山东台儿庄,涧头集伪区长、台儿庄伪军头目,投敌后充当日军耳目，迫害原运河支队人员及抗属,项目数据库,运河支队叛徒，抗战后被处决
吴化文,山东掖县（今莱州）,伪和平救国军第三方面军上将总司令,1943年1月公开投日，率部配合日军扫荡鲁中抗日根据地，在临朐一带制造无人区,凤凰网历史等史料综述,掖县人（今属烟台）；1948年9月济南战役阵前起义，任解放军第35军军长，1962年病逝
赵保原,山东蓬莱,胶东伪军头目,抗战中反复叛变投敌，盘踞莱阳一带，充当胶东最大伪军，疯狂进攻抗日根据地、残害民众,项目数据库,1946年胶县战斗中被击毙
张绍武,山东海阳（归属待核）,伪海阳镇警察所长,驻守海阳据点配合日军，抓捕地下交通员、迫害抗属,项目数据库,海阳归属（烟台海阳或河北卢龙海阳镇）待核；1944年被俘判死刑
厉文礼,山东安丘,伪鲁东和平建国军司令,抗战初期任国民党山东专员，后投敌任伪鲁东和平建国军司令，配合日军作战、残害抗日军民,项目数据库,1945年抗战后被捕，1946年被国民政府处决
李永平,山东诸城,伪滨海警备军司令,盘踞胶南泊里镇一带，配合日军扫荡滨海区，制造泊里惨案祸害民众,项目数据库,1944年病死于青岛
张步云,山东高密,伪山东建国军暂编第一军军长、诸城日照联庄会匪首,多次投敌、反复叛变，在诸城、高密、日照、五莲一带烧杀抢掠，制造刘家庄惨案（一次杀害130余人）,网络人物史料,1948年2月在青岛被处决
刘本功,山东济宁,伪郓城县长、伪警备司令,外号活阎王，鲁西著名伪军头目，配合日军扫荡、制造多起屠杀惨案,项目数据库,1946年在济南被处决
王绍武,山东宁阳,伪宁阳县长、伪兖济道道尹,掌鲁西南十数县伪政权，推行保甲连坐，残害抗日人员,项目数据库,镇反中被处决
李圣五,山东泰安,汪伪司法行政部部长,主持伪司法行政，为日伪统治张目,项目数据库,1946年以汉奸罪判处有期徒刑15年
郝书暄,山东东平,伪山东省教育厅长、伪济南道道尹,1938年5月至1945年2月任伪山东省教育厅长，推行奴化教育、散布中日亲善卖国宣传；后改任伪济南道道尹,泰安东平人物传记（网络）,东平籍（今属泰安）；1946年以汉奸罪被捕入狱，狱中服毒自尽
陈成功,山东莒县,伪日照县长、伪和平建国军少将司令,抗战中组织伪中国和平军800余人盘踞涛雒，配合日军扫荡，杀害抗日军民约800人、烧屋2300余间,莒县日照人物传记（网络）,1949年8月在济南被捕，1950年5月于涛雒被公审处决
刘桂棠（刘黑七）,山东平邑,伪和平救国军第十军第三师师长,惯匪出身反复投敌，在沂蒙山区烧杀掳掠、残害百姓,项目数据库、网络史料,1943年11月15日在费县柱子山一带被八路军击毙
李逢源,山东宁津,伪宁津县警备大队长,多次率伪军出城扫荡、抢掠民众,项目数据库,宁津解放后被处决；宁津、庆云抗战期间属河北，1952年划入山东德州
赵老黑,山东庆云,伪庆云县警备大队长,下乡抢掠、迫害堡垒户,项目数据库,庆云解放后被枪决；属地注记同上
张伯荣,山东宁津,伪宁津县长,投靠日军充任宁津伪县长，维持日伪统治,抗日战争纪念网（山东抗战大事记）,1938年7月被八路军冀鲁边第三十一支队智取宁津县城时俘虏
罗兆荣,山东博平（今茌平）,伪博平自卫团总团长,1940年秘密勾结日军、1942年公开投敌，设36处据点统治博平六年，杀害无辜群众及抗属300余人、逼流亡2000余人，民间称三鬼子,知行古念（转自《日伪军在鲁西的罪行录》）,1946年1月博平解放后率残部逃往济南，结局未见刊载
李道源,山东东明,伪东明县长,推行治安强化运动，修炮楼封锁根据地，残害民众,项目数据库,1945年潜逃，1947年归案判刑
楚景三,山东东明,伪东明县警备大队长,率伪军扫荡黄河滩区村庄，残害群众,项目数据库,东明解放后被俘处决
