姓名,籍贯,身份,主要史实,史料来源,备注
邓祖禹,江西宜春,汪伪高级汉奸,汪伪政权警政部常务次长、首都警察厅长，1943年出任汪伪江西省省长，在汪伪政权内主管警务、搜刮资源，抗战胜利后被捕审判,近代汪伪史料、人物传记,籍贯宜春，长期在南京、九江汪伪辖区任职，极少回宜春本地活动
江亢虎,江西上饶,汪伪文人汉奸,抗战期间投靠日伪，发表文章为南京大屠杀日军暴行辩解，1945年被捕审判,文史资料、近代汉奸史料,籍贯上饶，长期在外活动，不在上饶本地作恶
郑和尚,江西玉山,附日密探,1942年日军侵占玉山期间，为日军刺探抗日游击队情报，被抗日敢死队抓获后枪决,玉山之窗党史资料,浙赣战役时期
鲁苏容,江西玉山,附日密探,与郑和尚一同充当日军眼线，探查游击队动向，被抓获枪决,玉山之窗党史资料,浙赣战役时期
杨呆子,江西玉山,附日密探,私通日军，身上搜出日本银币，头发标记“大日本”字样，被游击队抓获枪决,玉山之窗党史资料,浙赣战役时期，为外号，无完整正式姓名记载
严和尚,江西临川（文昌桥外）,附日汉奸,1942年日军占领临川县城，主动投靠日军，协助日军在城内搜刮物资、欺压百姓；日军撤退后被国民政府肃奸处决,抚州新闻网、临川抗战史料,外号，无记载正式本名，原为市井无赖、杀猪帮工
胡毓成,湘赣边区（活动于新余、分宜一带）,附日汉奸,经营杂货铺，引导日军下乡搜掠粮食，协助日军祸害百姓，抗战胜利后被处决,民国肃奸档案、赣西抗战史料,浙赣战役期间在赣西活动，是新余周边记载较明确汉奸
萧淑宇,江西永新,汪伪高级汉奸,投靠汪伪，被任命为汪伪江西省省长；1941年冬途经吉安准备赴南昌上任，在吉安永叔路大陆饭店门前被锄奸人员枪杀,吉安地方文史、近代汪伪人物史料,籍贯永新，在吉安被处决，未到伪省长任上
刘夷,江西吉安（吉州长塘）,汪伪军官汉奸,黄埔二期毕业生，抗战期间投汪伪，担任伪军旅长等职务；抗战胜利后被捕，以“奉命投敌”为由获减刑,近代黄埔投敌人物史料、赣西文史资料,籍贯吉安，主要活动不在吉安本地
戴鸣九,江西赣县,伪复兴会头目,1945年日军占领赣州，被日军扶植成立伪复兴委员会，在城内推行奴化管理、强征物资、抓捕爱国群众,赣南日报、赣州市政府抗战史料,赣州本地伪政权首领
林吉堂,赣南（活动于赣县）,附日汉奸,日军占领期间充当汉奸帮凶，日军撤退后被民众配合政府逮捕并处死,赣州市政府抗战史料,23名被处决汉奸中有全名记载者
温学良,赣南（活动于赣县）,附日汉奸,依附日军，协助伪复兴会盘剥百姓，日军撤退后被逮捕处决,赣州市政府抗战史料,23名被处决汉奸中有全名记载者
刘若民,江西九江,伪维持会委员长,1938年日军占领九江，成立伪难民整理委员会，任委员长，为九江最早伪组织头目,江西党史方志网,伪组织早期负责人
吴应墀(吴应池),江西九江,伪治安维持会会长,伪难民整理委员会改组为伪治安维持会，担任会长，协助日军管控城区民众,九江市史志办、江西党史方志网,九江伪维持会首任会长
王国瑞,江西九江,伪九江县县长,伪维持会改组伪九江县政府，出任伪县长，主管伪县行政，搜刮物资，配合日军统治,九江市史志办、江西党史方志网,九江沦陷时期核心汉奸，伪政权一把手
朱文超,江西九江,伪九江县政府筹备处处长,伪县政府筹备阶段任筹备处长，搭建伪政权框架,江西党史方志网,伪政权筹建负责人
张世雄,江西九江,伪九江县警察局长,伪政权警察局长，抓捕抗日人员，维持日伪城区治安,九江市史志办,九江伪政权三巨头之一
罗锦章,江西九江,伪商会会长,鸦片商人，出任伪商会会长，管控商贸，为日军征敛物资,九江市史志办,九江伪政权三巨头之一
肖承,江西瑞昌,伪警备队长,带领日军扫荡戴家山，抓捕48名平民，残害百姓,江西党史方志网,瑞昌本地伪武装头目
余传忠(又名周庆南、余继周),江西瑞昌,伪保安总队长、伪瑞昌县长,1940年投敌，任伪保安总队长、伪瑞昌县长，多次带领伪军扫荡赣北，屠杀大量抗日军民和平民,瑞昌地方抗战史料,赣北臭名昭著铁杆汉奸
朱万金,江西瑞昌,汉奸向导,带领日军突击队偷袭磨山阵地，致使国军阵地失守、大量官兵牺牲，战后被处决,瑞昌县抗战文史,带路型汉奸
叶和伦,江西湖口,伪湖口县长,日军占领湖口后首任伪县长，建立湖口伪县政府，组建伪各科室与保安队,抗日战争纪念网,湖口首任伪县长
肖夫祥,江西湖口,伪湖口县长,接替叶和伦担任伪湖口县长，继续推行日伪统治,抗日战争纪念网,湖口第二任伪县长
李淑山,江西湖口,伪保安队长,伪湖口县政府保安队长，抓捕抗日群众，残害百姓，抗战胜利后被击毙,抗日战争纪念网,湖口伪武装头目
高练武,江西湖口,伪财政科长,伪湖口县政府财政科长，为日军筹措粮款物资,抗日战争纪念网,湖口伪政权文职人员
王特生,江西湖口,伪军事科长,伪湖口县政府军事科长，协助管理伪保安武装,抗日战争纪念网,湖口伪政权文职人员
沈传志,江西湖口,伪宣传科长,伪湖口县政府宣传科长，推行奴化宣传教育,抗日战争纪念网,湖口伪政权文职人员
冯静安,原籍黄梅，活动湖口,伪建设科长,伪湖口县政府建设科长，负责日伪地方工程事务,抗日战争纪念网,湖口伪政权文职人员
胡蕙,江西新建,伪维持会会长,南昌沦陷初期，出任新建伪维持会会长，协助日军管控城区、搜刮物资，后因与日军指挥官矛盾辞职,江西网、南昌抗战文史,南昌最早一批伪组织头目
刘建达,江西新建南新,伪南昌市长,第二任伪南昌市长，组织伪便衣下乡扫荡，强征粮食、抓捕抗日群众,江西网、南昌市志,伪南昌市核心行政头目
朱方隅,南昌县,伪南昌县县长,汪伪南昌县首任伪县长，组建伪县府，推行保甲，为日军征缴粮谷,江西网、南昌县文史资料,南昌县伪政权一把手
胡熏,江西新建,伪新建县县长,伪新建县县长，负责新建县伪行政，因征粮任务无法完成，1944年春被免职,江西网、新建县志
章伏龙,南昌麻丘荷埠周村,汉奸向导,1942年7月带路引导日军包围塘南柘林街，制造“七·一八”塘南大惨案，屠杀大量平民，战后被处决,江西省政协文史、江西党史方志网,南昌县本地臭名昭著带路汉奸
范俊文,原籍河南开封，长期在安义、南昌一带活动,汪伪安义特务队长,1942年杀害战友携枪投日，任伪安义特务队长，多次带队扫荡安义、靖安、新建乡村，残害百姓；抗战胜利后潜伏南昌璇宫饭店被捕，后审判处决,抗日战争纪念网,活动范围含南昌周边，在南昌落网
万兆芝,江西南昌,汪伪中央高级汉奸,南昌籍，留学美国，投靠汪伪，历任汪伪实业总署劳工局局长、合作局局长等，在南京汪伪中央任职，推行奴化经济政策,近代汪伪人物史料,籍贯南昌，主要活动不在南昌本地
梅子肇,不详,伪南昌市政府顾问,担任伪南昌市政府日军方面顾问，幕后操控伪市长刘建达，掌控伪市政决策,江西网,日伪傀儡政权的日方辅佐人员
无公开记载全名,贵溪（大岩寺附近）,汉奸向导,1942年7月，为日军带路，指引日军找到大岩寺避难群众，制造大岩寺惨案，近200平民遇害,央广网、贵溪抗战史料,仅记载存在此人，无留存姓名；浙赣战役日军短期占领时期
