name,guid,period_start,period_end,harm_level,harm_name,source,crimes
黄金荣门徒（具体姓名不详）,ef74c6a1-9f66-4cfc-9b08-0c48d1697f81,1938,1945,D,丁级,hanjian,在杨浦区收取保护费，为日伪维持黑道秩序。
杜月笙门徒（具体姓名不详）,d94ae102-0175-4801-91ed-0eb1025b65e7,1940,1945,D,丁级,hanjian,在杨浦区参与日伪经济统制，倒卖物资。
张啸林门徒（具体姓名不详）,6df4221a-d9f2-4395-b77c-c4375d358570,1938,1940,C,丙级,hanjian,在杨浦区协助日军建立维持会，欺压百姓。
李士群下属（具体姓名不详）,cceae8b5-4f94-4522-84ea-d47bd1bb112a,1939,1943,D,丁级,hanjian,在杨浦区监视工厂工人，报告抗日活动。
丁默邨下属（具体姓名不详）,6049acda-e7be-4a17-93b7-45379161c371,1939,1940,D,丁级,hanjian,在杨浦区参与暗杀爱国人士。
周佛海下属（具体姓名不详）,6df591e0-5b51-41bb-bd66-2aa4279990e4,1944,1945,D,丁级,hanjian,在杨浦区征收“和平捐”，搜刮民财。
陈公博下属（具体姓名不详）,842542ee-1543-42b6-bf75-7f9e42a6725a,1940,1944,D,丁级,hanjian,在杨浦区张贴日伪标语，组织“庆祝”活动。
吴颂皋下属（具体姓名不详）,655a456e-3738-42b8-86c7-55aaa23317f9,1940,1943,D,丁级,hanjian,在杨浦区街头盘查行人，搜捕抗日分子。
卢英下属（具体姓名不详）,62c5fb71-4961-41c1-9f33-a9f3a8e8e548,1941,1945,D,丁级,hanjian,在杨浦区混入工人中刺探情报。
潘达下属（具体姓名不详）,b0b99a66-30b9-4042-871e-e6345ff4b31b,1942,1945,D,丁级,hanjian,在杨浦区办理汉奸户籍登记，协助保甲。
张德钦下属（具体姓名不详）,3761abd6-f6a8-4b45-9387-ffcfaf3af133,1943,1945,D,丁级,hanjian,在杨浦区挨户收税，勒索平民。
袁履登下属（具体姓名不详）,84b22615-d3f2-4937-9e26-104894e6cba7,1940,1945,D,丁级,hanjian,在杨浦区组织商人向日军献金。
闻兰亭下属（具体姓名不详）,6bc8b508-e226-4b03-aa7f-6bae0e31a5a8,1941,1945,D,丁级,hanjian,在杨浦区强迫工厂加入日伪工会。
林康侯下属（具体姓名不详）,e3b5c53d-f185-4a66-a596-c0f3d735eeea,1942,1945,D,丁级,hanjian,在杨浦区兑换军用票，掠夺百姓财产。
唐寿民下属（具体姓名不详）,5200b0a7-c42c-417a-80d3-9b3aea2c7c44,1943,1945,D,丁级,hanjian,在杨浦区管理日军物资运输。
周作民下属（具体姓名不详）,53ae43ed-8c43-40ad-9108-e5d56c4941d8,1943,1945,C,丙级,hanjian,在杨浦区保管日伪掠夺的黄金。
陈群下属（具体姓名不详）,1c12374b-5e30-42ae-be73-050c7c0d0aa0,1940,1943,C,丙级,hanjian,在杨浦区办理“良民证”，限制居民自由。
梅思平下属（具体姓名不详）,d41cd145-5f7e-488d-a1f9-24da2f04d8cd,1940,1943,D,丁级,hanjian,在杨浦区没收抗日物资，转交日军。
褚民谊下属（具体姓名不详）,7debd6fa-fa1b-4edc-8389-cae5bf76851d,1940,1945,C,丙级,hanjian,在杨浦区为日军与汉奸沟通充当翻译。
梁鸿志下属（具体姓名不详）,7f525a07-4d34-4043-84e6-10541a897513,1938,1940,C,丙级,hanjian,在杨浦区组织“欢迎日军”活动。
温宗尧下属（具体姓名不详）,94b8f4fc-4afe-4b3a-9154-7c80b148b888,1938,1940,D,丁级,hanjian,在杨浦区起草汉奸法规。
陈中孚下属（具体姓名不详）,c4dc4a71-7506-4b7f-a7f4-c9c4152d24aa,1938,1940,D,丁级,hanjian,在杨浦区训练伪警察。
任援道下属（具体姓名不详）,2c31da9d-cbb2-429e-85c2-44db25086fa6,1938,1940,D,丁级,hanjian,在杨浦区驻防，镇压工人。
高冠吾下属（具体姓名不详）,fb8a5df3-e544-41c7-98ce-6fd3c4c9eb56,1940,1943,C,丙级,hanjian,在杨浦区协助推行保甲。
李圣五下属（具体姓名不详）,a3cecf42-833e-4827-92c6-ddd4eff57eba,1940,1944,D,丁级,hanjian,在杨浦区学校教日语，灌输奴化思想。
樊仲云下属（具体姓名不详）,6d6b34c8-ca61-4f5c-8150-a8ec5766fcb0,1941,1945,D,丁级,hanjian,在杨浦区高校宣传“和平运动”。
赵叔雍下属（具体姓名不详）,d1f824ec-978c-4adf-8c3e-de869d206f3a,1942,1945,D,丁级,hanjian,在杨浦区组织汉奸文艺演出。
柳雨生下属（具体姓名不详）,a48593d5-8d57-45f7-b5a5-4b70284981c7,1943,1945,D,丁级,hanjian,在杨浦区查禁抗日传单。
金雄白下属（具体姓名不详）,54a6b02b-74d5-4437-b138-3df24bd7e904,1940,1945,D,丁级,hanjian,在杨浦区采访并美化日军暴行。
朱朴下属（具体姓名不详）,6ffbd65e-da21-4238-8234-c48058bfecf9,1941,1945,D,丁级,hanjian,在杨浦区编辑汉奸刊物。
陈彬和下属（具体姓名不详）,a275564e-3b5c-4137-acd5-61fe02d6db2a,1941,1945,D,丁级,hanjian,在杨浦区街头贩卖汉奸报纸。
许念曾下属（具体姓名不详）,f868d649-a8ec-478f-a9e7-eafd0c844318,1942,1945,D,丁级,hanjian,在杨浦区广播日伪新闻。
张一鹏下属（具体姓名不详）,5fd663f4-fc99-469d-9c0e-74c5f1c03447,1941,1945,D,丁级,hanjian,在杨浦区为汉奸辩护。
吴凯声下属（具体姓名不详）,3275f306-4fef-4e13-a417-199910e7d3b0,1940,1945,D,丁级,hanjian,在杨浦区法院记录伪审判。
郁华下属（具体姓名不详）,78059feb-7588-48c4-82fe-3ac6eed76af8,1941,1945,D,丁级,hanjian,在杨浦区逮捕抗日人士。
陈伯藩下属（具体姓名不详）,79e82981-5cb1-4ed3-9311-0b0d3516b2fd,1942,1945,D,丁级,hanjian,在杨浦区协助审判。
周越然下属（具体姓名不详）,5cfde12c-119f-4271-88a9-f01e0af55901,1943,1945,D,丁级,hanjian,在杨浦区检查学校。
徐朗西下属（具体姓名不详）,62305894-5c81-4d1f-bb1a-44f0f124e9c3,1942,1945,D,丁级,hanjian,在杨浦区招募青年当伪军。
陈日平下属（具体姓名不详）,f2c2d9a4-e7ad-4cd7-8bdc-66d6eb00bb68,1943,1945,D,丁级,hanjian,在杨浦区组织妇女慰劳日军。
黄大伟下属（具体姓名不详）,8d99fffa-422a-4856-a40c-6b2e2033b071,1941,1945,D,丁级,hanjian,在杨浦区巡逻。
刘德裕下属（具体姓名不详）,d9501f61-284f-46ab-b83c-391c6adde111,1940,1945,D,丁级,hanjian,在杨浦区收集情报。
马啸天下属（具体姓名不详）,f536f28d-d000-4948-ac28-c210a1b153a1,1940,1943,D,丁级,hanjian,在杨浦区殴打抗日群众。
杨杰下属（具体姓名不详）,12e709be-5ff9-428c-b6dc-bb4b84a8802a,1942,1945,D,丁级,hanjian,在杨浦区监视居民。
王天木下属（具体姓名不详）,ebfea9aa-eb7e-4676-9d57-c0bed2abbfe4,1939,1943,D,丁级,hanjian,在杨浦区传递情报。
陈恭澍下属（具体姓名不详）,a3d03ad8-72f1-4067-b471-76aa65ed3f4f,1941,1945,D,丁级,hanjian,在杨浦区指认抗日分子。
李开峰下属（具体姓名不详）,2f168c87-150e-49ae-bcd7-8bd26fd5d78f,1942,1945,D,丁级,hanjian,在杨浦区码头鞭打工人。
张阿福下属（具体姓名不详）,ea91c934-4c61-4efa-9bfb-014f1bda18ce,1943,1945,D,丁级,hanjian,在杨浦区工厂举报工人。
陈小毛下属（具体姓名不详）,7df23035-cece-4b4f-aa66-c3e125b7d0a4,1940,1945,D,丁级,hanjian,在杨浦区抓人。
周桂生下属（具体姓名不详）,79e83f53-9534-40a5-ba2a-3d0237f84fdb,1942,1945,D,丁级,hanjian,在杨浦区囤积居奇。
吴锦堂下属（具体姓名不详）,32a5bcbd-15c5-4105-a1f7-388798485b98,1943,1945,D,丁级,hanjian,在杨浦区纺织厂压榨工人。
沈九成下属（具体姓名不详）,b0702695-c9b0-48b6-9bf9-6e7dff531796,1942,1945,D,丁级,hanjian,在杨浦区卖烟给日军。
黄文植下属（具体姓名不详）,ad0dd21f-e523-4867-9977-c036f4b8da2e,1941,1945,D,丁级,hanjian,在杨浦区码头为日军卸货。
陈德铭下属（具体姓名不详）,69db9f6e-111b-43fe-a21c-1ce54fb05987,1942,1945,D,丁级,hanjian,在杨浦区为日军修电路。
徐采丞下属（具体姓名不详）,a0027fb7-37f3-4289-bb30-f02e9d651e5e,1943,1945,D,丁级,hanjian,在杨浦区为日军装水管。
刘建绪下属（具体姓名不详）,993b93ed-05b9-4f0a-8ad1-ff1f578411be,1942,1945,D,丁级,hanjian,在杨浦区为日军供气。
