name,title,activity_period,notable_deeds
傅筱庵,伪上海特别市市长,1938-1940年,曾任伪上海市长，为日军统治上海服务，后遭军统刺杀身亡。其活动范围涉及杨浦区（原公共租界东区及华界）。
陈公博,伪上海市长（兼）,1940-1944年,汪伪政权要员，兼任伪上海市长期间，推行清乡和奴化政策，杨浦地区在其管辖下。
周佛海,伪行政院副院长兼伪上海市长,1944-1945年,汪伪政权核心人物，后期主持上海政务，控制包括杨浦在内的沪东地区，镇压抗日力量。
吴颂皋,伪上海特别市警察局局长,1940-1943年,负责伪上海警察系统，在杨浦地区设立分局，协助日军搜捕抗日人士，残害百姓。
卢英,伪上海特别市警察局副局长,1941-1945年,参与指挥伪警察在杨浦（沪东）地区进行“清乡”和特务活动，迫害平民。
潘达,伪上海特别市沪东区公署署长,1942-1945年,管辖杨浦地区（沪东区），推行日伪保甲制度，强征粮食和劳工，为日军服务。
张德钦,伪上海特别市沪东区公署副署长,1943-1945年,协助潘达管理杨浦地区，参与镇压抗日活动，征收苛捐杂税。
李士群,伪特工总部（76号）主任,1939-1943年,汪伪特务头子，其特工在杨浦地区（如平凉路、杨树浦路）设立秘密据点，暗杀、绑架抗日志士。
丁默邨,伪特工总部（76号）副主任,1939-1940年,与李士群共同指挥特务活动，在杨浦地区制造白色恐怖。
汪曼云,伪江苏省政府委员兼伪上海特别市社会局局长,1940-1943年,负责伪社会事务，在杨浦地区推行奴化教育，组织汉奸团体。
罗君强,伪上海特别市秘书长,1940-1944年,协助陈公博处理伪市府事务，参与对杨浦地区工厂的掠夺和控制。
苏成德,伪上海特别市保安司令部副司令,1941-1945年,指挥伪保安队在杨浦地区巡逻、镇压罢工和抗日活动。
胡兰成,伪《中华日报》总主笔,1940-1945年,汪伪宣传喉舌，在杨浦地区发行报纸，鼓吹“和平救国”汉奸理论。
林柏生,伪行政院宣传部长,1940-1945年,主管汪伪宣传，其下属机构在杨浦地区张贴标语、发放传单，美化日军侵略。
陈春圃,伪上海特别市教育局长,1941-1944年,在杨浦地区学校推行日伪奴化教材，强迫学生参加“中日亲善”活动。
袁履登,伪上海特别市商会会长,1940-1945年,控制杨浦地区工商界，为日军征用工厂物资，强迫工人为日军生产。
闻兰亭,伪上海特别市商会名誉会长,1941-1945年,协助日伪在杨浦地区（如杨树浦工业区）推行经济统制，压榨工人。
林康侯,伪上海特别市银行业同业公会理事长,1942-1945年,为日伪在杨浦地区工厂提供金融支持，协助发行军用票，掠夺资源。
唐寿民,伪上海特别市交通银行总经理,1943-1945年,参与日伪对杨浦地区码头和交通设施的控制，为日军运输物资。
周作民,伪上海特别市金城银行董事长,1943-1945年,与日伪合作，在杨浦地区投资军工相关产业，支持侵略战争。
