name,title,activity_period,notable_deeds
龙绳武,滇西伪维持会头目、伪龙陵县维持会会长,1942-1944,日军侵占龙陵后，出面组织龙陵县维持会，为日军征派民夫、粮秣，协助维持占领区秩序，是龙陵当地较有影响的附逆人物。
杨绍周,伪龙陵县维持会副会长,1942-1944,在龙陵沦陷期间参与伪维持会事务，协助日军推行保甲、征粮和情报搜集，为当地伪政权骨干之一。
李春芳,伪保山县维持会会长,1942-1944,保山沦陷前后投靠日军，组织伪维持会，为日军筹粮、派夫并协助宣传‘大东亚共荣’，是保山地区有记载的附逆者。
张子刚,伪保山县警察局长,1942-1944,在日军控制保山期间出任伪警察局长，带领伪警配合日军搜捕抗日人员、镇压民众反抗。
赵宝贤,伪腾龙边区行政公署职员、伪龙陵县教育科科长,1942-1944,在龙陵沦陷区推行奴化教育，改编教材、强制日语教学，为日军文化侵略服务。
段克昌,伪滇西维持会联合会干事,1942-1944,串联保山、龙陵、腾冲等地伪维持会，协助日军建立和巩固滇西占领区伪政权。
杨天禄,伪龙陵县保安队队长,1942-1944,率伪保安队配合日军扫荡龙陵周边抗日武装，参与抓捕和审讯抗日群众。
王开国,伪保山县保甲长、情报员,1942-1944,利用保甲长身份为日军搜集抗日游击队情报，带领日军搜山，导致多名抗日人员被捕。
刘明德,伪龙陵县商会会长,1942-1944,在日军占领期间控制龙陵商会，为日军采购物资、摊派款项，并协助日军对食盐、布匹等实行统制。
陈绍虞,伪滇西伪军大队长,1942-1944,在保山、龙陵一带收编地痞流氓组成伪军，配合日军守备据点、修筑工事，参与对抗日根据地的封锁。
