name,title,activity_period,notable_deeds
刀京版,伪云南省德宏地区维持会会长、伪瑞丽安抚使,1942-1945,日军侵占滇西后，刀京版在瑞丽、畹町一带组织维持会，协助日军推行‘以华制华’政策，为日军征派粮秣、民夫，并参与组建伪地方武装，配合日军对滇西抗日游击区进行扫荡。
龚绶,伪芒市安抚使、伪潞西维持会会长,1942-1945,日军占领潞西（今芒市）后，龚绶率先投敌，出任伪芒市安抚使，主持伪维持会，为日军搜集情报、征粮派款，并诱降当地土司头人，协助日军控制芒市、遮放一带。
方克光,伪潞西设治局维持会副会长,1942-1944,在芒市地区协助龚绶组织伪维持会，负责摊派粮款、登记民户，为日军提供劳工，并参与镇压当地抗日民众。
多英培,伪遮放维持会会长,1942-1945,日军侵占遮放后，多英培出面组织维持会，为日军筹集粮食、修筑工事，并带领伪军配合日军巡逻，搜捕抗日人员。
线光天,伪陇川维持会会长,1942-1945,在陇川地区组织伪维持会，协助日军征调民夫、粮食，并参与诱降当地景颇族、傣族头人，为日军提供情报。
思鸿升,伪盈江维持会会长,1942-1945,日军侵入盈江后，思鸿升投敌，组织维持会，为日军征粮派款、修筑道路，并协助日军搜捕抗日志士。
李国清,伪梁河维持会会长,1942-1945,在梁河地区组织伪维持会，为日军筹集物资、提供民夫，并配合日军对当地抗日武装进行清剿。
杨绍诚,伪腾冲县维持会会长,1942-1944,日军占领腾冲后，杨绍诚出任伪维持会会长，为日军征粮派款、维持治安，并协助日军搜捕抗日人员，其活动范围覆盖德宏东部及腾冲一带。
董友芹,伪腾冲县维持会副会长,1942-1944,协助杨绍诚组织伪维持会，负责摊派粮款、登记民户，为日军提供劳工，并参与镇压抗日民众。
张德辉,伪龙陵县维持会会长,1942-1944,日军侵占龙陵后，张德辉投敌，组织伪维持会，为日军征调粮秣、民夫，并协助日军修筑工事，其活动范围与德宏芒市地区相邻。
赵鹏,伪龙陵县维持会副会长,1942-1944,协助张德辉组织伪维持会，为日军搜集情报、征派粮款，并参与诱降当地头人。
刀安仁,伪干崖维持会会长,1942-1945,在干崖（今盈江）地区组织伪维持会，为日军征粮派款、提供民夫，并协助日军控制大盈江流域。
龚统政,伪芒市安抚使署秘书,1942-1945,在龚绶手下担任伪职，负责文书、情报传递，协助日军推行奴化教育，并参与征粮派款。
方克胜,伪潞西设治局维持会委员,1942-1944,在芒市地区协助伪维持会工作，负责登记民户、摊派粮款，为日军提供劳工。
多建勋,伪遮放维持会副会长,1942-1945,协助多英培组织伪维持会，为日军筹集粮食、修筑工事，并带领伪军配合日军巡逻。
线永福,伪陇川维持会副会长,1942-1945,协助线光天组织伪维持会，为日军征调民夫、粮食，并参与诱降当地头人。
思鸿章,伪盈江维持会副会长,1942-1945,协助思鸿升组织伪维持会，为日军征粮派款、修筑道路，并协助搜捕抗日志士。
李国栋,伪梁河维持会副会长,1942-1945,协助李国清组织伪维持会，为日军筹集物资、提供民夫，并配合日军清剿抗日武装。
杨绍禹,伪腾冲县维持会委员,1942-1944,在腾冲伪维持会中负责征粮派款、登记民户，为日军提供劳工，并参与镇压抗日民众。
董友梅,伪腾冲县维持会委员,1942-1944,协助伪维持会工作，负责摊派粮款、登记民户，为日军提供劳工。
