name,title,activity_period,notable_deeds
李守信,伪蒙古军政府/伪蒙古联合自治政府要员、伪军头目,1933-1945,热河失守后投敌，组织伪军配合日军进攻察哈尔、绥远等地，后任伪蒙古军总司令等职，是华北、西北地区重要伪军头目之一；其活动主要不在云南，但属于抗战时期有明确记载的著名汉奸。
王英,伪绥西联军总司令、伪军头目,1936-1945,绥远地区投敌，组织伪军配合日军进犯绥西，曾任伪绥西联军总司令等职，属华北、西北伪军系统。
德穆楚克栋鲁普,伪蒙古联合自治政府主席,1936-1945,即德王，在日军扶植下成立伪蒙古军政府、伪蒙古联合自治政府，任主席，是内蒙古地区重要汉奸政权头目。
殷汝耕,伪冀东防共自治政府主席,1935-1937,在日军策动下成立伪冀东防共自治政府，任主席，割裂冀东，是华北早期伪政权头目之一。
王克敏,伪中华民国临时政府行政委员会委员长,1937-1940,北平沦陷后组织伪中华民国临时政府，任行政委员会委员长，后并入汪伪政权，是华北伪政权核心人物。
梁鸿志,伪中华民国维新政府行政院院长,1938-1940,南京沦陷后组织伪中华民国维新政府，任行政院院长，后并入汪伪政权，是华中伪政权头目之一。
汪精卫,伪国民政府主席、行政院院长,1938-1944,1938年公开投敌，1940年在南京成立伪国民政府，任主席兼行政院院长，是抗战时期最大汉奸政权头目。
陈公博,伪国民政府立法院院长、伪国民政府代主席,1940-1945,追随汪精卫投敌，任伪立法院院长等职，汪死后任伪国民政府代主席，是汪伪政权核心人物。
周佛海,伪国民政府财政部长、伪上海市长,1940-1945,汪伪政权核心成员，任伪财政部长、伪警政部长、伪上海市长等职，掌握伪政权财政与特务系统。
褚民谊,伪国民政府外交部长,1940-1945,汪伪政权要员，任伪外交部长等职，参与对日妥协外交。
梅思平,伪国民政府工商部长、伪浙江省长,1940-1945,汪伪政权要员，参与汪精卫投敌活动，后任伪工商部长、伪浙江省长等职。
李士群,伪特工总部主任、伪江苏省长,1939-1943,汪伪特务头目，组建伪特工总部，镇压抗日力量，后任伪江苏省长。
丁默邨,伪特工总部主任、伪社会部长,1939-1945,汪伪特务头目之一，参与组建伪特工总部，后任伪社会部长等职。
张景惠,伪满洲国国务总理大臣,1932-1945,九一八事变后投敌，历任伪满洲国参议府议长、国务总理大臣等职，是伪满洲国核心汉奸。
郑孝胥,伪满洲国国务总理大臣,1932-1935,协助溥仪建立伪满洲国，任国务总理大臣，是伪满洲国初期重要汉奸。
熙洽,伪满洲国财政部总长、伪吉林省长,1931-1945,九一八事变后率先投敌，引日军进入吉林，后任伪吉林省长、伪财政部总长等职。
于芷山,伪满洲国军政部大臣、伪军头目,1931-1945,原东北军将领，九一八后投敌，任伪奉天警备司令、伪军政部大臣等职，率伪军镇压东北抗日武装。
张海鹏,伪满洲国洮辽镇守使、伪军头目,1931-1945,九一八后投敌，率伪军配合日军进攻黑龙江，任伪洮辽镇守使等职。
陈璧君,汪伪政权要员、伪中央监察委员,1938-1945,汪精卫之妻，积极参与汪精卫投敌活动，任伪中央监察委员等职，是汪伪政权重要成员。
林柏生,伪国民政府宣传部长,1940-1945,汪伪政权宣传头目，控制伪宣传机构，进行亲日卖国宣传。
傅筱庵,伪上海市长,1938-1940,上海沦陷后投敌，任伪上海市长，后被刺杀。
苏锡文,伪上海特别市市长,1937-1938,上海沦陷后组织伪上海大道市政府，任伪市长，是上海早期伪政权头目。
高冠吾,伪南京市长、伪江苏省长,1938-1945,伪维新政府及汪伪政权要员，历任伪南京市长、伪江苏省长等职。
江亢虎,伪国民政府考试院院长,1940-1945,汪伪政权要员，任伪考试院院长，进行亲日文化宣传。
赵欣伯,伪满洲国立法院长,1932-1945,九一八后投敌，参与伪满洲国建立，任伪立法院长等职。
谢介石,伪满洲国外交部总长,1932-1935,伪满洲国外交部总长，参与伪满对外卖国外交。
罗振玉,伪满洲国参议府参议、伪满文化机构要员,1932-1940,清遗老，积极参与伪满洲国建立，任伪参议府参议等职，在文化教育领域附逆。
郑禹,伪满洲国邮政总局局长,1932-1945,郑孝胥之子，任伪满洲国邮政总局局长等职，属伪满政权成员。
张燕卿,伪满洲国实业部大臣,1932-1945,张之洞之子，投敌后任伪满洲国实业部大臣等职。
荣臻,伪华北政务委员会委员、伪河北省长,1937-1945,原东北军将领，投敌后任伪华北政务委员会委员、伪河北省长等职。
