name,title,activity_period,notable_deeds
德穆楚克栋鲁普（德王）,蒙疆联合自治政府主席,1933-1945,在乌兰浩特及兴安盟地区推行亲日政策，组建蒙疆政权，配合日军统治内蒙古东部地区，镇压抗日力量。
李守信,伪蒙古军总司令,1933-1945,率伪蒙古军协助日军在兴安盟、乌兰浩特一带扫荡抗日武装，参与建立伪蒙疆政权，残害当地民众。
王英,伪东亚同盟军总司令,1937-1945,在乌兰浩特及周边地区为日军效力，组织伪军进攻抗日根据地，协助日军进行“治安肃正”行动。
丁其达,伪兴安总省省长,1932-1945,作为伪满兴安总省（辖今兴安盟、乌兰浩特）最高行政长官，推行日本殖民政策，强征劳工，镇压反满抗日活动。
博彦满都,伪兴安南省省长,1932-1945,在兴安南省（含乌兰浩特地区）协助日军实施“蒙地分治”，征收粮草，迫害抗日志士。
玛尼巴达喇,伪兴安西省省长,1932-1945,在兴安盟西部及乌兰浩特周边配合日军清乡，组织伪警察队，参与围剿东北抗联部队。
哈丰阿,伪兴安总省参事官,1935-1945,在乌兰浩特地区为伪满政权效力，参与制定“蒙人治蒙”政策，协助日军控制蒙古族民众，破坏抗日组织。
乌古廷,伪兴安军管区司令,1938-1945,指挥伪兴安军驻守乌兰浩特，多次配合日军进攻抗联三路军，屠杀抗日军民。
郭文林,伪兴安军第1师师长,1940-1945,率伪军在兴安盟、乌兰浩特一带执行“讨伐”任务，制造多起惨案，强征民夫修筑军事工事。
正珠尔扎布,伪兴安军第2师师长,1941-1945,在乌兰浩特地区协助日军进行“特别治安”行动，逮捕并杀害抗联地下工作者。
