name,title,activity_period,notable_deeds
甘珠尔扎布,伪满洲国兴安南分省省长、伪兴安局总裁,1932-1945,蒙古族王公出身，九一八事变后投靠日本，参与策划内蒙古东部‘独立’活动，历任伪兴安南分省省长、伪兴安局总裁等职，协助日本在兴安地区推行殖民统治，管辖范围包括科尔沁右翼中旗一带。
巴特玛拉布坦,伪满洲国兴安南分省警备军司令、伪兴安军管区司令官,1932-1945,原扎赉特旗王公，投日后任伪兴安南分省警备军司令，率伪军配合日军镇压抗日武装，其部队活动于兴安南地区，包括科尔沁右翼中旗周边。
寿明阿,伪满洲国兴安南分省参与官、伪兴安总省民生厅长,1932-1945,蒙古族上层人物，投靠日本后历任伪兴安南分省参与官等职，参与推行‘蒙地奉上’等殖民政策，在兴安地区协助日伪统治。
博彦满都,伪满洲国兴安南分省民政厅长、伪兴安总省省长,1932-1945,早年参与内蒙古自治运动，后投靠日伪，历任伪兴安南分省民政厅长、伪兴安总省省长，在兴安地区推行日本殖民统治政策。
玛尼巴达喇,伪满洲国兴安南分省总务厅长、伪兴安局参与官,1932-1945,蒙古族官僚，投日后在伪兴安南分省任职，参与管理科尔沁右翼中旗等地的行政与警务，协助日军征发物资、镇压抗日力量。
那钦双和尔,伪满洲国兴安南分省警备军参谋长、伪兴安军管区参谋长,1932-1945,原内蒙古东部蒙古族军官，投日后任伪兴安南分省警备军参谋长，参与指挥伪军配合日军在兴安地区‘讨伐’抗日武装。
李守信,伪蒙古军总司令、伪蒙古联合自治政府副主席,1933-1945,热河土匪出身，投日后组织伪蒙古军，活动于内蒙古东部及兴安地区，配合日军进攻抗日根据地，其势力范围覆盖科尔沁右翼中旗一带。
德穆楚克栋鲁普,伪蒙古联合自治政府主席、伪蒙疆联合自治政府主席,1936-1945,锡林郭勒盟苏尼特右旗札萨克亲王，投靠日本后建立伪蒙疆政权，虽中心在察哈尔、绥远，但与兴安地区伪政权有联系，其伪蒙古军活动范围涉及内蒙古东部。
王英,伪蒙古军副总司令、伪绥西联军司令,1933-1945,绥远地区土匪头目，投日后任伪蒙古军副总司令，率部在内蒙古西部及兴安地区配合日军作战，参与镇压抗日武装。
于芷山,伪满洲国奉天省警备司令、伪满洲国军政部大臣,1931-1945,原东北军将领，九一八事变后投敌，历任伪奉天省警备司令、伪军政部大臣，其指挥的伪军活动范围包括兴安南地区，参与‘讨伐’抗日武装。
张海鹏,伪满洲国洮辽镇守使、伪满洲国热河省省长,1931-1945,原东北军洮辽镇守使，九一八事变后投敌，率伪军进攻热河、察哈尔，其活动区域与兴安南地区相邻，配合日军镇压抗日力量。
凌升,伪满洲国兴安北分省省长,1932-1936,达斡尔族上层，投日后任伪兴安北分省省长，虽后期因‘凌升事件’被日本处决，但前期在兴安地区协助日伪统治，与兴安南地区有行政联系。
额尔钦巴图,伪满洲国兴安南分省科尔沁右翼中旗旗长,1932-1945,科尔沁右翼中旗蒙古族上层，投日后任该旗伪旗长，协助日军征发物资、推行保甲制度，镇压当地抗日活动。
旺丹尼玛,伪满洲国兴安南分省科尔沁右翼中旗警务科长,1935-1945,在科尔沁右翼中旗任伪警务科长，指挥伪警察配合日军‘讨伐’抗日游击队，迫害抗日群众。
色旺多尔济,伪满洲国兴安南分省科尔沁右翼中旗维持会会长,1932-1935,科尔沁右翼中旗地方豪绅，日军占领后组织维持会，协助日军维持治安、征发粮草，后转入伪旗公署任职。
