name,title,activity_period,notable_deeds
李守信,伪蒙古军总司令,1933-1945,原为热河土匪，后投靠日本关东军，组建伪蒙古军，在察哈尔、绥远（含包头、白云鄂博一带）配合日军进攻抗日武装，镇压蒙汉民众，掠夺矿产资源。
德穆楚克栋鲁普（德王）,伪蒙疆联合自治政府主席,1936-1945,蒙古王公，在日本扶植下成立伪蒙疆政权，管辖包括包头、白云鄂博在内的绥远地区，推行奴化教育，协助日军控制矿产和交通线。
吴鹤龄,伪蒙疆政府政务院院长,1937-1945,德王亲信，参与伪蒙疆政权行政运作，在包头地区推行日伪法令，征派劳役开采白云鄂博铁矿资源。
补英达赖,伪蒙疆政府副主席,1937-1945,蒙古族上层，投靠日本，在包头及乌兰察布一带协助日军维持治安，参与镇压抗日活动。
陶克陶,伪蒙古军第1军军长,1937-1945,率伪蒙古军驻防绥西地区，多次配合日军扫荡包头、固阳、白云鄂博周边抗日游击队，掠夺牲畜和矿产。
宝贵廷,伪蒙古军第2军军长,1937-1945,在包头、萨拉齐一带驻防，协助日军清剿抗日力量，参与对白云鄂博矿区劳工的军事管制。
王英,伪绥西自治联军总司令,1937-1940,原土匪出身，投日后在包头以西地区组建伪军，多次袭击抗日武装，为日军勘探白云鄂博矿提供情报和护卫。
白凤翔,伪蒙古军第3军军长,1938-1942,原东北军军官，叛变投日后在绥远地区活动，参与对包头、白云鄂博一带的军事占领和资源掠夺。
韩凤楼,伪包头市市长,1939-1945,日本占领包头后任伪市长，负责推行日伪市政管理，组织劳工为日军开采白云鄂博铁矿，强征粮食和物资。
刘继广,伪包头警察局局长,1939-1945,协助日军在包头及白云鄂博矿区建立特务网络，抓捕抗日志士，镇压矿工反抗。
张启祥,伪包头商会会长,1939-1945,为日军筹措军费，垄断白云鄂博矿石运输，向日本军方提供经济支持，剥削当地商民。
乌勒吉敖其尔,伪蒙疆政府包头地区参事,1940-1945,蒙古族投日分子，在包头、白云鄂博地区协助日军管理蒙古族事务，煽动民族分裂，破坏抗日统一战线。
