name,title,activity_period,notable_deeds
李守信,伪蒙古军政府/伪蒙古联合自治政府军事头目、伪蒙古军总司令,1933-1945,蒙古族出身，早年在热河、哲里木盟一带活动，1933年投靠日军，参与组建伪蒙古军，长期在内蒙古东部包括通辽、开鲁周边地区配合日军围剿抗日武装，推行伪蒙疆统治。
德穆楚克栋鲁普,伪蒙古军政府主席、伪蒙古联合自治政府主席,1936-1945,即德王，锡林郭勒盟苏尼特右旗札萨克郡王，1936年起在日军扶植下建立伪蒙古政权，其统治范围及于内蒙古东部，通辽、开鲁一带亦受其伪政权影响，配合日军进行殖民统治。
甘珠尔扎布,伪兴安军/伪蒙古军军官、伪兴安局官员,1931-1945,蒙古族，早年参与“九一八”后日军侵占内蒙古东部活动，在伪满洲国兴安省系统任职，活动于哲里木盟、通辽一带，参与组建伪军警力量，镇压抗日民众。
正珠尔扎布,伪兴安军军官、伪满洲国军政官员,1931-1945,甘珠尔扎布之弟，投靠日本关东军，在伪满洲国兴安省及哲里木盟地区活动，参与伪军组织与治安肃正，配合日军控制通辽、开鲁等地区。
巴特玛拉布坦,伪兴安南省警备军司令、伪兴安军管区司令,1932-1945,扎赉特旗王公出身，投靠日军，任伪兴安南省警备军司令等职，活动范围包括哲里木盟、通辽一带，率伪军配合日军“讨伐”抗日武装。
博彦满都,伪兴安南省省长、伪兴安局官员,1932-1945,蒙古族，伪满洲国时期在兴安省系统任职，曾任伪兴安南省省长，管辖区域包括哲里木盟、通辽等地，推行日伪殖民政策。
寿明阿,伪兴安南省警备军军官、伪地方政权官员,1932-1945,在伪兴安南省及哲里木盟地区任职，参与伪军警活动，配合日军维持通辽、开鲁周边治安，镇压抗日力量。
刘继广,伪开鲁县维持会会长、伪开鲁县县长,1933-1945,开鲁沦陷后出面组织维持会，后任伪开鲁县县长，为日军征集物资、推行保甲制度，协助日伪统治开鲁地区。
王化民,伪通辽县维持会成员、伪通辽县公署官员,1932-1945,通辽沦陷后在伪政权中任职，参与维持会及伪县公署事务，协助日军征粮、派夫，推行殖民统治。
张海鹏,伪满洲国洮辽镇守使、伪军头目,1931-1945,原东北军将领，1931年投敌，任伪洮辽镇守使，率伪军进攻通辽、开鲁等地，配合日军侵占内蒙古东部，后任伪满洲国军政部大臣。
李海青,伪满洲国地方伪军头目（后反正）,1932-1933,曾一度附逆，在通辽、开鲁一带活动，后率部抗日；其附逆期间配合日军维持地方治安，属于该地区有记载的伪军人员。
乌古廷,伪蒙古军军官、伪兴安军军官,1933-1945,蒙古族，投靠日军，在伪蒙古军及伪兴安军系统任职，活动于内蒙古东部，包括通辽、开鲁周边，参与对抗日武装的军事行动。
包善一,伪哲里木盟警备军司令、伪地方武装头目,1932-1945,哲里木盟蒙古族地方武装首领，投靠日军后任伪警备军司令，控制通辽、开鲁一带，配合日军“治安肃正”，镇压抗日民众。
韩色旺,伪哲里木盟警备军军官、伪地方政权官员,1932-1945,在伪哲里木盟地区任职，参与伪军警活动，协助日军控制通辽、开鲁等旗县，推行保甲与物资统制。
小喇嘛,伪哲里木盟地方伪军头目,1932-1945,哲里木盟一带蒙古族地方武装头目，投靠日军后编入伪军，在通辽、开鲁周边配合日军行动，骚扰抗日根据地。
