name,title,activity_period,notable_deeds
德穆楚克栋鲁普,伪蒙古军政府总裁、伪蒙疆联合自治政府主席,1933-1945,在日军扶植下于内蒙古西部建立伪蒙疆政权，统辖察哈尔、绥远等地，鄂尔多斯北部及杭锦旗一带曾受其伪政权影响，推行亲日附逆政策，配合日军统治与掠夺。
李守信,伪蒙古军总司令、伪蒙疆联合自治政府副主席,1933-1945,率部投靠日军，参与组建伪蒙古军，活动于绥远、察哈尔及内蒙古西部，其伪军势力曾覆盖鄂尔多斯周边地区，协助日军镇压抗日力量。
王英,伪绥西联军总司令、伪蒙古军副总司令,1937-1945,绥远地区著名汉奸，投靠日军后组织伪军，活动于绥西、鄂尔多斯北部及杭锦旗沿河一带，配合日军进攻抗日根据地，残害民众。
陈秉渊,伪杭锦旗维持会会长,1938-1945,在日军侵占杭锦旗部分地区后出面组织维持会，为日军征粮派款、搜集情报，协助伪政权控制当地基层。
奇子祥,伪准格尔旗保安队头目、伪蒙疆政权地方官员,1938-1945,在鄂尔多斯东部准格尔旗一带依附日军和伪蒙疆政权，率地方武装配合日伪行动，压制抗日活动。
色登多尔济,伪乌审旗维持会头目,1939-1945,在鄂尔多斯乌审旗地区组织维持会，为日军和伪蒙疆政权服务，协助征发物资、维持治安，破坏抗日统一战线。
阿拉坦鄂齐尔,伪蒙疆联合自治政府官员、伪伊克昭盟公署头目,1939-1945,在伪蒙疆政权中负责伊克昭盟事务，活动范围涉及鄂尔多斯各旗，包括杭锦旗周边，推行日伪统治政策。
吉尔格朗,伪杭锦旗保安队头目,1940-1945,率杭锦旗地方武装投靠日伪，配合伪蒙疆政权维持当地统治，镇压抗日群众。
巴图巴雅尔,伪鄂托克旗维持会成员,1939-1945,在鄂尔多斯鄂托克旗一带为日伪政权服务，协助控制基层、征派粮草，支持日军对周边地区的扫荡。
张子淦,伪绥远省公署官员,1937-1945,在伪绥远省政权中任职，参与对鄂尔多斯及杭锦旗等地的行政控制，推行日伪法令，协助经济掠夺。
