name,title,activity_period,notable_deeds
德穆楚克栋鲁普,伪蒙疆联合自治政府主席、伪蒙古军政府总裁,1933-1945,在日军扶植下于内蒙古中西部建立伪蒙疆政权，统辖察哈尔、绥远等地，推行亲日政策，配合日军对绥蒙地区进行统治和掠夺，其势力范围覆盖鄂尔多斯北部及邻近地区。
李守信,伪蒙古军总司令、伪蒙疆联合自治政府副主席,1933-1945,率部投降日军，组建伪蒙古军，配合日军进攻绥远、察哈尔等地，参与对鄂尔多斯及内蒙古西部抗日力量的镇压和扫荡。
王英,伪绥西联军总司令、伪蒙古军副总司令,1937-1945,绥远地区著名汉奸，投靠日军后组织伪军，在绥西、鄂尔多斯北部一带配合日军作战，残害抗日军民，掠夺地方资源。
于品卿,伪蒙疆联合自治政府副主席,1937-1945,原为商人，后投靠日军，在伪蒙疆政权中担任要职，协助日军在内蒙古中西部推行殖民统治和经济掠夺，活动范围涉及鄂尔多斯周边地区。
夏恭,伪蒙古联合自治政府最高检察厅厅长、伪大同省省长,1937-1945,在伪蒙疆政权中担任司法和行政要职，为日军统治内蒙古中西部提供法律和行政支持，其管辖区域与鄂尔多斯地区有交集。
阿拉坦鄂齐尔,伪鄂尔多斯右翼中旗（鄂托克旗）札萨克、伪蒙疆政权官员,1937-1945,作为鄂托克旗蒙古王公，投靠日军和伪蒙疆政权，在鄂托克旗及邻近地区协助日伪推行统治，维持地方治安，镇压抗日活动。
奇子祥,伪准格尔旗保安队司令、伪蒙疆政权官员,1937-1945,准格尔旗蒙古族上层，投靠日伪，组织伪保安队，在准格尔旗及鄂尔多斯东部地区配合日军行动，对抗抗日武装。
奇子俊,伪准格尔旗协理、伪蒙疆政权官员,1937-1945,准格尔旗蒙古族上层，与奇子祥一同投靠日伪，在准格尔旗及周边地区协助日伪统治，参与镇压抗日力量。
色登多尔济,伪乌审旗札萨克、伪蒙疆政权官员,1937-1945,乌审旗蒙古王公，投靠日伪，在乌审旗及鄂尔多斯西南部地区协助日军统治，维持伪政权地方秩序。
图布升吉尔格勒,伪杭锦旗札萨克、伪蒙疆政权官员,1937-1945,杭锦旗蒙古王公，投靠日伪，在杭锦旗及鄂尔多斯北部地区协助日伪统治，配合日军对地方的控制和资源掠夺。
王英,伪绥西自治联军总司令,1937-1945,在绥西地区组织伪军，活动于包头、五原、临河及鄂尔多斯北部一带，配合日军扫荡抗日根据地，残害百姓。
陈秉渊,伪包头市市长、伪绥西自治联军官员,1937-1945,在包头地区投靠日伪，担任伪职，协助日军在绥西及鄂尔多斯北部进行统治和经济掠夺。
刘继广,伪萨拉齐县县长、伪绥西自治联军官员,1937-1945,在萨拉齐（今土默特右旗）地区投靠日伪，担任伪县长，协助日军在绥西及鄂尔多斯北部推行保甲制度和掠夺资源。
李维业,伪固阳县县长、伪绥西自治联军官员,1937-1945,在固阳地区投靠日伪，担任伪县长，配合日军在绥西及鄂尔多斯北部进行统治和扫荡。
张遐民,伪东胜县维持会会长,1937-1945,在东胜（今鄂尔多斯市东胜区）地区组织维持会，投靠日军，协助日伪在鄂尔多斯中部地区推行统治，维持地方治安。
王佐才,伪东胜县县长,1937-1945,在东胜地区担任伪县长，协助日军在鄂尔多斯中部地区进行统治，推行保甲制度，掠夺地方资源。
杨令德,伪东胜县保安队队长,1937-1945,在东胜地区组织伪保安队，配合日军在鄂尔多斯中部地区进行扫荡，镇压抗日活动。
刘效贤,伪达拉特旗保安队司令,1937-1945,在达拉特旗地区投靠日伪，组织伪保安队，配合日军在鄂尔多斯北部进行统治和扫荡。
康济民,伪达拉特旗维持会会长,1937-1945,在达拉特旗地区组织维持会，投靠日军，协助日伪在鄂尔多斯北部推行统治。
郝效孔,伪郡王旗保安队队长,1937-1945,在郡王旗（今伊金霍洛旗）地区投靠日伪，组织伪保安队，配合日军在鄂尔多斯中部地区进行统治和扫荡。
