name,title,activity_period,notable_deeds
王揖唐,伪华北政务委员会内务总署督办、伪华北政务委员会委员长,1937-1945,原北洋政客，投日后任伪华北政务委员会要职，在北平（今北京）及丰台地区推行日伪统治，协助日军征粮、镇压抗日活动。
齐燮元,伪华北治安军总司令、伪华北政务委员会治安总署督办,1937-1945,原直系军阀，投日后负责华北伪军，在丰台及北平周边配合日军“扫荡”，镇压抗日武装。
殷汝耕,伪冀东防共自治政府委员长,1935-1938,早年在冀东成立伪政权，其势力范围曾涉及北平近郊及丰台一带，为日军提供情报和后勤支持。
池宗墨,伪冀东防共自治政府秘书长、伪北平市警察局局长,1935-1945,殷汝耕亲信，后任伪北平警察局长，在丰台地区协助日军维持治安，镇压抗日民众。
张仁蠡,伪北平市市长,1937-1938,投日后任伪北平市长，管辖包括丰台在内的北平地区，推行日伪法令，强征物资。
余晋龢,伪北平市市长、伪华北政务委员会常委,1938-1943,继任伪北平市长，在丰台地区设立伪警察机构，配合日军“清乡”和粮食统制。
刘玉书,伪北平市警察局局长,1938-1945,长期任伪北平警察头目，在丰台地区抓捕抗日地下人员，执行日伪保甲制度。
苏体仁,伪华北政务委员会教育总署督办,1938-1945,在北平及丰台推行奴化教育，控制学校，强迫学生参加日伪活动。
汪时璟,伪中国联合准备银行总裁,1938-1945,在北平设立伪银行，发行伪币，在丰台地区强制兑换，掠夺经济资源。
王克敏,伪华北政务委员会委员长（首任）,1937-1940,原北洋政客，投日后主持伪华北政权，管辖北平及丰台，组织伪军和警察协助日军。
朱深,伪华北政务委员会常务委员、伪北平特别市市长,1940-1943,在任期间强化丰台地区日伪统治，推行“治安强化运动”，镇压抗日力量。
许修直,伪北平市市长（末任）,1944-1945,抗战末期任伪北平市长，在丰台地区继续维持日伪秩序，直至日本投降。
潘毓桂,伪天津市市长（曾兼北平地区职务）,1937-1939,虽主要任伪天津市长，但曾参与北平及丰台地区的日伪协调，协助日军镇压抗日活动。
周大文,伪北平市社会局局长,1938-1945,在丰台地区推行日伪社会控制，组织“新民会”分会，进行奴化宣传。
管翼贤,伪北平市新闻检查所所长,1938-1945,控制北平及丰台地区报刊舆论，查禁抗日言论，为日伪宣传服务。
