name,title,activity_period,notable_deeds
李际春,伪冀东防共自治政府保安队总队长、伪华北治安军总司令,1935-1945,在顺义及周边地区协助日军清乡、镇压抗日力量，组建伪军参与扫荡，残害百姓。
殷汝耕,伪冀东防共自治政府政务长官,1935-1938,虽非顺义籍，但其伪政权管辖顺义，推行奴化教育，强征粮税，配合日军控制顺义地区。
池宗墨,伪冀东防共自治政府秘书长、后任伪华北政务委员会顾问,1935-1945,参与伪冀东政权对顺义等地的统治，协助日军建立保甲制度，镇压抗日活动。
王揖唐,伪华北政务委员会委员长,1940-1943,作为华北伪政权最高头目，其统治范围包括顺义，推行治安强化运动，配合日军“扫荡”顺义抗日根据地。
齐燮元,伪华北治安军总司令,1940-1945,指挥伪治安军在顺义地区多次围剿八路军游击队，制造多起惨案。
杜锡钧,伪河北省公署警务厅厅长、伪顺义县知事（曾任）,1938-1942,在顺义任职期间，强征民夫修筑炮楼公路，搜刮民财，逮捕抗日家属。
张仁蠡,伪河北省公署民政厅厅长、伪燕京道尹,1939-1945,管辖顺义等县，推行“保甲连坐”，组织汉奸武装，协助日军进行经济封锁。
刘梦庚,伪顺义县知事（1938-1940）,1938-1940,在顺义县内积极推行日伪政策，强征粮食，破坏抗日组织，残害抗日群众。
王锡符,伪顺义县知事（1941-1943）,1941-1943,配合日军“治安强化运动”，在顺义各乡建立伪自卫团，抓捕抗日干部。
赵宗培,伪顺义县保安队队长,1940-1945,率伪保安队多次袭击顺义抗日游击队，杀害多名抗日战士，烧毁村庄。
李宝珍,伪顺义县警察局局长,1939-1944,协助日军搜捕抗日分子，严刑拷打被捕人员，提供情报给日军。
张永清,伪顺义县新民会会长,1940-1945,推行奴化宣传，组织“新民会”分会，强迫百姓参加反共集会，收集抗日情报。
杨振声,伪顺义县维持会会长（1937-1938）,1937-1938,日军占领顺义后率先投敌，组织维持会，为日军筹集粮款，引导日军清乡。
高鹏飞,伪顺义县联庄会总会长,1941-1945,组织地主武装联庄会，配合日军封锁抗日根据地，杀害过路抗日人员。
