name,title,activity_period,notable_deeds
张海鹏,伪满热河省省长、伪满军政部大臣,1931-1945,原东北军将领，九一八事变后投敌，曾任伪满热河省省长，参与镇压抗日武装，后任伪满军政部大臣，积极协助日军统治东北。
熙洽,伪满财政部总长、伪满宫内府大臣,1931-1945,原吉林副都统，九一八事变时在吉林投降日军，建立伪吉林省政权，后任伪满高官，推行殖民政策，协助日本掠夺东北资源。
于芷山,伪满奉天省省长、伪满治安部大臣,1931-1945,原东北军旅长，后投靠日军，曾任伪满奉天省省长，镇压抗日力量，后升任伪满治安部大臣，负责伪满军警事务。
吉兴,伪满吉林警备军司令官,1931-1945,原吉林陆军军官，投日后任伪满吉林警备军司令，协助日军围剿东北抗日联军，在吉林、四平、伊通一带多次参与“讨伐”行动。
邢士廉,伪满吉林省省长,1932-1945,原东北军将领，投日后任伪满吉林省省长，在吉林地区推行日伪统治，强征劳工，镇压抗日活动。
金名世,伪满吉林省警务厅厅长,1932-1945,原吉林警察头目，投日后任伪满吉林省警务厅厅长，组织警察特务，在四平、伊通等地搜捕抗日志士，破坏地下组织。
王永江,伪满四平街市市长,1932-1945,原地方官僚，投日后任伪满四平街市（今四平市）市长，推行日伪奴化教育，协助日军征粮征税，镇压当地反抗。
赵欣伯,伪满立法院院长,1932-1945,原奉系法律人士，投日后任伪满立法院院长，参与制定伪满法律，为日本殖民统治提供法理依据，其活动涉及吉林地区。
袁金铠,伪满参议府议长,1932-1945,原奉系政客，投日后任伪满参议府议长，在吉林、四平一带鼓吹“日满亲善”，协助日军稳定殖民秩序。
于冲汉,伪满监察院院长,1932-1945,原奉系官员，投日后任伪满监察院院长，参与伪满政权建设，在吉林地区推行“协和会”活动，麻痹民众抗日意识。
张景惠,伪满国务总理大臣,1935-1945,原东北军将领，九一八事变后投敌，曾任伪满军政部总长，后任伪满国务总理，全面协助日本统治东北，其势力范围涵盖吉林、四平、伊通等地。
臧式毅,伪满奉天省省长、伪满参议府议长,1931-1945,原奉天省长，投日后任伪满要职，在吉林、四平地区参与“治安肃正”，镇压抗日武装。
荣厚,伪满吉林省财政厅厅长,1932-1945,原吉林地方官员，投日后任伪满吉林省财政厅厅长，负责为日军搜刮吉林、四平、伊通地区的粮食和物资，支持侵略战争。
李铭书,伪满伊通县县长,1932-1945,原伊通地方士绅，投日后任伪满伊通县县长，推行保甲制度，组织汉奸武装，协助日军在伊通地区“清乡”，迫害抗日群众。
王葆华,伪满四平省省长,1941-1945,原伪满地方官员，后任伪满四平省省长，管辖四平、伊通等县，积极推行日伪“粮谷出荷”政策，强征农民粮食，镇压抗日活动。
曲秉善,伪满四平省警务厅厅长,1941-1945,原伪满警察，投日后任四平省警务厅厅长，在四平、伊通地区建立情报网，多次破坏抗日地下组织，逮捕爱国人士。
刘德权,伪满伊通县警务科科长,1932-1945,原伊通县警察，投日后任伪满伊通县警务科科长，亲自带队搜捕抗日联军联络员，在伊通山区多次参与“讨伐”行动。
张联第,伪满吉林省公署参事,1932-1945,原吉林省政府官员，投日后任伪满吉林省公署参事，参与策划对吉林、四平地区抗日武装的围剿，并协助日军建立“集团部落”。
孙其昌,伪满吉林省实业厅厅长,1932-1945,原吉林实业界人士，投日后任伪满吉林省实业厅厅长，在四平、伊通等地强占土地，开办日伪企业，掠夺当地资源。
韩云阶,伪满黑龙江省省长（曾活动于吉林）,1932-1945,原东北军将领，投日后历任伪满要职，曾在吉林、四平地区参与“治安工作”，协助日军镇压抗日力量。
