name,title,activity_period,notable_deeds
熙洽,伪满洲国财政部总长、吉林省长,1931-1945,九一八事变后率先投敌，以吉林省军政长官身份迎接日军，参与策划成立伪满洲国，是东北早期核心汉奸之一，其伪政权管辖范围覆盖四平地区。
张景惠,伪满洲国参议府议长、国务总理大臣,1931-1945,原东北军将领，九一八后投敌，历任伪满要职，最终任伪国务总理大臣，全面推行日本殖民政策，其政权体系延伸至四平、铁东一带。
于芷山,伪满军政部大臣、伪奉天警备司令,1931-1945,原东北军东边道镇守使，1931年投敌，率部配合日军镇压东北抗日武装，其伪军活动范围包括四平及周边地区。
吉兴,伪满吉林省警备司令、伪满军政部大臣,1931-1945,原东北军延吉镇守使，随熙洽投敌，长期在吉林省内指挥伪军围剿抗日力量，四平地区在其伪警备管辖范围内。
赵欣伯,伪满洲国立法院长,1931-1945,九一八事变后积极参与伪满建国活动，起草伪满法律，为日本殖民统治提供法理支持，其政治活动覆盖吉林全省。
李绍庚,伪满四平省省长,1941-1945,伪满设立四平省后任省长，直接负责四平及铁东地区的殖民行政，推行粮谷出荷、劳工征发等政策，配合日军经济掠夺。
曲秉善,伪满四平省次长、伪满吉林省次长,1930年代-1945,长期在伪满地方政权任职，曾任四平省次长，实际掌控四平地区行政，推行日本殖民法令，压榨当地民众。
王庆璋,伪满四平市市长,1930年代-1945,任伪四平市市长期间，配合日军在铁东等城区实施保甲连坐、物资统制，协助征发劳工，是四平城区直接附逆者。
孟昭毅,伪满四平省警务厅长,1940年代,掌管四平省伪警察系统，在铁东等地搜捕抗日人员，镇压民众反抗，推行治安肃正政策。
刘德权,伪满四平街维持会会长,1931-1932,九一八后四平街成立维持会，刘德权任会长，为日军筹粮筹款、维持地方秩序，协助日军接管四平及铁东地区。
张海鹏,伪满洮辽镇守使、伪军头目,1931-1945,原东北军洮辽镇守使，1931年投敌，率伪军进攻黑龙江，其部队活动于吉林西部及四平周边，配合日军镇压抗日武装。
金璧东,伪满吉林省长、伪满宫内府大臣,1930年代-1945,清室后裔，投靠日本，曾任伪吉林省长，参与殖民统治，其管辖范围包括四平地区。
阎传绂,伪满吉林省长、伪满司法部大臣,1930年代-1945,长期在伪满吉林省任职，推行日本殖民政策，参与镇压抗日活动，四平地区在其省长任内受其管辖。
蔡运升,伪满经济部大臣、伪满吉林省长,1930年代-1945,曾任伪吉林省长，配合日本经济掠夺，推行物资统制，四平地区的粮食、煤炭等资源被其政策搜刮。
徐家桓,伪满四平省民生厅长,1940年代,负责四平省教育、文化、民生等殖民事务，推行奴化教育，在铁东等地学校强制日语教学，毒化民众思想。
