name,title,activity_period,notable_deeds
金东汉,伪间岛省省长,1934-1937,任伪间岛省（今延边地区）省长，推行日满奴化政策，镇压抗日武装，强征劳工，协助日军建立殖民统治体系。
李范益,伪间岛省警务厅长,1932-1940,指挥伪警察配合日军“讨伐”抗日游击队，在延吉、和龙、汪清等地实施“集团部落”政策，抓捕抗日军民。
朴斗荣,伪间岛省协和会会长,1935-1945,组织协和会宣传“日鲜满一体”，破坏抗日民族统一战线，搜集抗日情报，协助日军进行经济掠夺。
崔南善,伪间岛省民生厅长,1936-1943,推行“皇民化”教育，强迫朝鲜族改用日式姓名，禁止使用朝鲜语，参与“思想战”宣传，迫害抗日家属。
张万程,伪龙井县县长,1933-1938,在龙井地区强征土地，推行“移民政策”，协助日军建立“治安维持会”，镇压龙井一带的抗日团体。
金秉祚,伪延吉县警务科科长,1934-1941,亲自率伪警参与“大讨伐”，在延吉、龙井等地抓捕抗日地下党员，刑讯逼供，导致多名抗日志士牺牲。
李光洙,伪间岛省教育厅长,1937-1945,推行奴化教育，篡改历史教材，强迫学生参拜神社，鼓吹“日鲜同祖”，为日本殖民统治培养顺民。
朴正熙,伪满军间岛地区指挥官（注：非韩国总统，同名不同人）,1939-1945,率伪满军配合日军在延边山区“清剿”抗联部队，烧毁村庄，制造无人区，杀害抗联伤员。
金昌洙,伪龙井警察署署长,1932-1940,在龙井设立秘密监狱，严刑拷打抗日嫌疑犯，协助日本宪兵队破获多处地下联络站。
李东宁,伪间岛省参事官,1935-1943,参与制定“治安肃正”计划，组织“自卫团”袭击抗日武装，强征朝鲜族青年加入伪满军。
崔基玉,伪延吉县协和会分会长,1936-1945,在延吉地区煽动民族分裂，破坏中朝抗日联合，向日军提供抗联活动情报，导致多次袭击失败。
朴容万,伪间岛省专卖署署长,1938-1945,垄断延边地区烟草、食盐贸易，为日军筹集军费，克扣配给物资，导致百姓饥荒。
金应善,伪龙井地区“治安维持会”会长,1933-1939,组织汉奸武装“治安队”，配合日军扫荡龙井周边村落，杀害抗日群众，抢劫财物。
李钟万,伪间岛省法院院长,1934-1943,以“反满抗日”罪名审判爱国志士，判处大量死刑和重刑，维护日本殖民法律秩序。
朴仁洙,伪延吉宪兵队翻译官,1937-1945,为日本宪兵队充当翻译，参与审讯和酷刑，直接导致多名抗联战士被杀害。
金东洙,伪间岛省建设厅长,1939-1945,主持修建军事公路和碉堡，强征民夫，在延边山区砍伐森林，破坏抗联根据地。
李昌洙,伪龙井县协和会青年部长,1940-1945,组织青年团进行“思想矫正”，强迫青年参加日军“挺身队”，为日本侵略战争输送炮灰。
崔昌浩,伪间岛省警察厅特高课长,1938-1945,专门负责侦破抗日地下组织，在延吉、龙井等地逮捕数百名爱国人士，施以酷刑。
朴永植,伪延吉县县长,1939-1944,推行“粮食出荷”政策，强征农民粮食，导致延吉地区大饥荒，饿死百姓无数。
金明洙,伪间岛省军管区司令,1941-1945,指挥伪满军配合关东军进行“大扫荡”，在汪清、珲春等地制造多起惨案。
