name,title,activity_period,notable_deeds
张海鹏,伪满热河省省长、伪满军政部大臣,1931-1945,原东北军将领，九一八后投敌，曾任伪满热河省省长，参与镇压抗日武装，后任伪满军政部大臣，是吉林地区早期投敌的高级军官。
熙洽,伪满财政部总长、伪满宫内府大臣,1931-1945,原吉林省政府委员兼吉林陆军训练处总监，九一八事变时在吉林市投降日军，宣布吉林独立，后任伪满要职，是吉林地区首要汉奸之一。
金壁东,伪满吉林省省长,1932-1935,清室后裔，投靠日本后任伪满吉林省省长，积极推行日伪殖民政策，协助日军镇压吉林抗日军民。
孙其昌,伪满吉林省省长、伪满民生部大臣,1935-1945,原吉林省政府官员，投敌后历任伪满吉林省省长、民生部大臣，参与制定并实施奴化教育政策。
于芷山,伪满第一军管区司令官（驻吉林）,1932-1937,原东北军旅长，投日后任伪满第一军管区司令，驻吉林地区，多次率伪军围剿抗日游击队。
邢士廉,伪满吉林省警务厅长,1932-1937,原吉林警察头目，投日后任伪满吉林省警务厅长，组织警察特务搜捕抗日志士，破坏地下抗日组织。
赵欣伯,伪满立法院院长（曾涉吉林事务）,1932-1945,原奉系法律人士，投日后任伪满立法院院长，曾参与吉林地区伪政权法律体系构建，为日本殖民统治提供法理支持。
王揖唐,伪华北政务委员会内政总署督办（曾涉吉林）,1937-1945,虽主要活动于华北，但曾作为日本顾问参与吉林地区伪政权协调，协助日军在松原、前郭尔罗斯一带推行“治安肃正”。
齐知政,伪满前郭尔罗斯旗旗长,1932-1945,蒙古族投日分子，任伪满前郭尔罗斯旗旗长，协助日军在该旗强征粮食、劳工，镇压蒙古族抗日活动。
包悦卿,伪满郭尔罗斯前旗警务科长,1933-1945,蒙古族汉奸，任伪警务科长，参与组建伪警察队，在松原、前郭尔罗斯地区抓捕抗日地下人员。
陈树华,伪满松原地区（扶余县）县长,1932-1938,原扶余县地方士绅，投日后任伪县长，强征民夫修建日军工事，并协助日军清乡。
李春润,伪满吉林市宪兵队翻译官,1935-1945,为日军宪兵队充当翻译，参与审讯、刑讯抗日志士，多次指认地下党员。
张景惠,伪满国务总理大臣（曾管辖吉林地区）,1935-1945,原东北军将领，投日后任伪满最高行政长官，全面推行日本殖民政策，对吉林、松原地区抗日活动进行残酷镇压。
臧式毅,伪满参议府议长（曾涉吉林）,1932-1945,原奉天省长，投日后任伪满参议府议长，曾参与吉林地区伪政权改组，支持日军“讨伐”抗日联军。
罗振邦,伪满吉林省协和会总务部长,1937-1945,在吉林地区组织协和会，宣传“日满亲善”，搜集抗日情报，破坏群众抗日组织。
韩云阶,伪满吉林省实业厅长,1932-1937,协助日本掠夺吉林地区粮食、木材资源，为日军提供经济物资支持。
王静轩,伪满松原地区（乾安县）县长,1933-1940,在乾安县推行“保甲连坐”，强征壮丁，配合日军围剿前郭尔罗斯一带的抗日武装。
额勒春,伪满郭尔罗斯前旗参事官,1932-1945,蒙古族投日官员，协助日本特务机关在草原地区建立情报网，破坏蒙古族抗日团体。
关成山,伪满吉林地区保安队队长,1938-1945,率伪保安队多次袭击抗日联军小分队，在松原、扶余一带杀害抗日军民。
张联第,伪满吉林省教育厅长,1935-1945,推行奴化教育，强制学校教授日语，删除中国历史内容，毒害吉林青少年。
