name,title,activity_period,notable_deeds
张海鹏,伪满热河省省长、伪满军政部大臣,1931-1945,原东北军将领，九一八事变后投敌，任伪满热河省省长，参与镇压抗日武装，协助日军统治吉林西部及松原地区。
于芷山,伪满第一军管区司令官、伪满治安部大臣,1931-1945,原东北军旅长，投日后任伪满第一军管区司令，管辖包括吉林、松原在内的中西部区域，多次率伪军“讨伐”抗日游击队。
邢士廉,伪满吉林省省长、伪满民政部大臣,1932-1945,原吉林省政府官员，投日后历任伪吉林省长，在吉林、宁江（今松原宁江区）一带推行殖民政策，强征劳工，镇压反满抗日活动。
金名世,伪满吉林省警务厅长、伪满奉天省省长,1932-1945,原吉林警察机构官员，投日后负责吉林省（含宁江地区）警务，组织伪警察配合日军清乡，抓捕抗日志士。
阎传绂,伪满吉林省公署参事官、伪满国务院总务厅次长,1932-1945,原东北地方官员，投日后在吉林省公署任职，参与制定“治安肃正”计划，对松原、宁江等地的抗日武装进行围剿。
王兹栋,伪满吉林省公署警务厅特务科科长,1933-1945,在吉林、松原地区指挥特务活动，破坏地下抗日组织，逮捕并刑讯抗日人员，罪行累累。
李寿山,伪满吉林地区保安队队长,1932-1945,原地方土匪头目，投日后组织伪保安队，在宁江、扶余（今松原）一带协助日军“扫荡”，残害百姓。
赵欣伯,伪满立法院院长、伪满吉林省高等法院院长,1932-1945,原东北法律界人士，投日后任伪满司法高官，在吉林、松原地区推行伪满法律，迫害抗日人士。
荣厚,伪满吉林省财政厅长、伪满中央银行副总裁,1932-1945,原吉林财政官员，投日后负责伪满在吉林、松原地区的经济掠夺，强征粮食和物资，支持日军战争。
孙其昌,伪满吉林省教育厅长、伪满民生部大臣,1932-1945,原吉林教育界官员，投日后推行奴化教育，在宁江等地学校强制灌输“日满亲善”，抹杀民族意识。
