name,title,activity_period,notable_deeds
张海鹏,伪满热河省省长、伪满军政部大臣,1931-1945,原东北军将领，九一八后投敌，曾任伪满热河省省长，镇压抗日武装，协助日军进攻热河，后任伪满军政部大臣，为日本殖民统治效力。
于芷山,伪满第一军管区司令官,1931-1945,原东北军旅长，投日后任伪满第一军管区司令官，驻防吉林地区，参与围剿东北抗日联军，残害抗日志士。
吉兴,伪满吉林警备司令官,1931-1945,原吉林陆军军官，投日后任伪满吉林警备司令官，协助日军维持吉林地区殖民统治，镇压抗日活动。
熙洽,伪满财政部总长、宫内府大臣,1931-1945,原吉林省政府委员，九一八后主动投敌，参与策划吉林独立，任伪满财政总长，为日本掠夺东北资源服务。
金名世,伪满吉林省长,1932-1945,原吉林地方官员，投日后任伪满吉林省长，推行日本殖民政策，强征劳工，镇压抗日力量。
王静修,伪满白城地区警务处长,1935-1945,在白城地区担任伪警务处长，协助日军建立保甲制度，搜捕抗日地下人员，参与“讨伐”抗日武装。
李寿山,伪满镇赉县县长,1932-1940,任镇赉县伪县长期间，强征农民土地，推行“粮谷出荷”，配合日军清乡，迫害当地抗日群众。
赵振邦,伪满白城地区保安团长,1933-1945,组织伪保安团，多次参与围剿抗日游击队，在洮南、白城一带杀害抗日军民。
孙其昌,伪满吉林省警务厅长,1931-1945,原吉林警察头目，投日后任伪省警务厅长，建立特务网络，破坏抗日组织，逮捕爱国人士。
张景惠,伪满国务总理大臣,1931-1945,原东北军将领，九一八后投敌，虽为伪满总理，但曾长期控制吉林地区军政，支持日军镇压抗日武装。
臧式毅,伪满参议府议长,1931-1945,原吉林督军署参谋长，投日后任伪满参议府议长，参与制定殖民政策，对吉林地区统治有重要影响。
邢士廉,伪满治安部大臣,1931-1945,原东北军旅长，投日后任伪满治安部大臣，指挥伪军在白城、镇赉等地“讨伐”抗日联军。
王殿忠,伪满洮南地区警备司令,1932-1945,驻守洮南（今白城一带），多次率伪军袭击抗日义勇军，烧毁村庄，屠杀百姓。
刘德权,伪满镇赉县警察署长,1936-1945,在镇赉县残酷镇压抗日活动，抓捕并杀害多名抗联交通员，强征劳工修筑军事工事。
张联第,伪满吉林省公署参事,1932-1945,参与策划吉林地区“治安肃正”，协助日军推行“集团部落”政策，导致大量百姓流离失所。
齐知政,伪满白城地区宪兵队长,1937-1945,指挥伪宪兵在白城、镇赉一带搜捕抗日分子，严刑逼供，制造多起惨案。
