name,title,activity_period,notable_deeds
张海鹏,伪满热河省省长、伪满军政部大臣,1931-1945,原东北军将领，九一八后投敌，曾任伪满热河省省长，参与镇压抗日武装，后任伪满军政部大臣，协助日军统治东北，包括吉林、白山、江源地区在内的伪满辖区均受其管辖影响。
于芷山,伪满第一军管区司令官、伪满治安部大臣,1931-1945,原东北军旅长，1932年投敌，任伪满第一军管区司令官，负责吉林东南部（含今白山、江源一带）的“讨伐”行动，屠杀抗日军民，后升任伪满治安部大臣。
邢士廉,伪满吉林省政府省长、伪满交通部大臣,1932-1945,原东北军将领，投日后任伪满吉林省省长，管辖范围包括今吉林市、通化、白山等地区，推行殖民政策，强征劳工，配合日军清剿抗日游击队。
熙洽,伪满财政部总长、伪满宫内府大臣,1931-1945,清皇室后裔，原吉林副司令长官公署参谋长，1931年投敌，参与策划吉林独立，协助日军占领吉林全境，其势力影响覆盖白山、江源地区，为伪满核心汉奸之一。
金铭世,伪满通化省省长（辖区含今白山、江源）,1937-1945,原东北地方官员，投日后任伪满通化省省长，直接管辖今白山、江源一带，推行“集团部落”政策，制造无人区，协助日军围剿杨靖宇等抗联部队。
姜全我,伪满通化省警务厅厅长,1935-1945,原奉系警察头目，投日后任伪满通化省警务厅厅长，在江源、临江等地建立特务网络，多次参与抓捕抗联地下交通员，直接迫害当地抗日群众。
王永清,伪满通化省保安队队长,1936-1945,原土匪头目，投日后任伪满通化省保安队队长，率汉奸武装在江源、抚松一带烧杀抢掠，配合日军“大讨伐”，杀害抗联伤员及支持抗联的百姓。
李寿山,伪满临江县（今白山江源区）县长,1932-1940,原临江县地方士绅，投日后任伪县长，强制推行“保甲连坐”，强征民夫修筑警备道路，多次向日军报告抗联活动情报，导致多处抗联密营被毁。
赵殿臣,伪满抚松县（今属白山）警察署署长,1933-1945,原抚松县警察，投日后任伪警察署长，在江源、抚松边界多次伏击抗联小分队，亲手杀害抗联战士多人，并参与“归屯并户”迫害村民。
孙玉田,伪满长白县（今属白山）协和会会长,1938-1945,原长白县商人，投日后任协和会会长，为日军筹集粮饷，组织“宣抚班”瓦解抗联意志，并告密导致抗联联络站被破坏，多名交通员牺牲。
