name,title,activity_period,notable_deeds
王永清,伪靖宇县警务科科长,1932-1945,在靖宇县（原濛江县）任职期间，积极协助日军“讨伐”东北抗日联军，多次率伪警察队袭击抗联密营，抓捕并杀害抗联战士及地方群众，是杨靖宇将军牺牲时的直接围捕参与者之一。
程斌,伪通化省警察厅警佐、伪“讨伐”队队长,1938-1945,原东北抗联第一军第一师师长，1938年叛变投敌。叛变后组建伪“程斌讨伐队”，熟悉抗联战术，多次带日军在濛江（今靖宇）、抚松、桦甸等地破坏抗联密营，切断补给，直接导致杨靖宇部陷入绝境。
张秀峰,伪“讨伐”队向导、叛徒,1940,原为抗联第一军警卫排排长，1940年2月携带机密文件及枪支叛变投敌，向日军供出杨靖宇的行踪和密营位置，引导伪军警在濛江县三道崴子包围杨靖宇，是杨靖宇牺牲的关键告密者。
赵廷喜,伪濛江县保安队队员,1940,1940年2月23日在濛江县保安村附近发现杨靖宇，后向日军告密并引导日伪军包围，直接导致杨靖宇将军被杀害。
桑文海,伪濛江县警务科警尉,1939-1945,长期参与对靖宇地区抗联部队的“围剿”，多次率伪警察搜山、烧毁密营，逮捕抗联交通员，并参与对杨靖宇牺牲后遗体的辨认和处置。
寇永和,伪濛江县警察署署长,1938-1945,在濛江（今靖宇）地区积极推行日伪“保甲连坐”制度，组织伪警察配合日军“大讨伐”，多次抓捕抗联地下工作者和爱国群众，是当地有名的汉奸头目。
李永祥,伪靖宇县协和会会长,1941-1945,在靖宇县宣传“日满亲善”，强迫民众捐献物资支援日军，并组织“协和义勇队”协助日伪军警搜捕抗联残余人员。
刘庆海,伪抚松县（今属白山市）警务科警佐,1937-1945,在抚松、靖宇交界地带多次率伪警察袭击抗联小分队，杀害抗联伤员，并参与破坏抗联在长白山区的后方基地。
张永贵,伪临江县（今白山市临江）警务科科长,1936-1945,在临江地区残酷镇压抗日活动，多次组织“搜山队”围剿抗联，逮捕并杀害数十名抗联战士及支持抗联的农民。
王殿臣,伪长白县（今属白山市）警察署署长,1937-1945,在长白县配合日军“集团部落”政策，强迫村民迁入“人圈”，并率伪警察多次袭击抗联密营，烧毁粮食和物资。
