name,title,activity_period,notable_deeds
邵本良,伪东边道讨伐司令,1931-1938,率伪军多次围剿杨靖宇领导的东北抗联第一路军，在通化、辑安（今集安）等地制造多起惨案，后因作战不力被日军冷落，1938年病死（一说被日军毒死）。
王殿忠,伪通化省警务厅长,1932-1945,在通化地区推行保甲连坐制度，组织汉奸特务网，协助日军抓捕抗联地下工作者，参与“集团部落”建设，导致大量平民伤亡。
纪大作,伪通化县县长,1933-1940,积极为日军征粮派夫，强征民夫修筑警备道路和碉堡，镇压当地抗日民众，曾亲自带队烧毁抗联联络点村庄。
赵明远,伪东边道保安司令,1934-1941,率伪军配合日军“大讨伐”，在柳河、金川（今辉南）一带追击抗联部队，杀害抗联伤员及地方群众，后升任伪满少将。
张海鹏,伪满热河省警备司令（曾驻通化）,1931-1935,九一八后投敌，曾率部在通化、临江等地协助日军镇压抗日义勇军，其部队烧杀抢掠，民愤极大。
于芷山,伪满第一军管区司令（辖通化）,1932-1940,原东北军将领，投日后负责通化、吉林地区“治安肃正”，指挥多次大规模围剿抗联，并推行“归屯并户”政策。
邢士廉,伪满吉林警备司令（兼辖通化）,1931-1937,在吉林、通化地区组织伪军，配合日军进攻抗日武装，曾下令处决多名抗联嫌疑分子，是伪满早期重要军事汉奸。
金名世,伪通化省省长,1940-1945,任内强化日伪统治，推行“粮谷出荷”政策，搜刮民粮供给日军，并协助关东军镇压通化地区剩余抗联小分队。
姜全我,伪通化地区警备队队长,1933-1943,原为土匪头目，投日后充当日军鹰犬，专门负责搜捕抗联交通员，曾亲手杀害抗联第一路军后勤人员多人。
李寿山,伪通化省协和会本部部长,1937-1945,利用协和会组织进行奴化宣传，煽动民众告发抗联活动，参与组建“自卫团”，协助日军进行经济封锁。
