name,title,activity_period,notable_deeds
熙洽,伪满洲国财政部总长、吉林省伪省长,1931-1945,九一八事变后投靠日本，出卖吉林军政大权，协助日军占领吉林，后任伪满要职，推行殖民统治。
张景惠,伪满洲国国务总理大臣（曾任东省特别区长官）,1931-1945,原东北军将领，后投敌，长期担任伪满最高行政长官，配合日本侵略政策，镇压东北抗日力量。
于琛澂,伪吉林省警备司令、伪满军政部大臣,1931-1945,原吉林军将领，叛国投敌，率伪军围剿抗日武装，在吉林、长春地区多次参与“讨伐”行动。
金名世,伪吉林省省长（后期）,1937-1945,伪满高级官僚，在吉林任职期间推行日伪法令，强征劳工，配合日本经济掠夺。
阎传绂,伪吉林省民政厅长、伪满司法部大臣,1932-1945,参与伪满政权建设，在吉林地区推行保甲制度，协助日伪镇压抗日活动。
荣厚,伪吉林省财政厅长,1932-1940,负责伪吉林财政，为日军和伪满政权筹集军费，搜刮民财。
孙其昌,伪吉林省教育厅长、伪满民生部大臣,1932-1945,推行奴化教育，在吉林长春地区建立日式学校，篡改历史教材。
赵欣伯,伪满立法院院长（曾活动于长春）,1932-1945,原奉系律师，投日后参与伪满立法，为殖民统治提供法律依据。
袁金铠,伪满参议府议长（曾活动于长春）,1932-1945,清末遗老，投靠日本，在伪满中央任职，支持“满洲独立”分裂中国。
臧式毅,伪满参议府议长（继任，曾活动于长春）,1935-1945,原奉天省长，投敌后长期在伪满中枢，参与决策镇压东北抗联。
张燕卿,伪满外交部大臣（曾活动于长春）,1932-1945,参与伪满外交，承认日本侵略，协助签订卖国条约。
丁鉴修,伪满交通部大臣（曾活动于长春）,1932-1945,管理伪满交通，为日军运输军需物资，协助军事占领。
韩云阶,伪满经济部大臣（曾活动于长春）,1932-1945,负责伪满经济统制，在吉林地区推行“产业开发”，掠夺资源。
阮振铎,伪满文教部大臣（曾活动于长春）,1937-1945,在长春推行奴化教育，强制学习日语，抹杀中国民族意识。
李铭书,伪吉林省高等法院院长,1932-1945,在吉林地区审判抗日志士，以“反满抗日”罪名判处大量爱国者。
王静修,伪吉林省警务厅长,1932-1940,指挥伪警察在长春、吉林等地搜捕地下党，破坏抗日组织。
赵汝梅,伪长春市市长（第一任）,1932-1935,在长春推行日伪市政管理，强拆民房，建立“新京”规划。
于静远,伪长春市市长（后期）,1939-1945,管理伪都“新京”，配合日本殖民统治，实施粮食配给制。
徐绍卿,伪双阳县县长,1932-1937,在双阳地区推行日伪政权，组织伪自卫团，镇压当地抗日武装。
刘德权,伪双阳县县长（继任）,1937-1941,协助日军在双阳进行“清乡”，强征农民粮食，迫害抗日家属。
张联第,伪双阳县警务科长,1933-1945,指挥伪警察在双阳山区围剿抗联小分队，杀害多名游击队员。
