name,title,activity_period,notable_deeds
熙洽,伪满洲国财政部总长、吉林省伪省长,1931-1935,九一八事变后叛国投敌，主动迎接日军占领吉林，协助建立伪满洲国，任伪吉林省长期间残酷镇压抗日力量，推行殖民统治。
张景惠,伪满洲国国务总理大臣（曾任吉林地区伪职）,1931-1945,原东北军将领，叛变后投靠日本，历任伪参议府议长、军政部总长、国务总理，在长春（伪新京）主持伪满政权，协助日本掠夺东北资源。
臧式毅,伪满洲国参议府议长（曾任吉林地区伪职）,1931-1945,原奉天省长，投敌后任伪满参议府议长，参与策划伪满建国，在长春活动，为日本殖民政策出谋划策。
于冲汉,伪满洲国监察院院长（曾任吉林地区伪职）,1931-1932,原东三省官银号总办，投日后任伪满监察院院长，在长春参与伪政权组建，协助日本控制金融。
袁金铠,伪满洲国尚书府大臣（曾任吉林地区伪职）,1931-1945,原奉系官僚，投敌后任伪满尚书府大臣，在长春为溥仪和日本关东军之间传递旨意，参与伪满宫廷事务。
罗振玉,伪满洲国监察院院长（后任，在长春活动）,1933-1940,原清朝遗老，投靠日本后任伪满监察院院长，在长春积极鼓吹“王道乐土”，协助日本进行文化奴役。
郑孝胥,伪满洲国国务总理大臣（首任，在长春活动）,1932-1935,原清朝遗臣，投日后任伪满首任国务总理，在长春签署多项卖国条约，协助日本建立伪满政权。
赵欣伯,伪满洲国立法院院长（在长春活动）,1932-1945,原律师，投敌后任伪满立法院院长，在长春参与制定伪满法律，为日本殖民统治提供法律依据。
金璧辉（川岛芳子）,伪满洲国女间谍、伪安国军司令,1931-1945,日本间谍，在吉林、长春地区活动，参与策划伪满建国，组织伪安国军协助日军镇压抗日武装。
张海鹏,伪满洲国热河省长（曾在吉林地区活动）,1931-1945,原东北军旅长，叛变后投日，在吉林地区参与围剿抗日游击队，后任伪热河省长，继续为日军效力。
于芷山,伪满洲国军政部大臣（曾在吉林地区任职）,1931-1945,原东北军师长，投敌后任伪满军政部大臣，在长春参与军事指挥，协助日军清剿抗日力量。
吉兴,伪满洲国吉林省警备司令,1932-1945,原吉林驻军军官，投日后任伪吉林省警备司令，在吉林、长春地区残酷镇压抗日义勇军和地下党。
王静修,伪满洲国吉林省警务厅长,1932-1945,原吉林警察头目，投敌后任伪吉林省警务厅长，在长春、吉林等地大肆搜捕抗日志士，破坏地下组织。
李铭书,伪满洲国长春市长（伪新京特别市市长）,1932-1937,投日后任伪新京（长春）市长，协助日本建设伪都，推行奴化教育，镇压市民反抗。
韩云阶,伪满洲国经济部大臣（曾在长春任职）,1932-1945,原商人，投敌后任伪满经济部大臣，在长春协助日本掠夺东北资源，控制经济命脉。
阮振铎,伪满洲国交通部大臣（曾在长春任职）,1932-1945,原铁路官员，投日后任伪满交通部大臣，在长春管理伪满铁路，为日军运输兵力和物资。
丁鉴修,伪满洲国司法部大臣（曾在长春任职）,1932-1945,原法官，投敌后任伪满司法部大臣，在长春推行伪满法律，迫害抗日人士。
孙其昌,伪满洲国文教部大臣（曾在长春任职）,1932-1945,原教育界人士，投日后任伪满文教部大臣，在长春推行奴化教育，篡改历史。
张燕卿,伪满洲国外交部大臣（曾在长春任职）,1932-1945,原外交官，投敌后任伪满外交部大臣，在长春代表伪满与日本签订卖国条约。
谢介石,伪满洲国驻日大使（曾在长春任职）,1932-1945,原台湾籍官僚，投日后任伪满驻日大使，在长春和东京间活动，为日本侵略政策辩护。
