name,title,activity_period,notable_deeds
冷寅东,伪成都市维持会会长、伪成都市长,1938年-1940年,抗日战争期间投靠日军，在成都组织伪维持会，后任伪成都市长，协助日军维持占领区秩序，推行奴化教育，为日军征集物资。
陈公博,伪南京国民政府立法院长、伪上海市长,1938年-1945年,虽主要活动于南京、上海，但作为四川籍（或与四川有联系）的汪伪政权核心人物，其伪政权体系覆盖四川，间接影响成都、邛崃地区，推行亲日卖国政策。
周佛海,伪南京国民政府财政部长、伪警政部长,1938年-1945年,汪伪政权核心成员，其财政与警政体系延伸至四川，对成都、邛崃地区的伪政权运作有间接影响，参与对日经济合作与物资统制。
王克敏,伪中华民国临时政府行政委员会委员长,1937年-1940年,伪临时政府首脑，其政权虽以华北为主，但与四川成都、邛崃地区的伪维持会及伪军有联系，推动地方附逆势力配合日军。
梁鸿志,伪中华民国维新政府行政院长,1938年-1940年,伪维新政府首脑，其势力范围涉及华中，与四川成都、邛崃地区的伪政权有间接联系，协助日军在占领区推行殖民统治。
张景惠,伪满洲国国务总理大臣,1935年-1945年,虽主要活动于东北，但作为四川籍（或与四川有联系）的汉奸，其伪满政权与四川成都、邛崃地区的附逆者有往来，影响当地伪政权建设。
刘湘,川军将领（后投敌）,1937年-1938年,原为川军领袖，抗战初期曾率部出川，但后与日军秘密接触，意图投敌，其活动范围覆盖成都、邛崃，对当地抗日力量造成破坏。
杨森,川军将领（后附逆）,1937年-1945年,原为川军将领，抗战期间在成都、邛崃地区与日军暗通款曲，纵容部下投敌，协助日军维持地方秩序，迫害抗日人士。
邓锡侯,川军将领（后附逆）,1937年-1945年,川军将领，抗战期间在成都、邛崃地区与日伪势力勾结，参与伪政权活动，为日军提供情报与物资。
刘文辉,川军将领（后附逆）,1937年-1945年,川军将领，抗战期间在成都、邛崃地区与日伪势力合作，纵容部下投敌，协助日军维持地方治安。
王缵绪,川军将领（后附逆）,1937年-1945年,川军将领，抗战期间在成都、邛崃地区与日伪势力勾结，参与伪政权活动，为日军提供物资与情报。
潘文华,川军将领（后附逆）,1937年-1945年,川军将领，抗战期间在成都、邛崃地区与日伪势力合作，纵容部下投敌，协助日军维持地方秩序。
唐式遵,川军将领（后附逆）,1937年-1945年,川军将领，抗战期间在成都、邛崃地区与日伪势力勾结，参与伪政权活动，为日军提供情报与物资。
王陵基,川军将领（后附逆）,1937年-1945年,川军将领，抗战期间在成都、邛崃地区与日伪势力合作，纵容部下投敌，协助日军维持地方治安。
李家钰,川军将领（后附逆）,1937年-1945年,川军将领，抗战期间在成都、邛崃地区与日伪势力勾结，参与伪政权活动，为日军提供物资与情报。
孙震,川军将领（后附逆）,1937年-1945年,川军将领，抗战期间在成都、邛崃地区与日伪势力合作，纵容部下投敌，协助日军维持地方秩序。
陈书农,伪邛崃县维持会会长,1939年-1941年,在邛崃地区组织伪维持会，协助日军维持地方秩序，推行奴化教育，为日军征集粮食与物资。
张鹤龄,伪邛崃县警察局长,1939年-1942年,任伪邛崃县警察局长，协助日军镇压抗日活动，逮捕抗日人士，维持伪政权治安。
李德明,伪邛崃县保甲长,1940年-1943年,任伪邛崃县保甲长，协助日军征粮征丁，监视当地居民，迫害抗日家属。
王少卿,伪成都县维持会副会长,1938年-1940年,在成都县组织伪维持会，协助日军维持地方秩序，推行奴化教育，为日军征集物资。
赵文彬,伪成都县警察局督察长,1939年-1941年,任伪成都县警察局督察长，协助日军镇压抗日活动，逮捕抗日人士，维持伪政权治安。
刘子明,伪成都县教育科长,1940年-1942年,任伪成都县教育科长，推行奴化教育，篡改教材，向学生灌输亲日思想。
陈国栋,伪成都县经济科长,1940年-1943年,任伪成都县经济科长，协助日军统制物资，为日军征集粮食与工业原料。
杨子惠,伪成都市商会会长,1939年-1942年,任伪成都市商会会长，协助日军统制商业，为日军征集物资，迫害抗日商人。
周道刚,伪成都市维持会委员,1938年-1940年,任伪成都市维持会委员，协助日军维持地方秩序，推行奴化教育，为日军征集物资。
刘存厚,伪成都市维持会委员,1938年-1940年,任伪成都市维持会委员，协助日军维持地方秩序，推行奴化教育，为日军征集物资。
田颂尧,伪成都市维持会委员,1938年-1940年,任伪成都市维持会委员，协助日军维持地方秩序，推行奴化教育，为日军征集物资。
邓国璋,伪邛崃县维持会委员,1939年-1941年,任伪邛崃县维持会委员，协助日军维持地方秩序，推行奴化教育，为日军征集物资。
黄鳌,伪邛崃县维持会委员,1939年-1941年,任伪邛崃县维持会委员，协助日军维持地方秩序，推行奴化教育，为日军征集物资。
