name,title,activity_period,notable_deeds
冷开泰,伪成都维持会会长、伪成都市市长,1938年-1940年,抗日战争期间投靠日军，参与组织伪成都维持会，后任伪成都市市长，协助日军维持占领区秩序、推行伪化统治。
周作民,伪四川省政府委员、伪成都市市长,1938年-1941年,在日军占领武汉后，于四川地区参与伪政权活动，曾任伪成都市市长，协助日军推行伪化政策。
李宏锟,伪成都警察局局长,1938年-1940年,抗战期间在成都地区投敌，担任伪警察局局长，参与镇压抗日活动、维护日伪统治。
张伯伦,伪郫县维持会会长,1939年-1941年,在郫县地区组织伪维持会，协助日军征粮、派款，维持地方伪秩序。
王缵绪,伪四川省政府主席,1938年-1940年,抗战初期在四川地区与日伪势力勾结，曾任伪四川省政府主席，推行伪化政策，后因内部矛盾被撤换。
刘湘,伪四川善后督办（后投敌）,1937年-1938年,原为四川军阀，抗战初期曾与日伪秘密接触，后因病去世，但其部分部下投敌，影响四川地区伪化活动。
陈公博,伪国民政府立法院院长（活动涉及四川）,1940年-1945年,作为汪伪政权核心人物，其伪化政策影响四川地区，间接推动成都、郫都等地伪政权建立。
周佛海,伪国民政府财政部长（活动涉及四川）,1940年-1945年,汪伪政权财政负责人，其经济伪化政策波及四川，成都、郫都等地伪经济组织受其影响。
李士群,伪特工总部主任（活动涉及四川）,1939年-1943年,汪伪特务头目，其特务网络延伸至四川，在成都、郫都等地进行情报与镇压抗日活动。
丁默邨,伪特工总部副主任（活动涉及四川）,1939年-1945年,汪伪特务组织负责人之一，其活动影响四川地区，参与镇压成都、郫都等地抗日力量。
