name,title,activity_period,notable_deeds
张仁蠡,伪天津市市长,1937-1943,投靠日本，任伪天津市市长，推行日伪政权统治，协助日军镇压抗日活动，征收苛捐杂税，为日军提供物资支持。
潘毓桂,伪天津市市长,1935-1937,曾任冀察政务委员会政务处长，后投靠日军，任伪天津市市长，参与签订卖国协定，协助日军控制天津。
温世珍,伪天津特别市市长,1943-1945,任伪天津特别市市长，积极推行日本殖民政策，组织保甲制度，搜刮民财，镇压抗日力量。
王竹林,伪天津市商会会长,1937-1945,充当汉奸，为日军征调物资，强迫商户捐款，协助日伪经济统制，破坏抗日经济。
刘绍琨,伪天津警察局局长,1937-1945,指挥伪警察协助日军搜捕抗日志士，破坏地下组织，参与镇压学生运动。
袁文会,天津青帮头目/汉奸,1937-1945,投靠日军，组织汉奸武装，为日军充当特务，绑架勒索抗日人士，控制码头和烟馆，为日军提供情报。
张逊之,伪宝坻县知事,1938-1940,在宝坻县任伪职，协助日军清乡扫荡，强征民夫，掠夺粮食，迫害抗日家属。
李际春,伪冀东防共自治政府保安部长,1935-1938,参与殷汝耕伪冀东政权，在宝坻一带组织伪保安队，配合日军围剿抗日游击队。
殷汝耕,伪冀东防共自治政府主席,1935-1938,在冀东（含宝坻）建立伪政权，宣布脱离中国，为日军提供统治基础，推行奴化教育。
池宗墨,伪冀东防共自治政府秘书长,1935-1938,协助殷汝耕管理伪政权，在宝坻等县推行日伪法令，镇压抗日活动。
赵雷,伪冀东保安队司令,1935-1938,率伪保安队在宝坻、宁河一带扫荡抗日武装，杀害无辜百姓，为日军充当帮凶。
王伯成,伪宝坻县维持会会长,1937-1938,日军占领宝坻后组织维持会，为日军筹粮派款，提供劳役，协助建立伪政权。
刘凤鸣,伪宝坻县保安队队长,1938-1945,率伪保安队配合日军多次扫荡宝坻抗日根据地，杀害抗日干部和群众，抢掠财物。
张化南,伪宝坻县新民会会长,1939-1945,推行新民会奴化宣传，组织青少年训练，搜集抗日情报，破坏抗日群众组织。
李万春,伪宝坻县警察所所长,1940-1945,指挥伪警察逮捕抗日地下党员，严刑逼供，协助日军建立情报网络。
