name,title,activity_period,notable_deeds
张仁蠡,伪天津市市长、伪河北省省长,1937-1945,曾任伪天津市市长，后任伪河北省省长，积极推行日伪政权政策，镇压抗日活动，为日军在华北的统治服务。
温世珍,伪天津特别市市长,1938-1943,投靠日本，出任伪天津特别市市长，协助日军管理天津，推行奴化教育，强征物资，迫害抗日人士。
王绪高,伪天津特别市警察局局长,1937-1945,任伪天津警察局长，协助日军搜捕抗日分子，镇压民众反抗，参与制造多起血腥事件。
刘玉书,伪天津特别市公署参事、伪河东区区长,1938-1945,在河东地区担任伪区长，为日军征收粮食物资，强抓壮丁，迫害当地居民，协助维持日伪统治。
李宝荣,伪天津河东区警察署署长,1939-1945,在河东区警察署任职期间，积极协助日军清剿抗日武装，逮捕爱国群众，破坏地下抗日组织。
赵鹏飞,伪天津河东区保甲长联合办事处主任,1940-1945,负责河东区保甲制度推行，监控居民活动，向日军报告抗日嫌疑人员，协助实施“治安强化运动”。
孙润生,伪天津河东区商会会长,1938-1945,担任河东区伪商会会长，为日军强制摊派捐款，控制粮食配给，从中牟利，压迫商户和百姓。
周迪平,伪天津河东区教育科长,1939-1945,在河东区推行奴化教育，强制学校教授日语，宣传“大东亚共荣”，迫害爱国教师和学生。
杨敬修,伪天津河东区保安队队长,1940-1945,率领伪保安队配合日军扫荡河东地区，抓捕抗日军民，抢劫财物，犯下多起罪行。
高云升,伪天津河东区税务局长,1938-1945,为日军征收各种苛捐杂税，强征民间财产，导致河东地区民生凋敝，民众苦不堪言。
