name,title,activity_period,notable_deeds
齐燮元,伪华北政务委员会治安总署督办、伪华北绥靖军总司令,1937-1945,原北洋直系将领，投日后组织伪华北治安军，在河北、天津地区协助日军扫荡抗日根据地，残害抗日军民。
王揖唐,伪华北政务委员会内政总署督办、伪华北政务委员会委员长,1937-1945,原北洋政客，投日后任伪华北政权要职，在北平、天津、河北推行奴化政策，协助日军经济掠夺和治安强化运动。
王克敏,伪中华民国临时政府行政委员会委员长、伪华北政务委员会委员长,1937-1945,原北洋财政官僚，投日后组建伪华北政权，管辖河北、天津等地，为日军提供财政和物资支持，镇压抗日活动。
殷汝耕,伪冀东防共自治政府委员长,1935-1938,原国民党官员，1935年与日军勾结成立冀东伪政权，辖冀东22县（含天津北部、河北东部），协助日军控制冀东地区，破坏抗日。
池宗墨,伪冀东防共自治政府秘书长、代理委员长,1935-1938,殷汝耕亲信，参与冀东伪政权运作，在冀东地区推行亲日政策，协助日军清剿抗日力量。
张庆余,伪冀东保安队第一总队队长,1935-1937,原冀东保安队军官，投靠殷汝耕伪政权，在冀东地区镇压抗日民众，后反正但影响有限。
李守信,伪蒙古军政府总司令、伪华北绥靖军副司令,1936-1945,原热河地方军阀，投日后在察哈尔、河北北部（含天津北部）配合日军作战，参与“治安肃正”行动。
德穆楚克栋鲁普（德王）,伪蒙疆联合自治政府主席,1936-1945,蒙古王公，投日建立伪蒙疆政权，其势力范围涉及河北北部（张家口、承德一带），配合日军控制长城沿线。
吴赞周,伪河北省省长,1938-1943,原北洋军官，投日后任伪河北省长，在保定、石家庄等地推行保甲制度，强征粮食，协助日军“扫荡”冀中、冀南根据地。
陈曾栻,伪河北省省长（继任）,1943-1945,投日后接任伪河北省长，在河北推行“新国民运动”，配合日军抓丁拉夫，镇压抗日群众。
荣臻,伪河北省保安司令、伪华北绥靖军第1军军长,1938-1945,原东北军将领，投日后在河北组织伪保安队，多次参与对冀中、冀西抗日根据地的进攻。
高凌霨,伪天津特别市市长（首任）,1937-1938,原北洋政客，天津沦陷后投日，任伪天津市长，协助日军接管天津，推行殖民统治，镇压抗日活动。
潘毓桂,伪天津特别市市长（第二任）,1938-1943,原北洋官员，投日后任伪天津市长，在天津实施粮食统制，配合日军经济掠夺，逮捕抗日志士。
温世珍,伪天津特别市市长（第三任）,1943-1945,原外交官，投日后任伪天津市长，推行奴化教育，为日军提供劳工和物资，镇压地下抗日组织。
方若,伪天津特别市公署顾问、伪华北政务委员会参议,1937-1945,原天津文化界名人，投日后为日军在天津的文化侵略和殖民宣传服务，协助伪政权管理天津。
刘玉书,伪天津警察局局长,1937-1945,原天津警察系统官员，投日后任伪警察局长，在天津大肆搜捕抗日分子，破坏地下党联络站。
张仁蠡,伪冀东道尹、伪唐山市长,1938-1945,原北洋官僚张弧之子，投日后在冀东（唐山、秦皇岛一带）任伪职，协助日军控制冀东矿区，镇压工人抗日运动。
韩则信,伪冀南道尹,1939-1945,投日后任伪冀南道尹，管辖邢台、邯郸等地，推行“治安强化”运动，配合日军对冀南根据地的“囚笼政策”。
薛东藩,伪保定道尹,1938-1945,投日后任伪保定道尹，在冀中地区建立伪组织，强征民夫修筑碉堡公路，协助日军封锁抗日根据地。
王竹亭,伪津海道尹（天津周边地区）,1938-1945,投日后任伪津海道尹，管辖天津周边各县，推行伪政权法令，配合日军“清乡”行动。
曹汝霖,伪华北政务委员会咨询委员（未正式就任但参与活动）,1937-1945,原北洋交通系领袖，虽未任实职，但多次为伪华北政权出谋划策，在天津、河北有广泛人脉，协助日军拉拢旧官僚。
陆宗舆,伪华北政务委员会经济顾问,1937-1940,原北洋外交官，投日后在天津、河北为日军经济统制提供方案，参与掠夺华北资源。
章宗祥,伪华北政务委员会法制顾问,1937-1945,原北洋政客，投日后在北平、天津参与伪政权法律制定，为日军殖民统治提供合法性包装。
孙传芳（晚年未投日，但旧部多人投日）,（本人未投日，其旧部如）,—,（此条为说明：孙传芳本人拒绝投日，但其旧部如周荫人、卢香亭等部分在河北投日，但无具体任职记录，故不列入。）
周荫人,伪华北绥靖军高级顾问（未公开任职但参与）,1938-1945,原直系将领，投日后在天津、河北为伪军训练提供军事指导，协助齐燮元整编伪治安军。
卢香亭,伪冀东保安队顾问,1937-1940,原孙传芳部将，投日后在冀东地区协助日军训练伪军，参与镇压冀东抗日暴动。
张敬尧,伪华北绥靖军总参议（未及就任被刺杀）,1933-1933,原北洋皖系军阀，1933年受日军指使在天津、河北策划华北自治，被军统刺杀于北平六国饭店。
石友三,伪冀察战区副总指挥（投日未遂被处决）,1940-1940,原西北军将领，在河北南部与日军秘密勾结，企图投敌，被高树勋处决，未及正式投日。
庞炳勋,伪第五方面军总司令（投日后）,1943-1945,原国民党第24集团军总司令，1943年在太行山被俘投日，其部队活动范围涉及河北南部，协助日军进攻冀鲁豫根据地。
孙殿英,伪新编第五军军长（投日后）,1943-1945,原国民党将领，1943年投日，在河北、河南交界地区配合日军作战，袭击八路军。
孙良诚,伪第二方面军总司令（投日后）,1942-1945,原西北军将领，1942年投日，其部队在河北南部、山东北部活动，参与“扫荡”冀鲁豫根据地。
张岚峰,伪第四方面军总司令（投日后）,1944-1945,原西北军将领，投日后在河北、河南边界驻防，协助日军封锁抗日根据地。
郝鹏举,伪淮海省省长（原在河北活动）,1941-1945,原国民党军官，投日后曾在华北（含河北）任职，后调任淮海，在河北期间参与反共活动。
门致中,伪华北绥靖军第2军军长,1939-1945,原西北军将领，投日后在河北保定、石家庄一带驻防，多次率伪军进攻冀中根据地。
李海天,伪华北绥靖军第3军军长,1940-1945,原东北军军官，投日后在冀东地区任伪军头目，参与制造“无人区”，屠杀抗日群众。
黄南鹏,伪华北绥靖军第4军军长,1941-1945,原直系军官，投日后在天津以南地区驻防，协助日军“清剿”冀中八路军。
胡毓坤,伪华北绥靖军参谋长,1938-1945,原东北军将领，投日后任伪华北绥靖军参谋长，参与策划对河北抗日根据地的军事行动。
富双英,伪华北绥靖军第5军军长,1942-1945,原奉系军官，投日后在冀南地区活动，配合日军“铁壁合围”战术进攻八路军。
徐永昌（未投日，但同名者）,（无，此为混淆）,—,（不列入）
赵侗,伪华北民众自治军总司令（后反正）,1937-1938,原抗日武装首领，一度被日军收编在河北活动，后反正抗日，但初期有投敌行为。
王英,伪绥西联军司令（在河北北部活动）,1937-1945,原土匪武装头目，投日后在察哈尔、河北北部（张家口一带）为日军效力，劫掠抗日村庄。
杨玉昆,伪天津便衣队队长,1937-1945,天津地痞头目，投日后组织便衣队，在天津市区及郊县搜捕抗日人士，敲诈勒索百姓。
袁文会,伪天津青帮头目、特务,1937-1945,天津青帮头子，投靠日军，在天津开设赌场烟馆，协助日本宪兵队抓捕抗日分子，参与“治安维持会”。
张德义,伪天津警察局特高课课长,1938-1945,投日后在天津警察局特高课任职，专门破坏中共地下组织，逮捕多名抗日志士。
刘静山,伪河北省教育厅厅长,1938-1945,投日后在河北推行奴化教育，修改教科书，强迫学生学日语，宣扬“中日亲善”。
王揖唐（重复？不，已列）,—,—,—
曹锟（晚年未投日，但旧部）,（本人拒绝投日）,—,（不列入）
吴佩孚（拒绝投日）,（本人拒绝）,—,（不列入）
