name,title,activity_period,notable_deeds
王竹林,伪天津市商会会长,1937-1945,投靠日军，出任伪天津市商会会长，协助日伪推行经济统制，为日军搜刮物资，镇压抗日商民。
刘绍琨,伪天津特别市公署警察局局长,1938-1943,在红桥地区（原天津三区、六区）部署伪警，配合日军抓捕抗日志士，实施保甲连坐，迫害平民。
温世珍,伪天津特别市市长,1939-1943,管辖包括红桥在内的全市，推行奴化教育，强征劳工，为日军提供粮食和军需，镇压抗日活动。
方若,伪天津特别市公署顾问,1938-1945,参与伪政权决策，在红桥地区协助日伪清查户口，搜捕地下抗日人员，并参与文化奴化宣传。
徐良,伪华北政务委员会常务委员兼天津办事处主任,1940-1944,在红桥地区设立特务据点，配合日军宪兵队破坏抗日组织，强征民间金属支援日军军工。
张仁蠡,伪天津特别市公署秘书长,1938-1942,直接管理红桥区行政事务，推行“治安强化运动”，组织汉奸保甲巡逻，迫害抗日家属。
高凌霨,伪天津治安维持会会长,1937-1938,日军占领初期在红桥地区组织维持会，为日军提供向导和情报，协助清剿抗日武装。
王绪高,伪天津特别市第三区（红桥一带）区长,1939-1945,管辖红桥核心区域，强征壮丁，搜刮粮食，向日军报告抗日活动，多次带伪警抓捕进步学生。
李宝荣,伪天津特别市第六区（红桥部分）区长,1940-1945,在红桥西沽、丁字沽一带推行日伪“米谷统制”，导致百姓饿殍，并协助日军强拆民房建工事。
赵聘卿,伪天津特别市公署特务科科长,1941-1945,在红桥地区发展汉奸密探，破坏中共地下联络站，逮捕多名抗日分子并移交日军酷刑。
