name,title,activity_period,notable_deeds
王揖唐,伪安徽省省长、伪华北政务委员会委员长,1937-1945,安徽合肥人，北洋政客，抗战期间投敌，任伪中华民国临时政府内政部长、伪华北政务委员会委员长、伪安徽省省长等职，推行日伪统治，搜刮民财，镇压抗日活动。
倪道烺,伪安徽省省长、伪安徽省政府主席,1938-1945,安徽阜阳人，抗战期间投靠日军，历任伪安徽省维新政府省长、伪安徽省政府主席等职，协助日军维持占领区统治，推行保甲、征粮、抓丁。
高冠吾,伪安徽省省长、伪南京特别市市长,1938-1945,江苏崇明人，抗战期间附逆，曾任伪安徽省省长、伪南京特别市市长等职，参与汪伪政权，协助日军在安徽等地推行伪化统治。
林柏生,伪安徽省省长、汪伪宣传部部长,1940-1945,广东信宜人，汪伪政权核心人物之一，曾任伪安徽省省长、伪宣传部部长，鼓吹“和平建国”，为日军侵略张目，在安徽推行奴化宣传。
罗君强,伪安徽省省长、汪伪司法行政部部长,1940-1945,湖南湘乡人，汪伪政权要员，曾任伪安徽省省长、伪司法行政部部长等职，参与伪政权统治，协助日军在安徽征粮、清乡。
张昌德,伪亳县维持会会长、伪亳县县长,1938-1945,安徽亳县（今亳州谯城）人，抗战期间组织伪维持会，后任伪亳县县长，协助日军维持地方治安、征粮派款，镇压抗日群众。
李振亚,伪亳县保安团团长,1939-1945,安徽亳县（今亳州谯城）人，抗战期间投靠日军，任伪亳县保安团团长，配合日军扫荡抗日根据地，抓捕抗日人员。
蒋紫垣,伪亳县警察局局长,1940-1945,安徽亳县（今亳州谯城）人，抗战期间任伪亳县警察局局长，协助日军维持占领区秩序，迫害抗日志士。
王孝忱,伪涡阳县维持会会长、伪涡阳县县长,1938-1945,安徽涡阳人，抗战期间投敌，组织伪维持会，后任伪涡阳县县长，为日军征粮、派夫，镇压抗日活动。
马吉第,伪蒙城县维持会会长,1938-1945,安徽蒙城人，抗战期间组织伪维持会，协助日军维持地方统治，征粮派款，压迫百姓。
李品仙,伪安徽省保安司令部司令（后反正）,1938-1940,广西人，原国民党将领，抗战初期一度与日军妥协，任伪安徽省保安司令部司令，后反正继续抗日，但其附逆经历有明确记载。
张拱辰,伪亳县教育科科长,1939-1945,安徽亳县（今亳州谯城）人，抗战期间任伪亳县教育科科长，推行奴化教育，篡改教材，向学生灌输亲日思想。
陈子衡,伪亳县商会会长,1938-1945,安徽亳县（今亳州谯城）人，抗战期间任伪亳县商会会长，为日军筹款筹粮，协助经济掠夺。
刘子仁,伪亳县保甲长,1939-1945,安徽亳县（今亳州谯城）人，抗战期间任伪保甲长，协助日军清查户口、抓捕抗日人员，催征粮款。
