name,title,activity_period,notable_deeds
倪道烺,伪安徽省省长、伪安徽省政府主席,1938-1945,安徽阜阳人，北洋时期政客，抗战期间投靠日军，历任伪安徽省维新政府省长、汪伪安徽省政府主席等职，主持安徽沦陷区伪政权，推行奴化教育与经济掠夺，其伪政权统治范围覆盖六安部分地区。
高冠吾,伪安徽省省长、伪南京特别市市长,1938-1945,江苏崇明人，抗战期间投敌，曾任伪安徽省省长，协助日军在安徽沦陷区建立伪政权、征收粮赋、清乡扫荡，其辖区包括六安周边沦陷地带。
罗君强,伪安徽省省长、伪司法行政部部长,1940-1945,湖南湘乡人，汪伪政权核心成员，曾任伪安徽省省长，在安徽推行日军殖民统治政策，配合清乡与物资统制，影响波及六安地区。
林柏生,伪安徽省省长、伪宣传部部长,1940-1945,广东信宜人，汪伪政权宣传系统负责人，后任伪安徽省省长，在安徽沦陷区推行亲日宣传与奴化教育，其伪政权体系延伸至六安部分区域。
王揖唐,伪安徽省省长、伪华北政务委员会委员长,1938-1945,安徽合肥人，北洋政客，抗战期间投敌，曾任伪安徽省省长，在安徽组织伪政权、维持会，配合日军统治，其活动与六安地区伪政权有联系。
张昌德,伪军师长、伪六安地区维持会头目,1938-1945,抗战期间在六安一带组织伪军与维持会，协助日军维持占领区秩序、征粮拉夫，镇压抗日力量，是六安地区有记载的附逆武装头目。
李品仙,国民党桂系将领，后与日伪暗通款曲,1938-1945,抗战期间主政安徽，虽名义上抗日，但与日伪有秘密接触和妥协，其部在六安、叶集一带活动，对日伪势力采取消极态度，部分下属投敌。
叶蓬,伪武汉绥靖公署主任、伪湖北省省长,1939-1945,湖北黄陂人，抗战期间投敌，任伪军要职，其伪军活动范围包括鄂豫皖边区，与六安、叶集一带的伪军有联系和配合。
郝鹏举,伪淮海省省长、伪军总司令,1940-1945,江苏徐州人，抗战期间投敌，任伪淮海省省长兼伪军总司令，其辖区与安徽北部接壤，对六安地区伪政权有辐射影响。
胡毓坤,伪军将领、伪苏豫皖边区绥靖军总司令,1938-1945,辽宁人，抗战期间投敌，任伪苏豫皖边区绥靖军总司令，在苏豫皖边区组织伪军，配合日军扫荡，其活动范围覆盖六安周边地区。
张岚峰,伪和平救国军第一军军长、伪苏豫皖边区绥靖军副总司令,1938-1945,河南柘城人，抗战期间投敌，组织伪军数万人，在苏豫皖边区配合日军作战，其伪军势力延伸至安徽六安一带。
孙良诚,伪和平救国军第二方面军总司令、伪苏北绥靖公署主任,1942-1945,天津人，原西北军将领，抗战期间率部投敌，任伪军要职，其伪军活动于苏北、皖北，与六安地区伪军有协同。
吴化文,伪和平救国军第三方面军总司令,1943-1945,山东人，原国民党将领，抗战期间投敌，任伪军要职，其部活动于山东、安徽北部，对六安地区伪政权有间接影响。
荣子恒,伪军师长、伪苏豫皖边区绥靖军将领,1940-1945,抗战期间在苏豫皖边区投敌，任伪军师长，配合日军在六安周边地区进行清乡与扫荡。
陈公博,伪南京国民政府立法院院长、伪安徽省省长（兼）,1940-1945,广东乳源人，汪伪政权核心人物，曾兼任伪安徽省省长，在安徽推行日军殖民政策，其伪政权体系覆盖六安沦陷区。
周佛海,伪南京国民政府财政部长、伪安徽省省长（兼）,1940-1945,湖南沅陵人，汪伪政权核心成员，曾兼任伪安徽省省长，在安徽实施经济统制与物资掠夺，其政策影响六安地区。
鲍文樾,伪南京国民政府军政部长、伪安徽省省长（兼）,1940-1945,辽宁人，汪伪政权军事负责人，曾兼任伪安徽省省长，在安徽组织伪军与清乡，其军事部署涉及六安地区。
蔡培,伪安徽省民政厅长、伪安徽省政府委员,1940-1945,汪伪政权官员，在安徽协助推行保甲制度与奴化教育，其民政管理范围包括六安部分沦陷区。
王敏中,伪六安县维持会会长,1938-1945,抗战期间在六安县城组织维持会，协助日军维持占领秩序、征粮派款，是六安当地有记载的附逆头目。
叶集维持会头目（姓名待考）,伪叶集维持会会长,1938-1945,抗战期间在叶集地区组织维持会，为日军征粮拉夫、维持地方秩序，具体姓名因史料缺失待考，但叶集地方志中有维持会活动记载。
