name,title,activity_period,notable_deeds
倪道烺,伪安徽省省长、伪安徽省政府主席,1938-1945,安徽阜阳人，北洋时期政客，抗战期间投靠日军，历任伪安徽省维新政府省长、伪安徽省政府主席等职，主持安徽沦陷区伪政权，推行奴化教育与经济掠夺，其伪政权势力覆盖六安周边沦陷区。
高冠吾,伪安徽省省长、伪江苏省省长,1938-1945,抗战期间投敌，曾任伪安徽省省长，参与组建安徽沦陷区伪政权，配合日军清乡与物资统制，后调任伪江苏省省长。
罗君强,伪安徽省省长、伪上海市政府秘书长,1940-1945,汪伪政权要员，曾任伪安徽省省长，在安徽沦陷区推行汪伪政策，协助日军征粮、清乡，镇压抗日力量。
林柏生,伪安徽省省长、汪伪宣传部长,1940-1945,汪伪政权核心人物之一，曾任伪安徽省省长，主持安徽沦陷区宣传与行政，推行亲日奴化教育。
王揖唐,伪安徽省省长、伪华北政务委员会委员长,1938-1945,北洋政客，抗战期间投敌，曾任伪安徽省省长，参与安徽沦陷区伪政权建设，后任伪华北政务委员会委员长。
张昌德,伪军将领、伪皖南独立方面军总司令,1943-1945,原国民党军将领，1943年率部投敌，任伪皖南独立方面军总司令，在皖南及安徽沿江地区配合日军作战，骚扰抗日根据地。
刘子清,伪军头目、伪六安维持会会长,1938-1945,六安沦陷期间投靠日军，组织伪维持会，为日军征集粮秣、拉夫，协助日军维持六安城区及周边治安，迫害抗日群众。
王孝楚,伪六安县知事,1938-1945,抗战期间任伪六安县知事，在六安沦陷区推行伪政，配合日军征粮、清乡，镇压抗日活动。
李品仙,国民党桂系将领（后与日伪暗通）,1938-1945,抗战期间任国民党安徽省主席、桂系将领，驻皖西六安一带，后期与日伪暗中联络，消极抗日、积极反共，其部属在六安地区与伪军有默契。
张淦,国民党桂系将领（后与日伪暗通）,1938-1945,桂系将领，抗战期间在安徽六安、立煌一带活动，后期与日伪有秘密接触，参与反共摩擦。
