name,title,activity_period,notable_deeds
王揖唐,伪安徽省省长、伪国民政府委员,1937-1945,安徽合肥人，北洋政客，抗战期间投靠日本，任伪安徽省省长等职，推行伪化统治，协助日军搜刮物资、镇压抗日力量。
倪道烺,伪安徽省省长、伪安徽省政府主席,1938-1945,安徽阜阳人，抗战期间投敌，历任伪安徽省省长、伪省政府主席，在安庆等地建立伪政权，配合日军维持占领区秩序。
高冠吾,伪安徽省省长、伪南京特别市市长,1938-1945,抗战期间投靠汪伪政权，曾任伪安徽省省长，在安徽境内推行伪化政策，协助日军征粮征税、清乡扫荡。
林柏生,伪安徽省省长、汪伪宣传部部长,1940-1945,汪伪政权核心人物之一，曾任伪安徽省省长，在安徽推行奴化宣传与伪化统治，配合日军经济掠夺。
罗君强,伪安徽省省长、汪伪司法行政部部长,1940-1945,汪伪政权要员，曾任伪安徽省省长，在安徽地区推行伪政，协助日军维持治安、镇压抗日活动。
张昌德,伪安庆维持会会长、伪怀宁县政府筹备处主任,1938-1945,安庆沦陷后出面组织伪维持会，后任伪怀宁县政府筹备处主任，为日军筹粮筹款、招募伪军，维持安庆城区伪秩序。
马骥材,伪安庆商会会长、伪安庆维持会委员,1938-1945,安庆商界附逆人物，参与伪维持会，协助日军控制安庆商业与物资调配，为占领军提供经济支持。
李用宾,伪潜山县维持会会长,1938-1945,潜山沦陷期间出面组织伪维持会，为日军征派粮秣、夫役，协助维持潜山地区伪统治。
汪叔度,伪潜山县县长,1940-1945,汪伪政权委任的潜山县伪县长，在潜山及周边地区推行伪化行政，配合日军清乡与物资掠夺。
陈淡如,伪怀宁县县长,1938-1945,安庆沦陷后任伪怀宁县县长，管辖区域包括安庆城区及周边，协助日军征粮、拉夫、维持伪治安。
方茂山,伪桐城县县长,1938-1945,桐城沦陷期间任伪县长，在桐城、安庆一带配合日军行动，推行保甲连坐，镇压抗日群众。
丁培鑫,伪安庆警察局局长,1938-1945,任伪安庆警察局局长，协助日军维持城区治安，搜捕抗日人员，管理伪警察队伍。
吴道南,伪安庆地区保安团团长,1939-1945,组织伪保安团配合日军在安庆周边清乡，袭击抗日游击队，强征民夫与物资。
何佩瑢,伪湖北省省长、伪安徽省省长,1938-1942,曾任伪安徽省省长，在安徽境内推行伪政，后调任湖北，其安徽任内配合日军掠夺资源、镇压抗日。
江亢虎,伪安徽省省长、汪伪考试院院长,1940-1945,汪伪政权人物，曾任伪安徽省省长，在安徽推行奴化教育与伪化行政，协助日军统治。
