name,title,activity_period,notable_deeds
王揖唐,伪安徽省省长、伪国民政府委员,1937-1945,安徽合肥人，北洋政客，抗战期间投敌，任伪安徽省省长等职，推行伪化统治，为日军搜刮物资、镇压抗日力量。
倪道烺,伪安徽省省长、伪安徽省政府主席,1938-1945,安徽阜阳人，抗战期间投敌，历任伪安徽省省长、伪省政府主席，协助日军维持安徽沦陷区统治，推行保甲、征粮、清乡。
高冠吾,伪安徽省省长、伪南京特别市市长,1938-1945,抗战期间投敌，曾任伪安徽省省长，参与安徽沦陷区伪政权建设，配合日军进行经济掠夺与治安强化。
林柏生,伪安徽省省长、伪国民政府宣传部长,1944-1945,汪伪政权要员，曾任伪安徽省省长，在安徽推行奴化宣传与伪化统治，协助日军维持占领区秩序。
罗君强,伪安徽省省长、伪上海特别市市长,1944-1945,汪伪政权要员，曾任伪安徽省省长，参与安徽沦陷区行政与治安管理，为日军提供物资与情报支持。
张拱辰,伪宿县维持会会长、伪宿县县长,1938-1945,宿州地区伪政权头目，组织维持会迎接日军，任伪宿县县长，协助日军征粮、拉夫、清乡，镇压当地抗日活动。
李寿山,伪宿县警察局局长,1939-1945,宿州地区伪警察头目，配合日军搜捕抗日人员，推行保甲连坐，维持沦陷区治安。
赵子云,伪宿县保安团团长,1938-1945,宿州地区伪军头目，率部配合日军扫荡抗日根据地，征粮派款，欺压百姓。
陈伯衡,伪灵璧县县长,1939-1945,宿州周边伪政权头目，任伪灵璧县县长，协助日军维持统治，推行伪化教育与经济掠夺。
张耀先,伪泗县维持会会长、伪泗县县长,1938-1945,宿州周边伪政权头目，组织维持会，任伪泗县县长，配合日军征粮、清乡，镇压抗日力量。
王仲廉,伪萧县县长,1939-1945,宿州周边伪政权头目，任伪萧县县长，协助日军维持占领区统治，推行保甲与征粮。
刘子仁,伪砀山县县长,1938-1945,宿州周边伪政权头目，任伪砀山县县长，配合日军进行治安强化与物资掠夺。
胡泽普,伪蚌埠维持会会长、伪安徽省民政厅厅长,1938-1945,安徽沦陷区伪政权要员，参与组织维持会，后任伪安徽省民政厅厅长，协助日军推行伪化统治。
唐少侯,伪安徽省财政厅厅长,1938-1945,安徽沦陷区伪政权财政头目，为日军搜刮物资、征收税款，支持伪政权运转。
汪翰章,伪安徽省教育厅厅长,1938-1945,安徽沦陷区伪政权教育头目，推行奴化教育，篡改教材，宣传“大东亚共荣圈”。
余健,伪安徽省警务处处长,1938-1945,安徽沦陷区伪警察头目，指挥伪警察配合日军搜捕抗日人员，维持治安强化运动。
王锡三,伪宿县商会会长,1938-1945,宿州地区经济附逆者，任伪宿县商会会长，为日军筹款、征粮、采购物资，协助经济掠夺。
张静波,伪宿县中学校长,1939-1945,宿州地区教育附逆者，任伪宿县中学校长，推行奴化教育，向学生灌输亲日思想。
李品仙,伪安徽省保安司令部司令,1940-1945,安徽沦陷区伪军头目，指挥伪保安部队配合日军扫荡抗日根据地，镇压民众抗日活动。
吴化文,伪和平建国军第三方面军总司令,1943-1945,原国民党将领，投敌后任伪军头目，活动于安徽、山东交界地区，配合日军扫荡，后于1945年反正。
