name,title,activity_period,notable_deeds
王揖唐,伪安徽省省长、伪华北政务委员会委员长,1937-1945,安徽合肥人，抗战期间投靠日本，历任伪中华民国临时政府内政部长、伪安徽省省长、伪华北政务委员会委员长等职，推行奴化教育、搜刮物资，为日军侵华服务。
倪道烺,伪安徽省省长、伪安徽省政府主席,1938-1945,安徽阜阳人，抗战期间依附日军，出任伪安徽省省长、伪省政府主席，协助日军维持占领区统治，镇压抗日活动。
高冠吾,伪安徽省省长、伪南京特别市市长,1938-1945,抗战期间投敌，曾任伪安徽省省长，后任伪南京特别市市长，参与汪伪政权，协助日军统治安徽部分地区。
林柏生,伪安徽省省长、汪伪宣传部部长,1940-1945,汪伪政权核心成员，曾任伪安徽省省长，控制舆论宣传，推行亲日卖国政策，在安徽沦陷区实施奴化统治。
罗君强,伪安徽省省长、汪伪司法行政部部长,1940-1945,汪伪政权要员，曾任伪安徽省省长，参与伪政权统治，协助日军在安徽征粮、清乡。
张昌德,伪宿县维持会会长、伪宿县县长,1938-1945,宿州本地人，日军侵占宿县后组织维持会，出任伪宿县县长，为日军征发民夫、粮食，维持沦陷区秩序。
李品仙,伪宿县警察局局长,1939-1945,在宿县沦陷区担任伪警察头目，配合日军搜捕抗日人员，镇压民众反抗。
王仲廉,伪宿县保安团团长,1939-1945,组织伪保安团，协助日军清乡，在宿县及周边地区参与镇压抗日武装。
陈公博,伪安徽省省长、汪伪立法院院长,1940-1945,汪伪政权主要头目之一，曾任伪安徽省省长，推行日军政策，在安徽沦陷区实施殖民统治。
周佛海,伪安徽省省长、汪伪财政部长,1940-1945,汪伪政权核心人物，曾任伪安徽省省长，控制财政税收，为日军提供物资支持。
郝鹏举,伪淮海省省长、伪军头目,1943-1945,曾任伪淮海省省长，活动范围包括宿州部分地区，组织伪军配合日军扫荡，后反正又叛变。
张岚峰,伪和平救国军第一军军长、伪河南省省长,1938-1945,在皖北、豫东一带组织伪军，活动范围覆盖宿州周边，协助日军进攻抗日根据地。
孙良诚,伪和平救国军第二方面军总司令、伪江苏省省长,1942-1945,率部投敌，所部伪军在皖北、苏北活动，包括宿州地区，配合日军清乡扫荡。
吴化文,伪和平救国军第三方面军总司令,1943-1945,投敌后所部伪军在安徽、山东交界地区活动，曾涉及宿州周边，协助日军维持占领区。
刘玉珂,伪宿县商会会长,1938-1945,宿县沦陷后出任伪商会会长，为日军筹款筹粮，协助经济掠夺。
张子明,伪宿县教育科科长,1939-1945,在宿县推行奴化教育，篡改教材，向学生灌输亲日思想。
赵毓松,伪安徽省民政厅厅长,1940-1945,在汪伪安徽省政权中任职，协助日军管理民政，推行保甲制度，控制沦陷区民众。
胡泽吾,伪安徽省建设厅厅长,1940-1945,在伪安徽省政权中负责建设事务，为日军修建军事设施、掠夺资源提供便利。
王敏中,伪安徽省警务处处长,1940-1945,控制伪安徽省警察力量，配合日军搜捕抗日志士，镇压民众反抗。
李讴一,伪安徽省保安司令部司令,1940-1945,统率伪保安部队，在安徽沦陷区配合日军进行清乡、扫荡。
