name,title,activity_period,notable_deeds
倪道烺,伪安徽省省长、伪安徽省政府主席,1938-1945,安徽阜阳人，北洋时期政客，抗战期间投靠日军，历任伪安徽省维新政府省长、汪伪安徽省政府主席等职，主持安徽沦陷区伪政权，推行奴化教育与经济掠夺，其伪政权统治范围覆盖池州、东至等皖南部分地区。
高冠吾,伪安徽省省长、伪南京特别市市长,1938-1945,原为北洋军人，抗战后投敌，曾任伪安徽省省长，协助日军维持安徽沦陷区统治，在皖南包括池州一带推行伪化政策，后调任伪南京市长。
林柏生,伪安徽省省长、汪伪宣传部部长,1944-1945,汪伪政权核心人物之一，1944年出任伪安徽省省长，在安徽沦陷区推行亲日宣传与殖民统治，其辖区包括池州、东至等皖南地区。
张昌德,伪军将领、伪皖南独立方面军司令,1943-1945,原国民党军将领，1943年率部投敌，任伪皖南独立方面军司令，盘踞皖南池州、东至、青阳一带，配合日军扫荡抗日根据地，残害民众。
刘子清,伪军头目、伪东至县保安大队长,1940-1945,东至县本地人，抗战期间组织伪保安队投靠日军，任伪东至县保安大队长，协助日军维持东至及周边地区治安，搜捕抗日人员，征敛物资。
王世杰,伪池州县维持会会长,1938-1940,池州沦陷后出面组织伪维持会，任会长，协助日军建立伪政权，征发民夫、物资，推行保甲制度，为日军统治池州地区服务。
李少甫,伪贵池县知事,1939-1943,汪伪政权委任的伪贵池县知事，在贵池（今池州）地区推行伪化行政，配合日军清乡，镇压抗日活动，征收赋税供给日军。
陈次权,伪青阳县维持会会长,1938-1941,青阳沦陷后组织伪维持会，任会长，后改任伪青阳县知事，协助日军控制青阳及邻近东至地区，推行奴化教育，征发劳工。
吴则刚,伪东流县知事,1940-1944,东流（今属东至县）人，投靠日军后任伪东流县知事，在沿江地区协助日军封锁长江，搜刮民财，镇压抗日游击队。
周文山,伪至德县保安团团长,1941-1945,至德（今属东至县）本地武装头目，率部投敌后被编为伪至德县保安团，任团长，配合日军对东至山区进行扫荡，杀害抗日军民。
胡大刚,伪安徽省皖南行署主任,1942-1945,汪伪政权皖南行署主任，驻芜湖，管辖皖南包括池州、东至在内的伪政权，推行日军殖民政策，组织伪军配合扫荡。
张拱辰,伪池州地区清乡专员,1943-1945,汪伪清乡委员会派驻池州地区的专员，负责在贵池、东至、青阳等地推行清乡运动，建立伪保甲联防，搜捕抗日分子。
