name,title,activity_period,notable_deeds
秦庆霖,伪天长县维持会会长、伪天长县县长,1938-1945,天长沦陷后出面组织维持会，后任伪天长县县长，协助日军推行保甲、征粮、抓丁，镇压抗日群众。
李国栋,伪天长县保安大队大队长,1939-1945,统率伪保安大队配合日军扫荡天长、来安、六合一带抗日根据地，捕杀抗日干部和群众。
王仲三,伪滁县维持会会长,1938-1940,滁县沦陷后组织维持会，为日军筹粮筹款、拉夫，协助建立伪政权。
张孝先,伪滁县县长,1940-1945,任伪滁县县长期间推行奴化教育，配合日军清乡，强征民夫修筑据点。
倪道烺,伪安徽省省长,1938-1945,安徽沦陷区伪政权头目之一，历任伪安徽省维持会会长、伪省长，为日军搜刮物资、推行治安强化运动。
高冠吾,伪安徽省省长、伪南京市长,1938-1945,曾任伪安徽省长，协助日军在安徽沦陷区建立伪组织，推行保甲连坐，镇压抗日活动。
林柏生,伪安徽省省长、伪国民政府宣传部长,1943-1945,汪伪政权要员，任伪安徽省长期间配合日军在安徽进行思想控制和经济掠夺。
罗君强,伪安徽省省长,1944-1945,汪伪安徽省长，推行日军旨意，在安徽沦陷区征粮征兵，镇压抗日力量。
吴化文,伪和平建国军第三方面军总司令,1943-1945,率部投敌后驻防安徽、江苏北部，配合日军扫荡，后于1945年反正。
郝鹏举,伪淮海省省长、伪军头目,1943-1945,伪淮海省省长，活动范围包括安徽北部，配合日军进攻抗日根据地，后反复无常。
张岚峰,伪和平救国军第一军军长,1938-1945,在皖北、豫东一带组织伪军，配合日军扫荡，残害抗日军民。
孙良诚,伪和平建国军第二方面军总司令,1942-1945,率部投敌，驻防皖北、苏北，配合日军清乡扫荡。
陈公博,伪国民政府主席、伪行政院长,1940-1945,汪伪政权核心人物，其政策覆盖安徽沦陷区，推行奴化教育与经济统制。
周佛海,伪国民政府财政部长、伪上海市长,1940-1945,汪伪政权核心，参与对安徽等沦陷区的经济掠夺和伪军调度。
梅思平,伪国民政府实业部长、伪浙江省长,1940-1945,汪伪要员，参与沦陷区经济统制政策，影响包括安徽在内的华中地区。
李士群,伪特工总部主任、伪江苏省长,1939-1943,汪伪特务头子，其特工网络覆盖安徽部分地区，镇压抗日人士。
丁默邨,伪特工总部主任、伪社会部长,1939-1945,汪伪特务头目，参与对安徽等地抗日力量的侦捕与镇压。
万里浪,伪特工总部杭州区区长,1940-1945,汪伪特务，活动于江浙皖一带，捕杀抗日人员。
苏成德,伪特工总部南京区区长,1940-1945,汪伪特务头目，其活动范围涉及安徽东部，镇压抗日组织。
张北生,伪江苏省警务处长、伪安徽省警务处长,1940-1945,曾任伪安徽省警务处长，协助日军在安徽沦陷区维持治安、抓捕抗日人士。
