name,title,activity_period,notable_deeds
倪道烺,伪安徽省省长、伪安徽省政府主席,1938-1945,安徽阜阳人，北洋时期政客，抗战期间投敌，历任伪安徽省维新政府省长、汪伪安徽省政府主席等职，主持安徽沦陷区伪政权，推行奴化教育与经济掠夺，其伪政权管辖范围覆盖滁州、定远一带。
高冠吾,伪安徽省省长、伪南京特别市市长,1938-1945,原为北洋及国民政府官员，抗战后投敌，曾任伪维新政府绥靖部长、伪安徽省长，后任伪南京市长，参与安徽沦陷区伪政权建设，影响涉及滁州地区。
罗君强,伪安徽省省长、伪司法行政部长,1940-1945,汪伪政权核心成员，曾任伪安徽省长，推行汪伪政令，配合日军清乡与掠夺，安徽滁州、定远等地在其伪省政管辖范围内。
林柏生,伪安徽省省长、伪宣传部长,1940-1945,汪伪政权宣传系统头目，后任伪安徽省长，在安徽推行亲日宣传与奴化教育，其辖区包括滁州、定远等县。
张昌德,伪军头目、伪和平建国军师长,1940-1945,原国民党军将领，后率部投敌，在安徽滁州、定远一带配合日军扫荡抗日根据地，残害抗日军民。
王揖唐,伪安徽省长、伪华北政务委员会委员长,1938-1945,安徽合肥人，北洋政客，抗战后投敌，曾任伪安徽省长，参与安徽沦陷区伪政权，其影响波及滁州地区。
陈群,伪安徽省长、伪内政部长,1938-1945,福建人，汪伪政权成员，曾任伪安徽省长，在安徽推行伪政，配合日军统治，滁州、定远等地在其管辖范围内。
李讴一,伪安徽省警务处长、伪警察头目,1940-1945,汪伪政权警务官员，在安徽沦陷区组建伪警察力量，镇压抗日活动，滁州、定远等地伪警察系统受其节制。
定远县维持会会长（佚名）,伪定远县维持会会长,1938-1940,定远沦陷后，当地士绅或地痞出面组织维持会，为日军筹粮、派夫、维持治安，具体姓名史料记载不全，但定远县维持会确实存在并配合日军统治。
滁县维持会会长（佚名）,伪滁县维持会会长,1938-1940,滁县沦陷后成立维持会，负责为日军征集物资、维持地方秩序，后并入汪伪政权体系，具体负责人姓名史料记载有限。
伪滁县县长（佚名）,伪滁县县长,1940-1945,汪伪政权在滁县设立伪县政府，伪县长配合日军征粮、清乡，镇压抗日力量，具体姓名在地方史料中有零星记载但难以确证。
伪定远县县长（佚名）,伪定远县县长,1940-1945,汪伪政权在定远设立伪县政府，伪县长执行日军与伪省府政令，征粮派款，配合扫荡，具体姓名史料记载不完整。
