name,title,activity_period,notable_deeds
倪道烺,伪安徽省省长、伪安徽省政府主席,1938-1945,安徽阜阳人，北洋时期政客，抗战期间投敌，历任伪安徽省维新政府省长、汪伪安徽省政府主席等职，主持安徽沦陷区伪政权，推行奴化教育与经济掠夺，其伪政权管辖范围覆盖滁州、明光等地。
高冠吾,伪安徽省省长、伪南京特别市市长,1938-1945,辽宁人，抗战期间投敌，曾任伪安徽省省长，主持安徽沦陷区政务，配合日军清乡与物资统制，其辖区包括滁州、明光一带。
罗君强,伪安徽省省长、伪司法行政部部长,1940-1945,湖南人，汪伪政权核心成员，曾任伪安徽省省长，推行日军经济掠夺政策，镇压抗日力量，其管辖区域涵盖滁州、明光地区。
林柏生,伪安徽省省长、伪宣传部部长,1940-1945,广东人，汪伪政权宣传系统负责人，后任伪安徽省省长，在安徽沦陷区推行亲日宣传与奴化教育，影响滁州、明光等地。
张拱辰,伪滁县维持会会长、伪滁县县长,1938-1945,滁州本地士绅，日军侵占滁县后出面组织维持会，后任伪滁县县长，为日军征粮、征夫，协助维持沦陷区秩序，活动范围包括滁州及明光一带。
王仲廉,伪滁县警察局局长,1939-1945,在滁县沦陷区担任伪警察头目，配合日军搜捕抗日人员，镇压民众反抗，其活动范围覆盖滁州城区及周边明光等地。
李树棠,伪明光维持会会长,1938-1945,明光本地人，日军侵占明光后组织维持会，为日军筹集物资、招募劳工，协助建立伪基层政权，直接活动于明光地区。
陈伯衡,伪嘉山县（今明光）县长,1939-1945,汪伪政权委任的嘉山县县长，在明光及周边地区推行保甲制度，配合日军清乡，征敛粮食与物资，镇压抗日活动。
刘玉书,伪凤阳县县长、伪滁县专区专员,1938-1945,安徽沦陷区伪政权官员，曾任伪凤阳县县长及伪滁县专区专员，管辖滁州、凤阳、明光等地，为日军提供情报与物资支持。
赵保泰,伪定远县县长,1939-1945,汪伪政权定远县县长，活动于定远、明光交界地区，推行伪化教育，协助日军维持治安，征调民夫修筑工事。
吴化文,伪和平建国军第三方面军总司令,1943-1945,原国民党军将领，1943年率部投敌，所部活动于安徽、江苏北部，包括滁州、明光一带，配合日军进攻抗日根据地，后于1945年反正。
郝鹏举,伪淮海省省长、伪军头目,1943-1945,原国民党军将领，投敌后任伪淮海省省长，所部活动于苏皖北部，包括滁州、明光周边地区，配合日军扫荡抗日武装。
张岚峰,伪和平建国军第一方面军总司令,1940-1945,河南人，投敌后组建伪军，活动于豫皖苏边区，其势力范围一度覆盖安徽滁州、明光等地，配合日军清乡与掠夺。
孙良诚,伪和平建国军第二方面军总司令,1942-1945,原国民党军将领，投敌后任伪军头目，所部活动于苏皖北部，包括滁州、明光地区，协助日军维持占领区秩序。
潘干臣,伪淮海省保安司令,1943-1945,伪军头目，活动于苏皖边区，包括滁州、明光一带，配合日军扫荡抗日根据地，镇压民众反抗。
