name,title,activity_period,notable_deeds
倪道烺,伪安徽省省长、伪安徽省政府主席,1938-1945,安徽合肥人，北洋时期政客。抗战期间投靠日军，1938年后历任伪安徽省维新政府省长、汪伪安徽省政府主席等职，主持安徽沦陷区伪政权，推行奴化教育与经济掠夺，其伪政权管辖范围覆盖滁州、琅琊等地。
高冠吾,伪安徽省省长、伪南京特别市市长,1938-1945,原为北洋及国民政府官员，抗战后投敌。曾任伪维新政府绥靖部长、伪安徽省省长，后任伪南京特别市市长。在安徽任内配合日军维持沦陷区统治，滁州一带在其伪省政权名义管辖之下。
罗君强,伪安徽省省长、伪司法行政部长,1940-1945,汪伪政权核心成员之一，曾任伪安徽省省长、伪司法行政部长等职。在安徽任内推行汪伪政令，协助日军征粮、清乡，滁州地区亦受其伪政权影响。
林柏生,伪安徽省省长、伪宣传部长,1940-1945,汪伪政权宣传系统负责人，后任伪安徽省省长。在安徽推行亲日宣传与奴化教育，配合日军清乡与物资统制，滁州、琅琊一带在其伪省政权管辖范围内。
张拱辰,伪滁县维持会会长、伪滁县县长,1938-1945,滁县本地士绅，日军侵占滁县后出面组织维持会，后任伪滁县县长，为日军筹粮、征夫、维持地方治安，直接服务于滁州及琅琊地区的日伪统治。
王揖唐,伪安徽省省长、伪华北政务委员会委员长,1938-1945,安徽合肥人，北洋政客。抗战期间投敌，曾任伪安徽省省长、伪华北政务委员会委员长等职，在安徽沦陷区推行亲日政策，其影响覆盖滁州地区。
陈群,伪安徽省省长、伪内政部长,1938-1945,汪伪政权成员，曾任伪安徽省省长、伪内政部长。在安徽任内配合日军实施保甲、清乡与物资统制，滁州一带在其伪省政权管辖之下。
李讴一,伪安徽省保安司令、伪军头目,1938-1945,抗战期间投敌，曾任伪安徽省保安司令等职，统率伪军配合日军在安徽沦陷区清乡、扫荡，滁州及琅琊周边地区有其伪军活动。
刘玉书,伪滁县警察局长、伪保安队长,1938-1945,滁县本地投敌人员，任伪警察局长、伪保安队长期间，协助日军搜捕抗日人员、征收捐税、维持治安，直接参与滁州及琅琊地区的日伪统治。
张百川,伪滁县教育会长、伪中学校长,1938-1945,滁县教育界附逆者，任伪滁县教育会长、伪中学校长，推行日语教育与亲日奴化宣传，在滁州、琅琊一带教育领域为日伪服务。
