name,title,activity_period,notable_deeds
倪道烺,伪安徽省省长、伪安徽省政府主席,1938-1945,安徽合肥人，北洋时期政客，抗战期间投靠日军，历任伪安徽省维新政府省长、汪伪安徽省政府主席等职，协助日军推行伪化统治，搜刮民财，镇压抗日力量。
高冠吾,伪安徽省省长、伪南京特别市市长,1938-1945,原为北洋及国民政府官员，抗战爆发后投敌，曾任伪安徽省省长，配合日军在安徽各地建立伪政权、维持会，推行保甲连坐，镇压抗日活动。
罗君强,伪安徽省省长、伪司法行政部部长,1940-1945,汪伪政权核心成员之一，曾任伪安徽省省长，在安徽推行奴化教育、经济统制，协助日军征粮征丁，镇压抗日根据地。
林柏生,伪安徽省省长、伪宣传部部长,1940-1945,汪伪政权宣传系统负责人，后任伪安徽省省长，在安徽推行亲日宣传、奴化教育，配合日军清乡扫荡。
张拱辰,伪滁县维持会会长、伪滁县县长,1938-1945,滁县本地士绅，日军侵占滁县后出面组织维持会，后任伪滁县县长，为日军征粮、征夫、搜集情报，协助维持滁县及周边地区伪统治。
王仲廉,伪滁县警察局局长,1939-1945,在滁县伪政权中担任警察头目，带领伪警察配合日军搜查、逮捕抗日人员，镇压当地民众反抗，维护日伪在滁县的治安统治。
李树棠,伪滁县保安团团长,1939-1945,组织伪保安团，配合日军对滁县周边抗日游击区进行扫荡，强征民夫、修筑据点，协助日军控制滁县交通线。
陈公博,伪安徽省省长、伪国民政府主席,1940-1945,汪伪政权主要头目之一，曾任伪安徽省省长，在安徽推行日军政策，镇压抗日力量，后任伪国民政府主席。
梁鸿志,伪中华民国维新政府行政院长、伪安徽省省长,1938-1940,组织伪维新政府，其势力覆盖安徽部分地区，任伪安徽省省长期间配合日军建立伪政权，推行经济掠夺。
江亢虎,伪安徽省省长、伪考试院院长,1940-1945,汪伪政权成员，曾任伪安徽省省长，在安徽推行奴化教育，协助日军进行思想控制。
何佩瑢,伪安徽省省长、伪湖北省省长,1938-1942,抗战期间投敌，曾任伪安徽省省长，配合日军在安徽建立伪政权，推行保甲制度，镇压抗日活动。
王揖唐,伪安徽省省长、伪华北政务委员会委员长,1938-1945,北洋政客，抗战期间投靠日军，曾任伪安徽省省长，在安徽推行伪化统治，协助日军掠夺资源。
周佛海,伪安徽省省长、伪财政部长,1940-1945,汪伪政权核心成员，曾任伪安徽省省长，在安徽推行经济统制，为日军筹措军粮物资，镇压抗日力量。
梅思平,伪安徽省省长、伪实业部长,1940-1945,汪伪政权成员，曾任伪安徽省省长，在安徽协助日军进行经济掠夺和奴化宣传。
蔡培,伪滁县教育科科长,1939-1945,在滁县伪政权中负责教育，推行日语教学和亲日奴化教育，篡改历史教材，毒害当地青少年。
刘云,伪滁县商会会长,1938-1945,滁县商人，日军占领后出面组织伪商会，为日军筹款筹粮，协助经济统制，压榨当地商户和百姓。
赵保泰,伪滁县保安大队大队长,1940-1945,带领伪保安大队配合日军清乡，搜捕抗日人员，强征民夫修筑工事，在滁县及周边地区犯下多起罪行。
孙良诚,伪和平建国军第二方面军总司令、伪苏北绥靖公署主任,1942-1945,原国民党将领，1942年率部投敌，所部活动于苏北、皖东一带，配合日军扫荡抗日根据地，滁州地区亦受其伪军势力影响。
吴化文,伪和平建国军第三方面军总司令,1943-1945,原国民党将领，投敌后所部活动于鲁南、皖北、苏北地区，配合日军对抗日根据地进行扫荡，滁州周边亦有伪军活动。
郝鹏举,伪淮海省省长、伪和平建国军第八方面军总司令,1943-1945,投敌后任伪淮海省省长，所部活动于苏北、皖东北地区，配合日军扫荡，滁州地区受其伪政权和伪军影响。
