name,title,activity_period,notable_deeds
吕惠生,汪伪无为县县长,1939-1941年,投靠汪伪政权，任无为县伪县长，协助日军推行“清乡”政策，强征粮税，镇压抗日民众。
张亚东,汪伪无为县保安大队长,1940-1943年,组织伪保安队配合日军扫荡新四军游击队，杀害多名抗日军民，掠夺物资。
汪子东,汪伪芜湖县知事,1938-1940年,在芜湖推行奴化教育，强制民众悬挂伪旗，协助日军建立“维持会”，迫害爱国人士。
陈兆丰,汪伪芜湖绥靖公署参议,1941-1944年,参与策划对皖南抗日根据地的经济封锁，向日军提供新四军情报，导致多次袭击失败。
周玉昆,伪无为县警察局长,1942-1945年,抓捕并刑讯抗日地下党员，破坏中共地下交通站，直接导致多名交通员牺牲。
胡文藻,汪伪安徽省第二区行政督察专员（驻芜湖）,1940-1943年,统管芜湖、无为等县伪政权，强征壮丁补充伪军，配合日军“扫荡”白茆洲、汤沟等地。
刘汉卿,伪无为县“清乡”委员会主任,1943-1945年,主持“清乡”登记，发放“良民证”，搜捕新四军伤病员，焚毁沿江村庄。
赵子嘉,汪伪芜湖县商会会长,1938-1945年,为日军筹措军费，垄断粮食贸易，压低收购价盘剥农民，资助伪军装备。
孙伯英,伪无为县教育科长,1941-1944年,强制学校改用日伪教材，推行“中日亲善”宣传，举报拒绝授课的爱国教师。
钱少卿,伪芜湖水上警察所长,1939-1942年,在长江芜湖段设卡盘查，截获抗日物资，协助日军封锁江面，导致多批军需品被缴。
