name,title,activity_period,notable_deeds
倪道烺,伪安徽省省长,1938-1940,投靠日军，任伪安徽省省长，在蚌埠设立伪政权，推行奴化教育，协助日军征粮征税，镇压抗日活动。
林仰山,伪蚌埠区行政督察专员,1939-1941,在蚌埠地区组织伪警察和保甲制度，强征壮丁，配合日军清乡扫荡，残害抗日军民。
张伯衡,伪蚌埠维持会会长,1938-1939,日军占领蚌埠后率先组织维持会，为日军提供粮食、物资和情报，协助建立伪政权。
高冠吾,伪安徽省财政厅长（驻蚌埠）,1939-1942,在蚌埠主持伪财政，发行军用票和伪币，搜刮民财，为日军军费筹措资金。
王揖唐,伪华北政务委员会常委（曾巡视蚌埠）,1940-1943,作为伪华北政权高官，多次到蚌埠督导“治安强化运动”，推动当地汉奸组织扩大。
唐少侯,伪蚌埠商会会长,1938-1945,控制蚌埠商会，强迫商户向日军缴纳“慰劳金”，垄断粮食和食盐贸易，从中牟利。
李寿民,伪蚌埠警察局局长,1940-1943,指挥伪警察抓捕抗日地下工作者，破坏中共蚌埠党组织，多次参与“清乡”行动。
周化人,伪安徽省教育厅长（驻蚌埠）,1941-1944,在蚌埠推行奴化教育，改编教材，强制学生学日语，宣扬“中日亲善”，迫害爱国师生。
陈中孚,伪蚌埠特务机关长（日本顾问下）,1939-1942,充当日军宪兵队翻译兼特务，组织汉奸情报网，告密并逮捕抗日志士，造成多起惨案。
吴赞周,伪蚌埠地区清乡司令,1942-1945,率伪军配合日军在蚌埠周边“扫荡”，烧毁村庄，屠杀百姓，抢夺财物，罪责重大。
