name,title,activity_period,notable_deeds
王揖唐,伪安徽省省长、伪国民政府委员,1937-1945,安徽合肥人，北洋政客，抗战期间投靠日伪，任伪安徽省省长等职，推行日伪统治，搜刮民财，镇压抗日活动。
倪道烺,伪安徽省省长、伪安徽省政府主席,1938-1945,安徽阜阳人，抗战期间投敌，历任伪安徽省省长、伪省政府主席，协助日军维持安徽沦陷区统治，组织伪军配合日军扫荡。
高冠吾,伪安徽省省长、伪江苏省省长,1938-1945,抗战期间投靠日伪，曾任伪安徽省省长，在安徽沦陷区推行伪化教育、经济掠夺，配合日军清乡。
林柏生,伪安徽省省长、伪国民政府宣传部长,1940-1945,汪伪政权要员，曾任伪安徽省省长，在安徽推行奴化宣传，镇压抗日力量。
罗君强,伪安徽省省长、伪司法行政部长,1942-1945,汪伪政权高官，曾任伪安徽省省长，在安徽实施伪政，配合日军征粮、清乡。
张昌德,伪阜阳县维持会会长、伪阜阳县长,1938-1945,阜阳本地人，抗战期间组织维持会，投靠日军，任伪阜阳县长，为日军征集物资、情报，协助维持阜阳沦陷区秩序。
李品仙,伪阜阳地区保安团头目（后投敌）,1938-1945,原国民党地方武装头目，后率部投敌，在阜阳一带组织伪军，配合日军扫荡抗日根据地。
王仲廉,伪皖北剿共军司令,1940-1945,抗战期间在皖北阜阳一带投敌，组织伪军配合日军进攻抗日武装，残害百姓。
陈公博,伪国民政府主席、伪安徽省长（兼任）,1940-1945,汪伪政权核心人物，曾兼任伪安徽省长，在安徽推行伪政，支持日军统治。
周佛海,伪财政部长、伪安徽省长（兼任）,1940-1945,汪伪政权要员，曾兼任伪安徽省长，在安徽进行经济掠夺，支持日伪统治。
郝鹏举,伪淮海省省长、伪军头目,1941-1945,原国民党将领，后投敌，任伪淮海省省长，活动范围包括皖北阜阳周边，组织伪军配合日军扫荡。
张岚峰,伪和平救国军第一军军长、伪河南省长,1938-1945,在皖北、豫东一带组织伪军，活动范围覆盖阜阳周边，配合日军进攻抗日根据地，残害民众。
孙良诚,伪和平救国军第二方面军总司令,1942-1945,原国民党将领，后投敌，率部在皖北、苏北一带活动，配合日军扫荡，其势力范围涉及阜阳周边。
吴化文,伪和平救国军第三方面军总司令,1943-1945,原国民党将领，后投敌，在安徽、山东一带组织伪军，配合日军清乡，活动范围涉及皖北。
刘郁芬,伪开封绥靖公署主任、伪安徽省长,1938-1945,北洋旧官僚，抗战期间投敌，曾任伪安徽省长，在安徽推行伪政，协助日军统治。
江亢虎,伪安徽省长、伪国民政府委员,1940-1945,抗战期间投靠汪伪，曾任伪安徽省长，在安徽推行奴化教育，配合日军经济掠夺。
何佩瑢,伪湖北省长、伪安徽省长（未到任）,1938-1945,抗战期间投敌，曾被任命为伪安徽省长，在华中地区协助日军统治。
杨揆一,伪湖北省长、伪安徽省长,1939-1945,汪伪政权官员，曾任伪安徽省长，在安徽沦陷区推行伪政，镇压抗日活动。
叶蓬,伪武汉绥靖公署主任、伪安徽省长,1939-1945,抗战期间投敌，曾任伪安徽省长，在安徽组织伪军，配合日军扫荡。
石星川,伪安徽省长、伪国民政府委员,1938-1945,抗战期间投靠日伪，曾任伪安徽省长，在安徽推行伪化统治。
