name,title,activity_period,notable_deeds
成建基,伪广饶县公署知事、伪保安团团长,1939-1945,抗战期间投靠日军，在广饶、东营一带组织伪政权和伪军，配合日军扫荡抗日根据地，捕杀抗日军民。
李青山,伪广饶县警备队队长,1940-1945,率伪警备队协助日军清乡，镇压当地抗日活动，残害百姓。
张景月,国民党顽固派、后投敌任伪军头目,1938-1945,在寿光、广饶、东营一带活动，后期与日军勾结，进攻八路军，残害抗日群众。
王砚田,伪利津县维持会会长,1938-1945,组织维持会为日军筹粮筹款，协助日军建立伪政权，压迫当地民众。
刘佩忱,伪武定道尹,1939-1945,任伪武定道道尹，管辖包括东营在内的鲁北地区，推行日军殖民统治，镇压抗日力量。
赵梓亭,伪滨县县知事,1939-1945,在滨县、东营一带为日军效劳，组织伪政权，搜捕抗日人员。
杜孝先,伪蒲台县知事,1940-1945,在蒲台、东营地区推行伪化教育，配合日军经济掠夺。
陈瑞亭,伪垦利县维持会会长,1941-1945,在垦利一带组织维持会，为日军提供情报，协助扫荡抗日根据地。
张子良,伪青城县保安团团长,1940-1945,在高青、东营周边地区率伪军配合日军作战，袭击抗日武装。
李法千,伪博兴县警备队队长,1941-1945,在博兴、东营一带镇压抗日群众，协助日军征粮抓丁。
