name,title,activity_period,notable_deeds
王洪九,伪临沂县维持会会长、伪临沂县知事,1938-1945,日军侵占临沂后投敌，组织伪维持会，后任伪临沂县知事，协助日军推行保甲连坐、征粮抓丁，镇压抗日群众。
刘桂堂,伪军头目，曾任伪和平救国军第三方面军司令,1937-1943,长期在鲁南、临沂一带活动，先为土匪，后投靠日军，配合日伪扫荡抗日根据地，残害百姓，1943年被八路军击毙。
张里元,国民党游击武装首领，后降日任伪职,1938-1945,在临沂、沂水一带活动，抗战中后期与日伪勾结，接受伪职，配合日军进攻抗日根据地。
李先良,伪临沂县警察所所长,1939-1945,在临沂城区及河东一带充任伪警察头目，搜捕抗日人员，勒索民众，为日军维持治安。
赵保原,伪军头目，曾任伪剿共军司令,1938-1945,在山东胶东及鲁南地区活动，后投靠日军，配合日伪扫荡，其势力一度覆盖临沂周边。
孙永赞,伪临沂县河东区维持会会长,1938-1945,在临沂河东地区组织伪维持会，为日军征粮派款，协助建立伪保甲制度，镇压当地抗日活动。
王德林,伪临沂县保安团团长,1940-1945,率伪保安团在临沂及河东一带配合日军扫荡，抓捕抗日军民，抢掠财物。
陈以燊,伪山东省公署委员、伪临沂道尹,1938-1945,任伪临沂道尹期间，推行日军殖民统治政策，督饬各县伪政权征粮、抓丁、修路，镇压抗日力量。
朱经古,伪临沂县教育会会长,1939-1945,在临沂推行奴化教育，编写亲日教材，组织师生参加日伪宣传活动，毒害青少年。
马兴元,伪临沂县商会会长,1938-1945,控制临沂城区商业，为日军筹集物资，配合经济封锁，压榨商户和百姓。
