name,title,activity_period,notable_deeds
王洪九,伪临沂县维持会会长、伪临沂县县长,1938-1945,抗战期间投靠日军，在临沂地区组织维持会，协助日军维持占领区秩序，推行伪化统治，搜捕抗日人员，为日军征发劳役和物资。
刘桂堂,伪军头目、伪和平救国军司令,1937-1943,原为土匪，抗战爆发后投靠日军，率部在鲁南、临沂、莒南一带活动，配合日军扫荡抗日根据地，残害百姓，1943年被八路军击毙。
张里元,伪临沂县警察局局长,1939-1945,在日军占领临沂期间担任伪警察头目，负责维持城区治安，抓捕抗日嫌疑人员，协助日军推行保甲制度。
赵保原,伪军头目、伪剿共军司令,1938-1945,投靠日军后率部在山东胶东及鲁南地区活动，曾与临沂、莒南一带的日伪军配合扫荡，进攻八路军根据地。
李先良,伪莒南县维持会会长,1940-1945,在莒南地区组织维持会，为日军征集粮食、劳工，协助日军建立伪政权，镇压当地抗日活动。
陈三坎,伪军团长,1938-1945,在临沂、莒南交界地区活动，率伪军配合日军扫荡，抢掠民财，杀害抗日干部和群众。
王连仲,伪临沂县保安团团长,1939-1945,组织伪保安团，协助日军守备临沂据点，参与对莒南抗日根据地的蚕食和扫荡。
刘黑七,伪军师长,1937-1943,即刘桂堂，在鲁南临沂、莒南一带为日军效力，烧杀抢掠，无恶不作，是当地著名的汉奸武装头目。
孙永赞,伪莒县县长,1938-1945,在莒县及莒南部分地区推行伪化教育，建立伪政权，协助日军征粮征兵，镇压抗日民众。
于锦堂,伪临沂县教育科科长,1940-1945,在临沂地区推行奴化教育，编写亲日教材，组织学生参加日军宣传活动，为伪政权培养附逆人员。
