name,title,activity_period,notable_deeds
张步云,伪滨海警备军司令、伪日照县县长,1938-1945,原为土匪，抗战爆发后投靠日军，在日照、诸城、莒县一带组织伪军，配合日军扫荡抗日根据地，残害抗日军民，横征暴敛。
李永平,伪日照县维持会会长、伪日照县县长,1938-1945,日照沦陷后出面组织维持会，后任伪县长，为日军筹粮筹款、征发民夫，协助日军推行保甲连坐，镇压抗日活动。
王子枫,伪日照县新民会会长,1939-1945,在日照推行奴化教育，宣传“大东亚共荣圈”，组织新民会训练班，配合日军进行思想控制。
刘桂堂,伪和平建国军第三方面军司令,1938-1943,原为土匪，投日后率部在鲁东南日照、莒县、临沂一带活动，配合日军扫荡，所到之处烧杀抢掠，1943年被八路军击毙。
张宗援,伪山东自治联军司令,1937-1945,日本浪人出身，长期在山东活动，组织伪军配合日军进攻日照、岚山等沿海地区，参与扫荡抗日根据地。
陈成功,伪岚山维持会会长,1939-1945,岚山地区沦陷后组织维持会，为日军征集物资、情报，协助日军控制沿海渔村和港口。
王德一,伪日照县警察所所长,1940-1945,在日照县城及岚山一带搜捕抗日人员，推行保甲制度，配合日军进行治安强化运动。
赵保原,伪剿共第七路军司令,1938-1945,原为国民党军，后投靠日军，在胶东及鲁东南一带活动，配合日军进攻抗日根据地，与日照、岚山地区伪军有联络配合。
张化南,伪日照县保安团团长,1940-1945,率伪保安团在日照、岚山地区配合日军扫荡，抓捕抗日干部和群众，抢掠粮食牲畜。
李先良,伪青岛特别市警察局局长（活动涉及日照沿海）,1938-1945,在青岛及周边沿海地区包括日照岚山一带，组织伪警察力量配合日军进行海上封锁和沿海扫荡。
