name,title,activity_period,notable_deeds
王子枫,伪莒县维持会会长、伪莒县县长,1938-1945,日军侵占莒县后出面组织维持会，后任伪莒县县长，协助日军推行保甲连坐、征粮派夫，镇压抗日群众。
于经武,伪莒县警备队大队长,1939-1945,率伪警备队配合日军扫荡莒县抗日根据地，捕杀抗日军民，抢掠物资。
刘桂堂,伪和平建国军第三方面军暂编第一军军长（活动于鲁东南、莒县一带）,1938-1943,原为土匪，投日后率部在莒县、日照、临沂一带配合日军扫荡，残害百姓，1943年被八路军击毙。
张步云,伪和平建国军第三方面军暂编第二军军长（活动于诸城、莒县、日照边界）,1938-1945,投日后在莒县北部、诸城、日照一带组织伪军，配合日军进攻抗日根据地，实行“三光”政策。
李永平,伪滨海警备军司令（活动于日照、莒县、诸城沿海地区）,1940-1945,盘踞日照、莒县东部沿海，为日军搜集情报、封锁海岸，袭击抗日武装，1945年被八路军歼灭。
陈成功,伪日照县维持会会长,1938-1940,日军侵占日照后组织维持会，为日军筹粮筹款、拉夫修路，协助建立伪政权。
叶碧桐,伪日照县县长,1940-1945,任伪县长期间推行保甲制度，配合日军扫荡日照抗日根据地，强征民夫、粮食。
郭华亭,伪日照县警备队大队长,1941-1945,率伪警备队随日军扫荡日照西部山区，捕杀抗日干部和群众。
赵保原,伪剿共第七路军司令（活动于胶东、鲁东南，一度接近莒县、日照）,1938-1945,投日后在胶东及鲁东南一带组织伪军，配合日军进攻八路军，1945年被八路军击毙。
厉文礼,伪鲁东和平建国军司令（活动于潍坊、日照、莒县北部）,1938-1945,原国民党游击司令，1943年公开投日，率部在莒县、日照北部配合日军扫荡。
张景月,伪山东保安第三师师长（活动于寿光、广饶，一度扩展至鲁东南）,1938-1945,长期与日军勾结，在鲁东南一带进攻抗日根据地，残害百姓。
王洪九,伪临沂县县长、伪沂州道道尹（活动于临沂、莒县、日照交界）,1938-1945,投日后任伪临沂县长，配合日军扫荡莒县、日照南部抗日根据地，屠杀抗日军民。
许树声,伪莒县保安团团长,1939-1945,组织伪保安团，协助日军控制莒县城乡，搜捕抗日人员，征敛民财。
庄明远,伪莒县新民会会长,1940-1945,主持伪新民会，进行奴化宣传，配合日军推行“治安强化运动”，诱骗青年参加伪军。
刘振东,伪日照县新民会会长,1941-1945,在日照推行奴化教育，组织亲日团体，为日军搜集情报。
