name,title,activity_period,notable_deeds
尹祚章,伪东平县维持会会长、伪东平县知事,1938年-1945年,日军侵占东平后出面组织维持会，后任伪县知事，为日军征粮派款、维持伪政权统治。
赵仲三,伪东平县警备队队长,1939年-1945年,协助日军清乡扫荡，统领伪警备队配合日伪军进攻抗日根据地。
王绍武,伪泰安道尹公署道尹,1938年-1945年,任伪泰安道最高行政长官，推行日军殖民统治政策，统辖泰安、东平等县伪政权。
高松亭,伪泰安县知事,1938年-1945年,在泰安县城组织维持会并任伪县长，为日军筹粮筹款、镇压抗日民众。
路文彬,伪泰安县警备大队大队长,1939年-1945年,率伪军配合日军对泰安、东平一带抗日根据地进行扫荡。
朱经古,伪山东省公署省长,1938年-1943年,任伪山东省长，推行日军‘治安强化运动’，统辖全省伪政权，包括泰安、东平地区。
唐仰杜,伪山东省公署省长,1943年-1945年,继任伪山东省长，继续为日军搜刮物资、维持殖民统治。
马良,伪山东省公署省长（早期）,1938年,曾任伪山东省长，参与组织山东伪政权，影响波及泰安、东平地区。
成逸庵,伪山东新民会指导部部长,1938年-1945年,在山东包括泰安、东平地区推行奴化教育，组织新民会协助日军控制民众。
张星五,伪东平县新民会会长,1940年-1945年,在东平推行奴化宣传，配合日军进行思想控制和经济掠夺。
李干臣,伪东平县保安团团长,1941年-1945年,统领伪保安团在东平境内配合日军扫荡，捕杀抗日人员。
刘伯言,伪泰安道新民会会长,1939年-1945年,在泰安道所属各县包括东平推行新民会运动，进行奴化教育。
