name,title,activity_period,notable_deeds
马良,伪山东省省长、伪济南维持会会长,1937-1945,济南沦陷后组织伪维持会，后任伪山东省省长，推行日伪统治，镇压抗日活动。
唐仰杜,伪山东省省长,1938-1945,继马良后任伪山东省省长，配合日军清乡、掠夺物资，推行奴化教育。
杨毓珣,伪山东省省长,1945,抗战末期任伪山东省省长，维持日伪在山东的统治。
朱桂山,伪济南市市长,1937-1938,济南沦陷初期任伪市长，组织伪政权，协助日军维持治安。
李德一,伪济南市市长,1938-1940,任伪济南市长期间推行保甲制度，配合日军征粮、征工。
郝书暄,伪济南市市长,1940-1945,长期任伪济南市长，推行奴化教育，协助日军镇压抗日力量。
程镕,伪商河县知事/县长,1938-1945,商河沦陷后任伪县知事，组织伪保安队，配合日军扫荡抗日根据地。
王星三,伪商河县维持会会长,1938-1940,商河沦陷初期组织维持会，为日军筹粮筹款，维持地方伪秩序。
张子良,伪商河县保安团团长,1939-1945,统领伪保安团，配合日军对商河及周边地区进行清乡、扫荡。
赵仁山,伪济南道尹,1938-1945,任伪济南道尹，管辖包括商河在内的鲁北地区，推行日伪政令。
成逸庵,伪山东省警务厅厅长,1938-1945,掌管伪山东警察系统，在济南及周边地区镇压抗日人员。
刘伯言,伪山东省新民会会长,1938-1945,通过新民会推行奴化宣传，在济南、商河等地组织亲日团体。
张宗援,伪山东自治联军司令,1937-1938,率伪军配合日军进攻山东，活动于济南、商河一带。
刘桂堂,伪军司令,1937-1943,土匪出身，投靠日军任伪军司令，在鲁北商河、济阳一带活动，残害抗日军民。
张步云,伪山东保安第二师师长,1938-1945,率伪军在鲁北地区配合日军扫荡，活动范围包括商河周边。
李青山,伪商河县警察局局长,1939-1945,任伪警察局长，搜捕抗日人员，镇压商河地区抗日活动。
王福堂,伪商河县保甲长,1940-1945,在商河基层推行保甲连坐，协助日军征粮、抓丁。
