name,title,activity_period,notable_deeds
马良,伪山东省省长、伪济南维持会会长,1937-1945,济南沦陷后组织伪维持会，后任伪山东省省长，协助日军推行殖民统治、征粮征丁。
唐仰杜,伪山东省省长,1938-1945,继马良后任伪山东省省长，驻济南，推行日军政令，镇压抗日活动。
杨毓珣,伪山东省省长,1945,抗战末期任伪山东省省长，驻济南，维持日伪统治。
朱桂山,伪济南市市长,1937-1938,济南沦陷初期任伪市长，组织维持会，为日军筹粮筹款。
李铭钦,伪济南市市长,1938-1945,长期任伪济南市市长，推行保甲制，配合日军清乡、掠夺物资。
张亚南,伪济南市商会会长,1937-1945,控制济南商会，为日军征购物资、摊派捐款，协助经济统制。
王露洪,伪济南市警察局局长,1938-1945,掌管伪警察，搜捕抗日人员，镇压市民反抗。
刘伯言,伪济阳县维持会会长,1937-1939,济阳沦陷后组织维持会，为日军带路、征粮，协助建立伪政权。
赵仁斋,伪济阳县县长,1939-1945,任伪济阳县县长，推行保甲，配合日军扫荡抗日根据地。
陈连仲,伪济阳县警备队队长,1940-1945,率伪警备队配合日军清乡，抓捕抗日军民。
张子良,伪山东剿共军司令,1938-1945,在济南及鲁北地区组织伪军，配合日军进攻抗日武装。
程国瑞,伪山东剿共军副司令,1938-1945,协助张子良统率伪军，在济南周边进行反共清乡。
李寿亭,伪济南道尹,1938-1945,任伪济南道尹，管辖济阳等县，推行日军政令、征发劳役。
王永苍,伪济阳县保安团团长,1941-1945,组织伪保安团，配合日军守备济阳，镇压抗日活动。
孙宝贤,伪济南市教育局长,1938-1945,推行奴化教育，篡改教材，宣传“中日亲善”。
