name,title,activity_period,notable_deeds
刘本功,伪济宁道尹、伪济宁县知事,1938-1945,抗战期间投靠日军，出任伪济宁道尹等职，协助日军推行治安强化运动，镇压抗日力量，搜刮民财。
王绍武,伪济宁县维持会会长、伪济宁县知事,1937-1945,日军侵占济宁后组织维持会，后任伪县长，为日军征粮派款、维持伪秩序。
李圣渠,伪济宁道保安队头目,1938-1945,率伪保安队配合日军扫荡济宁周边抗日根据地，抓捕抗日人员。
张里元,伪鲁西道尹公署官员（后投敌）,1938-1943,原为国民党地方武装，后率部投敌，在鲁西、济宁一带为日军效力，进攻抗日武装。
朱经古,伪山东省公署参议、伪鲁西道尹,1938-1945,在山东伪政权中任职，参与推行日军殖民统治政策，涉及济宁地区伪政事务。
唐仰杜,伪山东省省长,1938-1945,山东伪政权最高头目之一，协助日军统治山东，包括济宁地区，推行保甲、征粮、扫荡等。
马良,伪山东省省长、伪济南维持会会长,1937-1945,山东早期伪政权头目，组织维持会，配合日军侵占山东各地，包括济宁地区。
杨毓珣,伪山东省公署省长,1938-1940,任伪山东省长期间，推行日军政策，涉及济宁道伪政权建设与治安强化。
潘子明,伪梁山维持会会长,1939-1945,在梁山地区组织维持会，为日军征粮、派夫、搜集情报，协助日军控制梁山一带。
王冠三,伪梁山县知事,1940-1945,任伪梁山县知事，配合日军扫荡梁山抗日根据地，镇压当地抗日群众。
陈兆祥,伪济宁道警察局长,1938-1945,掌管伪警察系统，在济宁及周边县区抓捕抗日人员，维持日伪统治秩序。
刘仙洲,伪济宁县商会会长,1938-1945,在经济领域附逆，为日军筹款筹粮，协助控制济宁物资。
孔庆霭,伪曲阜县知事（邻近济宁）,1938-1945,在曲阜任伪职，配合日军统治，影响济宁周边地区。
孙永昌,伪邹县知事（邻近济宁）,1938-1945,任伪邹县知事，协助日军扫荡济宁东部抗日力量。
李作霖,伪嘉祥县知事（邻近济宁、梁山）,1939-1945,在嘉祥任伪职，配合日军控制济宁西部与梁山周边地区。
张汉三,伪汶上县知事（邻近梁山）,1939-1945,任伪汶上县知事，协助日军扫荡梁山、汶上一带抗日武装。
赵仁山,伪东平县知事（邻近梁山）,1939-1945,在东平任伪职，配合日军控制梁山周边湖区与抗日根据地。
林修竹,伪山东省教育厅官员,1938-1945,在文化教育领域附逆，推行奴化教育，涉及济宁地区学校。
郝书暄,伪山东省宣传处官员,1938-1945,为日伪进行宣传，鼓吹“大东亚共荣”，在济宁等地活动。
成逸庵,伪鲁西道尹公署教育科长,1938-1945,在鲁西道推行奴化教育，影响济宁、梁山地区教育系统。
