name,title,activity_period,notable_deeds
王绍武,伪邹县维持会会长、伪邹县县长,1938-1945,日军侵占邹县后出面组织维持会，后任伪县长，协助日军征粮、派夫、清乡，镇压抗日群众。
张宪云,伪邹县警备队队长,1939-1945,率伪警备队配合日军扫荡邹东抗日根据地，抓捕抗日人员，勒索百姓。
李传薪,伪济宁道尹公署道尹,1938-1945,任伪济宁道尹期间推行日军殖民统治，督征粮款，镇压鲁南抗日活动。
刘伯功,伪济宁县知事、伪济宁县县长,1938-1945,在济宁城区组织伪政权，配合日军维持治安，搜捕抗日分子。
马振东,伪济宁警察局局长,1939-1945,控制济宁城区伪警察，参与抓捕、刑讯抗日嫌疑人员，协助日军管制物资。
朱经古,伪兖州道尹公署道尹,1938-1945,管辖包括邹县在内的伪兖州道，推行保甲连坐，征发劳工，支援日军军事行动。
唐仰杜,伪山东省省长,1938-1945,作为山东伪政权最高头目，推行日军殖民政策，督令各道县征粮、征兵、清乡，镇压山东抗日力量。
马良,伪山东省省长、伪华北政务委员会委员,1938-1943,曾任伪山东省长，协助日军统治山东，参与治安强化运动，镇压抗日根据地。
杨毓珣,伪山东省省长,1943-1945,继任伪山东省长，继续推行日军政策，配合扫荡山东抗日武装。
潘子明,伪鲁南道尹公署道尹,1938-1945,管辖鲁南地区，包括济宁东部、邹县一带，组织伪军警配合日军扫荡。
王永昌,伪邹县保安团团长,1940-1945,率伪保安团在邹县、济宁交界地区活动，配合日军进攻抗日根据地，抢粮抓丁。
陈以燊,伪济宁商会会长,1938-1945,在济宁工商界为日军筹款筹物，协助统制经济，压迫商户。
孔繁蔚,伪邹县教育会会长,1939-1945,在邹县推行奴化教育，改编教材宣扬“中日亲善”，毒害青少年。
赵锡九,伪济宁新民会会长,1938-1945,利用新民会进行亲日宣传，组织训练伪职人员，配合日军思想控制。
刘桂堂,伪军司令、伪和平救国军师长,1938-1943,率部在鲁南、济宁、邹县一带活动，先降日后又反复，配合日军扫荡，残害百姓。
张里元,伪鲁南剿共军司令,1943-1945,在鲁南地区包括邹县、济宁一带配合日军剿共，进攻抗日根据地。
王洪九,伪临沂道尹公署道尹、伪军头目,1938-1945,在鲁南地区组织伪军，配合日军扫荡，活动范围涉及济宁东部、邹县周边。
李仙洲,伪山东保安司令部司令,1943-1945,后投日任伪职，在山东包括济宁地区配合日军维持治安，进攻抗日武装。
孙良诚,伪和平救国军第二方面军总司令,1942-1945,率部投日，在山东、河南交界地区活动，包括济宁一带，配合日军扫荡。
吴化文,伪和平救国军第三方面军总司令,1943-1945,投日后在山东境内配合日军扫荡，部队活动范围涉及鲁南、济宁地区。
